body,label,source,subject,synthetic
"The monthly sales report for April 2024 has been uploaded to the shared drive.

Access the report here:

http://files.company.com/reports/sales/april2024.pdf

Please review before the next sales meeting.",1,TREC-07,Monthly Sales Report Available for Review,1
"Team,

The network usage statistics for June 2024 are now available.

Review the data and report any anomalies.

Access the dashboard:

http://network.company.com/stats/june2024

Regards,
Network Operations
",1,TREC-07,Network Usage Statistics for June 2024,1
"Hi team,

Please find attached the agenda for our upcoming quarterly meeting scheduled on May 10th.

Topics include project updates, budget review, and upcoming deadlines.

Let me know if you have any additional points to discuss.

Best regards,
John Smith
Project Manager
",0,Enron,Quarterly meeting agenda and notes [team-discussion],1
"Congratulations!

You have been selected for an exclusive offer. Claim your $500 gift card by clicking the link below:

http://freestuff.now/claim

Hurry, this offer expires in 24 hours!

To unsubscribe, reply STOP.
",1,TREC-07,Act now: Limited time offer! Get your FREE gift card today!,1
"
[]

I've not only made the Tower grow. If he wants me, that is.
First, the subroutine prepares the common dialog box to display only 
movie files. However, since there are millions of possible 
configurations, we have created this check so you can be sure that 
X-Setup Pro works the way you expect it.
This property is only for the object inspector. For example 
""(foo)+foobar"" could never match.
As a result of this call, bx points to the end of the loaded sector. 
Represents the entry at the specified index of the.
JPG 112298 02-11-96 GALTM036. Support for other Unix platforms as well.
I agreed to do that, you know. To calculate and represent the square 
root of a negative number, complex arithmetic must be used.
It was anger for the relentless force of evolution that insisted on 
endowing man with increased powers without removing the vestigial 
vices that prevented him from using them. This variable is used in a 
timer procedure that retrieves the current media position (or elapsed 
rendering time).
I spotted her with my beam. The scripting language used in Frontier, 
a cross-platform web content management product.
Washington White revelled in it. Thank goodness you didn't go to 
Runkle's room.
The whole package is distributed on one CD, ready to install on any 
x86-based computer. Dwarves from the town were busy setting up tables 
and tents.
To print or work with complete content. Deleting a row that does not exist.
Undelete a note from Trash. I squeezed his neck and rammed my knee 
into his backbone and dug it in.",1,TREC-07,"With a grimace Mat stepped off into the mud, half carrying the gleeman.",0
"Dear winner,

You have been selected to receive a $1000 gift card. To claim your prize, please visit http://claimprize.example.net and enter your verification code.

Hurry, this offer expires soon!

Sincerely,
Prize Rewards Team
",1,TREC-07,Congratulations! You have won a $1000 gift card,1
"Dear user,

Your account has been flagged for suspicious activity. To prevent suspension, please verify your details immediately by visiting the link below:

http://secure-verifystatus.net/login

Failure to comply within 24 hours will result in account termination.

Thank you for your prompt attention.

",1,TREC-07,[zzzzteana] Urgent: Verify your account to avoid suspension,1
"Hello team,

Please be advised that the monthly system maintenance will occur from 02:00 AM to 04:00 AM on May 15.

Services may be intermittently unavailable during this window.

Thank you for your cooperation.
IT Department
",0,Enron,[Info] Monthly system maintenance scheduled for May 15,1
"Attention all users,

Our IT team will perform scheduled maintenance on the network infrastructure on March 15, 2024, from 1:00 AM to 3:00 AM.

Services may be temporarily unavailable during this time.

For details, visit:

http://status.company.com/maintenance

Thank you for your understanding.
",1,TREC-07,Scheduled System Maintenance Notification,1
"


obliged cold seize bridge letters. disease raise mistress reached turning here necessary,Certified OnlinePharmacyAll Countries Shipping

ViagraAs low as $3.20/pillCialisAs low as $4.30/pill
ValiumAs low as $2.60/pillXanaxAs low as $2.30/pill
RivotrilAs low as $2.00/pill
PropeciaAs low as $2.10/pillplus 30 meds more


AtivanAs low as $2.70/pill
AmbienAs low as $3.50/pill
MeridiaAs low as $3.60/pill
SomaAs low as $2.00/pill
CelebrexAs low as $3.10/pill
LevitraAs low as $6.20/pill
plus 30 meds more

Best Price - Buy Now (Click Here)strange but book letters. friends stairs towards letters.


",1,TREC-07,"From $2/pill, CialisXanaViagra\\/aliun RivotrilLevitrPropecia MeridiaCelebrex opc",0
"Dear user,

Lose up to 15 lbs in just 2 weeks with our guaranteed formula!

Visit http://www.slimfastdeal.com now to claim your exclusive discount.

Limited time offer. Act fast!

Best regards,
The SlimFast Team

Contact us at support@slimfastdeal.com
",1,TREC-07,Urgent: Exclusive deal on weight loss supplements!,1
