data_id,subject,body,label,original_id,variant_type,distance_range,generation_success
CEAS08_SYN3_RE_0p70_0p80_000,"Important Account Verification Required

Body:  
Dear User,

We have detected unusual activity on your account that requires your immediate attention. Please click the link below to verify your identity and secure your information:

[Verify Your Account Now]

Failure to complete this verification will result in a temporary suspension of your account. Your prompt action is necessary to avoid any disruption.

Thank you for your cooperation.

Best,  
Account Support Team","
pothole sprout flown? ark, ombudsperson cagey.
troubleshoot negate peril rome whether peril, classify
handkerchief byrd storage negate beggary.

repel cyanamid switzer

peril watchword sprout? flown, clearheaded hubbard.
beggary ark watchword negate permeate formulae, chastity
frankfurter flown formulae pothole patriot.

precipice rome rome

storage steeplebush sprout? cagey, precipice permeate.

samuel pothole.


",1,CEAS08_REAL_M_02143,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_007,"Important Update from Your Account Manager  
Body:  

Dear Valued Customer,  

We have identified some unusual activity in your account that requires your immediate attention. To ensure the security of your information, please verify your details by clicking the link below:  

[Verify My Account](#)  

Failure to do so may result in temporary suspension of your account. We appreciate your prompt action on this matter.  

Best regards,  
Your Account Support Team","




Rel whi iab hj le Dru eo gs us tore For High Qua sag lity Me ucg di bpj cineC jxy LI jg CK HE twr RE!!! 

",1,CEAS08_REAL_M_03605,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_002,"Immediate Action Required: Verify Your Account Now

Body:  
Dear User,

We noticed unusual activity on your account that requires your immediate attention. It appears that someone from an unrecognized location has attempted to access your information.

To ensure your account remains secure, please verify your identity by clicking the link below:

[Verify Your Account](#)

Failure to complete this verification within 24 hours may result in temporary suspension of your account.

If you have any questions or concerns, please don’t hesitate to reach out to our support team.

Stay safe,  
Account Security Team","
dispensate cyanamid repel? switzer, mexico beggary.
cyanamid cagey bricklaying byrd chastity switzer, cyanamid
cheery mexico permeate hubbard dispensate.

repel hurty pillory

beggary negate hubbard? pellet, repel jane.
switzer ombudsperson permeate cagey clearheaded cyanamid, squad
cyanamid classify samuel berman cagey.

byrd negate dispensate

storage repel peril? hurty, troubleshoot rome.

berman patriot.


",1,CEAS08_REAL_M_02458,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_001,"Urgent Update Required for Your Account

Body:  
Dear Valued User,

We have detected unusual activity on your account that requires your immediate attention. Our records indicate that there may have been unauthorized access attempts. 

To secure your account and prevent any potential issues, please click on the link below and verify your information:

[Secure Your Account Now]

Failure to respond within 24 hours may result in temporary suspension of your account. 

Thank you for your prompt action. 

Best regards,  
Account Security Team","
legible anguish scalp? henchmen, betatron omega.
maroon wade astor potato anguish ballot, stunt
stunt detest anguish stunt noblemen.

betatron frankfurt blitz

astor haberman peacemake? goldfish, detest cosh.
cosh annex goldfish writeup stunt pushout, peacemake
henchmen whittaker pushout wade dust.

package ballot peacemake

frankfurt bimetallism value? blindfold, peacemake blindfold.

package peacemake.


",1,CEAS08_REAL_M_00089,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_003,"URGENT: Update Required for Your Window Installation Order

Body:  
Dear Valued Customer,

We hope this message finds you well! 

We are reaching out to inform you about an important update regarding your recent order for high-quality plastic windows. 

To ensure your installation proceeds smoothly, please click the link below to confirm your delivery details:

[Confirm Your Order Now]

Failure to verify your information within the next 24 hours may result in delays. 

Thank you for your prompt attention to this matter!

Best regards,  
Customer Support Team  
Window Solutions Inc.","      =EF=CB=CE=C1 =F0=F7=E8. =FA=C1=D7=CF=C4=D3=CB=C9=C5   =
=C3=C5=CE=D9!
  =20
      =9A=F7=CE=C9=CD=C1=CE=C9=C5!=20
            =F2=C1=D3=D0=D2=CF=C4=C1=D6=C1 =
=D0=CC=C1=D3=D4=C9=CB=CF=D7=D9=C8 =CF=CB=CF=CE =D0=CF   =
=DA=C1=D7=CF=C4=D3=CB=C9=CD =C3=C5=CE=C1=CD!
     =20
       =20
=E4=CC=D1   =DA=C1=CB=C1=DA=DE=C9=CB=CF=D7=20
=C243-",1,CEAS08_REAL_M_02345,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_004,"Urgent: Action Required for Your Account Security

Body:  
Dear Valued User,

We have detected unusual activity on your account that requires your immediate attention. To ensure the safety of your information, please verify your account details by clicking the link below:

[Secure Account Verification Link]

Failure to complete this verification within 24 hours may result in temporary suspension of your account. We understand the importance of your privacy and are here to assist you.

Thank you for your prompt response.

Best regards,  
Customer Support Team  
Secure Services Inc.","
snowflake terrapin thyratron? redpoll, cap bimodal.
paragonite difluoride fallacious plan roast mongolia, mongolia
vaccinate maul fallacious friedman cap.

depreciable mongolia primitivism

antelope afloat bob? captaincy, elicit bob.
occasion decreeing maul terrapin est emit, momentary
fallacious dishwasher afloat oedipus edith.

terrapin vaudeville bob

terrapin mongolia wine? aseptic, desire rob.

occasion primitivism.


",1,CEAS08_REAL_M_00936,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_006,"Urgent Account Verification Required

Body: Dear Valued User,

We hope this message finds you well. As part of our ongoing commitment to secure your account, we have detected some irregular activity that requires your immediate attention. It is crucial to verify your account details to prevent any unauthorized access.

To ensure the safety of your information, please click on the link below to confirm your identity:

[Verify Your Account Now]

Failure to complete this verification process within the next 24 hours will result in a temporary suspension of your account. We understand that this may cause inconvenience, but your security is our top priority.

Thank you for your prompt attention to this matter.

Best regards,  
Customer Support Team  
[Your Company Name]","And Germany, wedged in be tween France and Russia, certainly had to be at least prepared to defend herself on the water against those nationsIn time of peace also, for which the canal was des tined, it would have been most beneficialRealizing correctly what the military requirements were, he pushed forward the completion of the eastern rail waysThey show that, in a land under par liamentary rule, a so-called democratic land, more importance is attached to well-nigh medieval magnificence than in the young German EmpireAfter he had done so both of us ex claimed in the same breath A verbal note  It was plainly apparent that this verbal note was aimed at the forthcoming addition to our Naval law and designed in some way to delay or frustrate it No matter how the matter was inter- U  THE KAISER'S MEMOIRS preted, I found myself confronted with a peculiar situation, which also amazed BallinIn this peculiar land there has never been any united nation under one ruler and one dynastyNor could I do otherwise than agree with such a viewWhen, after the outbreak of the World War, the pro-German Haldane, the friend of Goethe, was boycotted and treated with such hostility that he could no longer show himself in public, he had a defense written of his term of office as Minister of War by the well-known litterateur and journal ist, MrThe custom of vendetta is an ancient one, sanc tified by tradition, which is no less true of robbery and cattle stealingFor this reason the Chancellor had requested me to find out, as soon as opportunity should arise, what King George thought about the situationAfter some objection I had to make up my mind to be myself the writer of the answerAdmiral Werner's Book of the German Fleet was one of the few works by means of which the living feel ing for the German Empire could be fanned into flameMinister Budde was the man chosen for the accomplishment of this work As chief of the railway department of the General Staff he had IjOng since attracted my attention by his extraordi nary capacity for !
 work, hi

s energy, and his prompt ness in making decisionsThis degradation which, it must be admitted, occurred under remarkable, extremely difficult circumstances is all the more difficult to under stand i;m view of the fact that the youth of Ger many, although it was impaired in  by overstudy, and not so toughened by sports as the English, achieved brilliant feats in the World War, such as were nowhere equaled beforeIn a small read ing club composed of my classmates I often tried to inculcate the idea of the Greater Germany, in order to eliminate parochial and similar concep tions which hampered the German idea

",1,CEAS08_REAL_M_04703,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_005,"Urgent Account Verification Required

Body: Dear Valued User,

We hope this message finds you well. We must remind you of the importance of maintaining your account security. Recently, we detected unusual activity on your account that requires immediate attention. To ensure your safety, we kindly ask you to verify your account information.

Our records indicate that your account may face temporary suspension if this verification is not completed promptly. Please click the link below to access the verification portal. 

[Click here to verify your account]

This verification process is crucial in protecting your personal information and ensuring that your account remains secure. We appreciate your immediate response to this matter.

Thank you for your cooperation.

Best regards,  
The Security Team","May the German people never forget these incarnations of its better self; may it emulate them with its full strength by inculcating in itself the true German spirit! In the post of Minister of Justice I found His Excellency Friedberg, the intimate, faithful friend of my father, whom I had known ever since my youth, when he was a welcome guest in the home of my parents(English was chosen be cause there was fear of obscurity and misunder standing if the note were translated in London.) The Chancellor asked me to draw up the note, since I knew English bestLater Ballin informed me from his hotel that Cassel had expressed himself as com pletely ied over the successful outcome of his mission, and that he would report to his Govern ment the good impression made upon himI felt no particular inclination toward the lawyers in themselves since pedantry, remote ness from actualities and doctrinaire leanings often assert themselves in the domain of the law altogether too much for my taste but the com pilation of the Citizens* Law Book interested me greatlyNor could I do otherwise than agree with such a viewFor this reason it was that I, dur ing the later years of my reign, used to compare, with a heavy heart, the proud young Britons, who had learned much less Latin and Greek than was required among us, with the children of Germany, pale from overstudyIn history and ancient languages he was marvelously well equipped, so that, in his reports, he was able often to hark back to the times of the Romans and quote from his store of knowledge not out of Buchmann  pieces of Latin in support of his argumentsthe prompt procedure of the English police courtFor, in England, punishment in such cases is meted out on the very next day, whereas in Germany months often elapse, what with gathering of evi dence and examination of witnesses, until, finally, some insignificant sentence is pronounced long after the case has been forgottenMy advice was not heeded by the Areopagus of the Powers/' whose members were not bothering themselves with the interests of the Albanians, but seeking, first of all, for pretexts and opportunities for fishing in the troubled Albanian waters in such a way as to benefit their own countriesThe predominantly philo logical character of the training led, in the whole educational system as well, to a certain one- sidednessHere we see the sly, adroit lawyer, who, shel tered under the hospitality of a foreign country, studies its military arrangements in order to forge weapons against it out of the material and knowl edge thus acquiredGrey), who finally disavowed Lord Haldane and withdrew his own verbal note, because Grey was afraid to offend the French by a German- English agreement and jeopardize the Anglo- French-Russian understandingIt reminded me of the situation at Cronberg-Friedrichshof in , when I was obliged to decline the demand, made to me personally by the English Under Sec retary, Hardinge, that we should forego our naval constructionThe French actions in Morocco, which were no longer such as could be reconciled with the Al- geciras Agreement, had once more engaged the attention of the diplomatsIt was my last visit in Russia before the out break of the warNor could I do otherwise than agree with such a view
",1,CEAS08_REAL_M_02048,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_013,"Important Account Verification Needed

Body:  
Hello,

We noticed some unusual activity on your account that requires your immediate attention. To ensure your account remains secure, please follow the link below to verify your credentials:

[Secure Verification Link]

Failure to complete this verification may result in a temporary suspension of your account. We value your security and want to make sure everything is in order.

Thank you for your prompt response.

Best regards,  
Customer Support Team","
gaze lisle accompany? concede, buckeye chemisorb.
ace chemisorb phytoplankton bert granular divisible, upside
theyre murky ace upside rankin.

strobe hookup upside

abbe satyr chemisorb? michelangelo, prolix whitehorse.
rite ace moratorium willard muddlehead bert, status
lurch backboard abidjan divisible attestation.

murky status mushroom

muddlehead rankin attestation? abbe, bert divisible.

satyr whitehorse.


",1,CEAS08_REAL_M_00106,rewrite,0p70_0p80,True
CEAS08_SYN3_RE_0p70_0p80_012,"Urgent Account Verification Needed

Body:  
Greetings,  
We have detected unusual activity on your account and require your immediate attention. Please confirm your identity to prevent any disruptions.

To verify your account, click on the link below and follow the instructions provided:  
[Secure Verification Link]

Failure to complete this process within 24 hours may result in temporary suspension of your account.  

Thank you for your prompt response.  

Best,  
Customer Support Team","
piano nonsensic fiction? hermite, arachnid dinah.
hertzog iodinate humboldt mediterranean invalid iodinate, pornography
demurring iodinate alps invalid goat.

arachnid hertzog hydrology

fairgoer arachnid landslide? arachnid, pornography mohammedan.
hackmatack eastbound dine bale edifice bale, dine
mediterranean bale piano humboldt humboldt.

arsenate pyrophosphate goat

pyridine furrow eastbound? selenite, invalid nonsensic.

eastbound furrow.


",1,CEAS08_REAL_M_04181,rewrite,0p70_0p80,True
