unique_id,original_id,layer,prompt_variant,seed_index,subject,body,text,label,sender,receiver,date,urls,generation_date,original_subject,original_body
synth_inner_000_rewrite,train_real_mal_inner_003106,inner,rewrite,0,Choose Your Pharmacy with Confidence,"We recommend a trusted online pharmacy for your needs – Maple Health Supplies. This store is well-known for consistently providing authentic generic medications at prices far below those of flash-sale sites that often distribute counterfeit drugs.
Ideal for budget-conscious individuals prioritizing their well-being.
http://clearsolutionhealth.com
Payments secured by MasterCard and exclusively offering FDA-certified medications.","Choose Your Pharmacy with Confidence We recommend a trusted online pharmacy for your needs – Maple Health Supplies. This store is well-known for consistently providing authentic generic medications at prices far below those of flash-sale sites that often distribute counterfeit drugs.
Ideal for budget-conscious individuals prioritizing their well-being.
http://clearsolutionhealth.com
Payments secured by MasterCard and exclusively offering FDA-certified medications.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:30,Select Your Drugstore Carefully,"On our behalf, we can advise you one of such pharmacies - Canadian Healthcare. This e-shop is famous for the permanent generic quality of the products offered and the prices that are significantly lower even than those of one-day e-shop dealing with fake medications.

For economical people who care about their health.
http://mineintuition.com

Verified by VISA and sell FDA Approved Pills only."
synth_inner_000_rewrite_weak,train_real_mal_inner_003106,inner,rewrite_weak,0,Buy Cheap Medicine Now (Not Safe!),"Hello,
We have a cheap drugstore for you: Canadian Healthcare. Their pills are low price and good quality (maybe). This website sells medicine that might not be real.
If you want to save money, visit here: http://mineintuition.com
They say they are verified by VISA and FDA, but this might be fake.
Be careful!","Buy Cheap Medicine Now (Not Safe!) Hello,
We have a cheap drugstore for you: Canadian Healthcare. Their pills are low price and good quality (maybe). This website sells medicine that might not be real.
If you want to save money, visit here: http://mineintuition.com
They say they are verified by VISA and FDA, but this might be fake.
Be careful!",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:31,Select Your Drugstore Carefully,"On our behalf, we can advise you one of such pharmacies - Canadian Healthcare. This e-shop is famous for the permanent generic quality of the products offered and the prices that are significantly lower even than those of one-day e-shop dealing with fake medications.

For economical people who care about their health.
http://mineintuition.com

Verified by VISA and sell FDA Approved Pills only."
synth_inner_001_rewrite,train_real_mal_inner_001911,inner,rewrite,1,Transform Your Intimate Experience Today,"Discover the powerful and discreet VPXL device designed to enhance your size safely and effectively. Comfortable to use and easy to remove, this device can help you gain up to 2 inches, delivering impressive results with no harmful side effects.
Place your order now and receive your VPXL quickly and confidentially. We prioritize your privacy and guarantee prompt delivery. Experience the premium quality that sets VPXL apart.
Visit now: http://camepace.com
Take control of your satisfaction—order your VPXL today and start a new chapter in your personal life.","Transform Your Intimate Experience Today Discover the powerful and discreet VPXL device designed to enhance your size safely and effectively. Comfortable to use and easy to remove, this device can help you gain up to 2 inches, delivering impressive results with no harmful side effects.
Place your order now and receive your VPXL quickly and confidentially. We prioritize your privacy and guarantee prompt delivery. Experience the premium quality that sets VPXL apart.
Visit now: http://camepace.com
Take control of your satisfaction—order your VPXL today and start a new chapter in your personal life.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:31,our sexual life maybe incredible and exciting,"Use safe and effective VPXL device to enlarge your penis. The device is very discreet and convenient. It can be easily worn and taken off. You can achieve penis enlargement up to 2 inches. Absolutely amazing results without any side effects !

 Order with us and VPXL will be delivered promptly without delays. Strict confidentiality is guaranteed. VPXL is the high quality product.

  http://camepace.com

 Order your VPXL  and make the first step to your happy life."
synth_inner_001_rewrite_strong,train_real_mal_inner_001911,inner,rewrite_strong,1,Enhance Personal Wellness with the Clinically-Validated VPXL Device,"Dear Valued Customer,

We are pleased to introduce the VPXL device, a discreet and medically-supported solution designed to promote male enhancement comfortably and effectively. Developed with user convenience in mind, the device features an ergonomic design that allows for easy application and removal during daily routines.

Clinical studies have demonstrated that consistent use of the VPXL device can result in noticeable improvements in penile size, with many users experiencing gains of up to two inches. Importantly, the device is crafted to ensure safety, with no reported adverse effects when used as directed.

We prioritize your privacy and guarantee complete confidentiality throughout the ordering and delivery process. Your VPXL device will be shipped promptly in unmarked packaging to ensure discreet handling.

To take the next step toward enhanced personal confidence and well-being, please visit our secure website:

http://camepace.com

Should you have any questions or require further information, our dedicated customer support team is available to assist you.

Best regards,  
Customer Care Team  
VPXL Wellness Solutions","Enhance Personal Wellness with the Clinically-Validated VPXL Device Dear Valued Customer,

We are pleased to introduce the VPXL device, a discreet and medically-supported solution designed to promote male enhancement comfortably and effectively. Developed with user convenience in mind, the device features an ergonomic design that allows for easy application and removal during daily routines.

Clinical studies have demonstrated that consistent use of the VPXL device can result in noticeable improvements in penile size, with many users experiencing gains of up to two inches. Importantly, the device is crafted to ensure safety, with no reported adverse effects when used as directed.

We prioritize your privacy and guarantee complete confidentiality throughout the ordering and delivery process. Your VPXL device will be shipped promptly in unmarked packaging to ensure discreet handling.

To take the next step toward enhanced personal confidence and well-being, please visit our secure website:

http://camepace.com

Should you have any questions or require further information, our dedicated customer support team is available to assist you.

Best regards,  
Customer Care Team  
VPXL Wellness Solutions",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:32,our sexual life maybe incredible and exciting,"Use safe and effective VPXL device to enlarge your penis. The device is very discreet and convenient. It can be easily worn and taken off. You can achieve penis enlargement up to 2 inches. Absolutely amazing results without any side effects !

 Order with us and VPXL will be delivered promptly without delays. Strict confidentiality is guaranteed. VPXL is the high quality product.

  http://camepace.com

 Order your VPXL  and make the first step to your happy life."
synth_inner_002_rewrite,train_real_mal_inner_000000,inner,rewrite,2,Ignite the spark in your relationship tonight,"Countless men globally have confirmed this secret method truly works!
You have what it takes to enhance your intimate performance with absolute confidence!
http://lovesecretboost.com/
---
Please disregard the unrelated text below.","Ignite the spark in your relationship tonight Countless men globally have confirmed this secret method truly works!
You have what it takes to enhance your intimate performance with absolute confidence!
http://lovesecretboost.com/
---
Please disregard the unrelated text below.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:32,Make your wife more passionate,"Men from all around the world can prove this formula is indeed effective!
You-re capable of increasing your love tool for certain sure!
http://wearplaces.com/


some trading losses but noted that the fund was still up 2.5 percent forsalary was raised to $23,000 a year. Less than a year after that heIn an article he wrote in early 1988, Soros noted the striking similarities"
synth_inner_001_rewrite_weak,train_real_mal_inner_001911,inner,rewrite_weak,1,Get bigger penis now with VPXL!,"Buy VPXL device to make your penis bigger fast. It is easy to use and no side effects. You can grow 2 inches!
Order now from http://camepace.com
Do not miss this chance! VPXL is the best product for you.
Warning: This message is suspicious and could be a scam. Do not click links or give personal info.","Get bigger penis now with VPXL! Buy VPXL device to make your penis bigger fast. It is easy to use and no side effects. You can grow 2 inches!
Order now from http://camepace.com
Do not miss this chance! VPXL is the best product for you.
Warning: This message is suspicious and could be a scam. Do not click links or give personal info.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:33,our sexual life maybe incredible and exciting,"Use safe and effective VPXL device to enlarge your penis. The device is very discreet and convenient. It can be easily worn and taken off. You can achieve penis enlargement up to 2 inches. Absolutely amazing results without any side effects !

 Order with us and VPXL will be delivered promptly without delays. Strict confidentiality is guaranteed. VPXL is the high quality product.

  http://camepace.com

 Order your VPXL  and make the first step to your happy life."
synth_inner_000_rewrite_strong,train_real_mal_inner_003106,inner,rewrite_strong,0,Important: Trusted Pharmacy Recommendations for Your Health and Savings,"Dear Valued Customer,

In our ongoing commitment to your health and well-being, we would like to recommend a reputable online pharmacy that consistently meets high standards for medication quality and safety.

Canadian Healthcare is a licensed e-pharmacy known for offering a wide range of FDA-approved generic medications, ensuring both efficacy and affordability. Their products undergo strict quality control, distinguishing them from many short-term vendors that may distribute counterfeit or substandard items.

By choosing Canadian Healthcare, you benefit from:

- Verified secure payment options, including Visa and Mastercard
- Transparent sourcing and compliance with regulatory requirements
- Competitive pricing designed to help you save without compromising your health

We encourage you to explore their selection to find authentic medications that support your wellness goals.

Access their trusted platform here:  
http://mineintuition.com

Your health deserves the best—choose carefully.

Warm regards,  
[Your Organization’s Name]  
Customer Care Team

---

*This message is intended for the recipient only. If you have any questions or concerns, please contact our support team.*","Important: Trusted Pharmacy Recommendations for Your Health and Savings Dear Valued Customer,

In our ongoing commitment to your health and well-being, we would like to recommend a reputable online pharmacy that consistently meets high standards for medication quality and safety.

Canadian Healthcare is a licensed e-pharmacy known for offering a wide range of FDA-approved generic medications, ensuring both efficacy and affordability. Their products undergo strict quality control, distinguishing them from many short-term vendors that may distribute counterfeit or substandard items.

By choosing Canadian Healthcare, you benefit from:

- Verified secure payment options, including Visa and Mastercard
- Transparent sourcing and compliance with regulatory requirements
- Competitive pricing designed to help you save without compromising your health

We encourage you to explore their selection to find authentic medications that support your wellness goals.

Access their trusted platform here:  
http://mineintuition.com

Your health deserves the best—choose carefully.

Warm regards,  
[Your Organization’s Name]  
Customer Care Team

---

*This message is intended for the recipient only. If you have any questions or concerns, please contact our support team.*",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:33,Select Your Drugstore Carefully,"On our behalf, we can advise you one of such pharmacies - Canadian Healthcare. This e-shop is famous for the permanent generic quality of the products offered and the prices that are significantly lower even than those of one-day e-shop dealing with fake medications.

For economical people who care about their health.
http://mineintuition.com

Verified by VISA and sell FDA Approved Pills only."
synth_inner_002_rewrite_weak,train_real_mal_inner_000000,inner,rewrite_weak,2,WARNING: Boost your wife’s passion NOW!!!,"Hello,
Many men say this secret works 100% to make your wife more passionate!
You CAN make your love tool bigger and better for sure!
Click here to try it: http://wearplaces.com/
Don’t miss out or you’ll regret it!
*** This is NOT a safe or real offer. Be careful! ***","WARNING: Boost your wife’s passion NOW!!! Hello,
Many men say this secret works 100% to make your wife more passionate!
You CAN make your love tool bigger and better for sure!
Click here to try it: http://wearplaces.com/
Don’t miss out or you’ll regret it!
*** This is NOT a safe or real offer. Be careful! ***",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:34,Make your wife more passionate,"Men from all around the world can prove this formula is indeed effective!
You-re capable of increasing your love tool for certain sure!
http://wearplaces.com/


some trading losses but noted that the fund was still up 2.5 percent forsalary was raised to $23,000 a year. Less than a year after that heIn an article he wrote in early 1988, Soros noted the striking similarities"
synth_inner_002_rewrite_strong,train_real_mal_inner_000000,inner,rewrite_strong,2,Enhance Intimacy and Connection – Expert-Recommended Approach,"Dear [Recipient’s Name],

I hope this message finds you well. Recent studies and feedback from relationship specialists worldwide have highlighted a natural, scientifically-backed method to help couples deepen intimacy and rekindle passion in their relationships.

Many users have reported noticeable improvements in emotional connection and physical vitality by incorporating this approach into their daily routine. It’s an easy, discreet way to support your personal confidence and enhance mutual satisfaction.

For detailed information and personalized guidance, please visit the secure link below:
[https://intimacy-enhance.com/secure-access](https://intimacy-enhance.com/secure-access)

Wishing you and your partner continued happiness and closeness.

Warm regards,  
[Your Name]  
Relationship Wellness Consultant

---

*This message is confidential and intended solely for the recipient. If you received this in error, please delete it immediately.*","Enhance Intimacy and Connection – Expert-Recommended Approach Dear [Recipient’s Name],

I hope this message finds you well. Recent studies and feedback from relationship specialists worldwide have highlighted a natural, scientifically-backed method to help couples deepen intimacy and rekindle passion in their relationships.

Many users have reported noticeable improvements in emotional connection and physical vitality by incorporating this approach into their daily routine. It’s an easy, discreet way to support your personal confidence and enhance mutual satisfaction.

For detailed information and personalized guidance, please visit the secure link below:
[https://intimacy-enhance.com/secure-access](https://intimacy-enhance.com/secure-access)

Wishing you and your partner continued happiness and closeness.

Warm regards,  
[Your Name]  
Relationship Wellness Consultant

---

*This message is confidential and intended solely for the recipient. If you received this in error, please delete it immediately.*",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:35,Make your wife more passionate,"Men from all around the world can prove this formula is indeed effective!
You-re capable of increasing your love tool for certain sure!
http://wearplaces.com/


some trading losses but noted that the fund was still up 2.5 percent forsalary was raised to $23,000 a year. Less than a year after that heIn an article he wrote in early 1988, Soros noted the striking similarities"
synth_inner_004_rewrite,train_real_mal_inner_002615,inner,rewrite,4,Unlock New Levels of Confidence Tonight,"Discover the ultimate enhancer designed to boost both size and stamina where it counts most!
Experience noticeable growth and increased endurance starting now!
http://brightfuturehub.com/
Mr. McNeill's hearing is scheduled soon. As for me, I'm focused on improving my game, and it's clear the Devils showed up strong once more.","Unlock New Levels of Confidence Tonight Discover the ultimate enhancer designed to boost both size and stamina where it counts most!
Experience noticeable growth and increased endurance starting now!
http://brightfuturehub.com/
Mr. McNeill's hearing is scheduled soon. As for me, I'm focused on improving my game, and it's clear the Devils showed up strong once more.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:36,More excitement for your lady,"This secret weapon will give more length and power to your little warrior of love!
Start gaining more and more additional centimeters!
http://dearbright.com/


Mr McNeill will be sentenced at a later date.for me to make me a better football player and I'm sureas, once again, the Devils brought their best and the"
