Model,Metric,Mean,Std,Best_Dataset,Best_Ratio
DeepLearning,Accuracy,0.9388,0.0436,baseline_real,20
DeepLearning,Precision,0.9487,0.0321,baseline_real,20
DeepLearning,Recall,0.9388,0.0436,baseline_real,20
DeepLearning,F1_Score,0.9389,0.0437,baseline_real,20
RandomForest,Accuracy,0.701,0.0957,baseline_real,20
RandomForest,Precision,0.8259,0.0363,baseline_real,20
RandomForest,Recall,0.701,0.0957,baseline_real,20
RandomForest,F1_Score,0.6762,0.1181,baseline_real,20
SVM,Accuracy,0.8713,0.0869,baseline_real,20
SVM,Precision,0.9073,0.05,baseline_real,20
SVM,Recall,0.8713,0.0869,baseline_real,20
SVM,F1_Score,0.8687,0.0916,baseline_real,20
