Dataset_Type,Model,Malicious_Ratio_Percent,Accuracy,Precision,Recall,F1_Score,Training_Samples,Test_Samples
baseline_real,DeepLearning,5,0.9585,0.9619,0.9585,0.9586,10000,7826
baseline_real,DeepLearning,10,0.9752,0.9765,0.9752,0.9753,10000,7826
baseline_real,DeepLearning,15,0.9877,0.988,0.9877,0.9877,10000,7826
baseline_real,DeepLearning,20,0.9894,0.9896,0.9894,0.9894,10000,7826
baseline_real,RandomForest,5,0.7016,0.8216,0.7016,0.6849,10000,7826
baseline_real,RandomForest,10,0.7741,0.8505,0.7741,0.7684,10000,7826
baseline_real,RandomForest,15,0.8132,0.8687,0.8132,0.8107,10000,7826
baseline_real,RandomForest,20,0.8846,0.908,0.8846,0.8846,10000,7826
baseline_real,SVM,5,0.8901,0.912,0.8901,0.8902,10000,7826
baseline_real,SVM,10,0.9517,0.9565,0.9517,0.9519,10000,7826
baseline_real,SVM,15,0.9715,0.9732,0.9715,0.9716,10000,7826
baseline_real,SVM,20,0.9808,0.9816,0.9808,0.9809,10000,7826
pure_original,DeepLearning,5,0.8957,0.9154,0.8957,0.8959,10000,7826
pure_original,DeepLearning,10,0.9495,0.9546,0.9495,0.9497,10000,7826
pure_original,DeepLearning,15,0.9709,0.9726,0.9709,0.9709,10000,7826
pure_original,DeepLearning,20,0.9774,0.9784,0.9774,0.9774,10000,7826
pure_original,RandomForest,5,0.5779,0.7841,0.5779,0.5177,10000,7826
pure_original,RandomForest,10,0.6486,0.8042,0.6486,0.6178,10000,7826
pure_original,RandomForest,15,0.7071,0.8238,0.7071,0.6914,10000,7826
pure_original,RandomForest,20,0.7825,0.8542,0.7825,0.7777,10000,7826
pure_original,SVM,5,0.7895,0.8574,0.7895,0.7853,10000,7826
pure_original,SVM,10,0.8922,0.9133,0.8922,0.8922,10000,7826
pure_original,SVM,15,0.9316,0.9408,0.9316,0.9319,10000,7826
pure_original,SVM,20,0.9508,0.9556,0.9508,0.951,10000,7826
pure_strong,DeepLearning,5,0.8814,0.9064,0.8814,0.8814,10000,7826
pure_strong,DeepLearning,10,0.942,0.9487,0.942,0.9422,10000,7826
pure_strong,DeepLearning,15,0.9687,0.9707,0.9687,0.9688,10000,7826
pure_strong,DeepLearning,20,0.9518,0.9563,0.9518,0.952,10000,7826
pure_strong,RandomForest,5,0.6063,0.7918,0.6063,0.5596,10000,7826
pure_strong,RandomForest,10,0.6568,0.8068,0.6568,0.6285,10000,7826
pure_strong,RandomForest,15,0.6863,0.8165,0.6863,0.666,10000,7826
pure_strong,RandomForest,20,0.8136,0.8689,0.8136,0.8111,10000,7826
pure_strong,SVM,5,0.7364,0.8349,0.7364,0.7259,10000,7826
pure_strong,SVM,10,0.8364,0.8806,0.8364,0.8352,10000,7826
pure_strong,SVM,15,0.9071,0.9231,0.9071,0.9073,10000,7826
pure_strong,SVM,20,0.933,0.9417,0.933,0.9333,10000,7826
pure_weak,DeepLearning,5,0.8409,0.8827,0.8409,0.8398,10000,7826
pure_weak,DeepLearning,10,0.8865,0.9095,0.8865,0.8866,10000,7826
pure_weak,DeepLearning,15,0.9158,0.929,0.9158,0.916,10000,7826
pure_weak,DeepLearning,20,0.9298,0.9391,0.9298,0.9301,10000,7826
pure_weak,RandomForest,5,0.5345,0.7732,0.5345,0.4482,10000,7826
pure_weak,RandomForest,10,0.6259,0.7974,0.6259,0.5871,10000,7826
pure_weak,RandomForest,15,0.6573,0.8069,0.6573,0.6292,10000,7826
pure_weak,RandomForest,20,0.7455,0.8385,0.7455,0.7363,10000,7826
pure_weak,SVM,5,0.685,0.8161,0.685,0.6644,10000,7826
pure_weak,SVM,10,0.7934,0.8592,0.7934,0.7895,10000,7826
pure_weak,SVM,15,0.8278,0.876,0.8278,0.8261,10000,7826
pure_weak,SVM,20,0.863,0.8953,0.863,0.8626,10000,7826
