Dataset_Type,Metric,Mean,Std,Min,Max,Best_Model,Best_Ratio
baseline_real,Accuracy,0.9065,0.0961,0.7016,0.9894,DeepLearning,20
baseline_real,Precision,0.9323,0.0587,0.8216,0.9896,DeepLearning,20
baseline_real,Recall,0.9065,0.0961,0.7016,0.9894,DeepLearning,20
baseline_real,F1_Score,0.9045,0.1004,0.6849,0.9894,DeepLearning,20
pure_original,Accuracy,0.8395,0.136,0.5779,0.9774,DeepLearning,20
pure_original,Precision,0.8962,0.0686,0.7841,0.9784,DeepLearning,20
pure_original,Recall,0.8395,0.136,0.5779,0.9774,DeepLearning,20
pure_original,F1_Score,0.8299,0.1524,0.5177,0.9774,DeepLearning,20
pure_strong,Accuracy,0.8266,0.1263,0.6063,0.9687,DeepLearning,15
pure_strong,Precision,0.8872,0.0631,0.7918,0.9707,DeepLearning,15
pure_strong,Recall,0.8266,0.1263,0.6063,0.9687,DeepLearning,15
pure_strong,F1_Score,0.8176,0.1401,0.5596,0.9688,DeepLearning,15
pure_weak,Accuracy,0.7754,0.1259,0.5345,0.9298,DeepLearning,20
pure_weak,Precision,0.8602,0.0541,0.7732,0.9391,DeepLearning,20
pure_weak,Recall,0.7754,0.1259,0.5345,0.9298,DeepLearning,20
pure_weak,F1_Score,0.7597,0.1493,0.4482,0.9301,DeepLearning,20
