attack_type,count,diff_srv_rate,difficulty_level,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag,generation_timestamp,hot,is_guest_login,is_host_login,label,land,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_outbound_cmds,num_root,num_shells,protocol_type,rerror_rate,root_shell,same_srv_rate,sample_id,serror_rate,service,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,sub_label,urgent,wrong_fragment,synthetic
phf,3,0.0,10,8500,20,0.0,0.95,0.0,1.0,0.0,20,0.0,0.95,0.0,0,RSTO,1750431333.553983,0,0,0,1,0,0,0,0,2,0,0,0,0,tcp,1.0,0,1.0,mal_33_3,0.0,http,15,3,0.0,1.0,0.0,0,r2l,0,0,1
normal,10,0.0,21,0,75,0.0,0.0,1.0,1.0,0.0,120,0.02,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,,0.0,domain_u,36,10,0.0,0.0,0.0,0,normal,0,0,0
normal,3,0.0,21,0,228,0.03,0.0,0.52,0.52,0.0,134,0.01,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,13239,3,0.0,0.0,0.0,0,normal,0,0,0
normal,35,0.02,20,110,180,0.01,0.0,0.0,0.97,0.0,175,0.01,0.0,0.0,8,SF,1750431418.8826866,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.98,ben_51_4,0.0,domain_u,35,40,0.01,0.0,0.0,0,normal,0,0,1
normal,50,0.0,21,110,200,0.0,0.0,0.0,1.0,0.0,195,0.0,0.0,0.0,20,SF,1750431422.6261852,0,0,0,0,0,0,0,0,0,0,0,0,0,icmp,0.0,0,1.0,ben_57_4,0.0,ecr_i,90,48,0.0,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,335,192,0.02,0.0,0.01,0.48,0.01,144,0.01,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,935,2,1.0,0.0,0.0,0,normal,0,0,0
normal,3,0.0,21,282,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,356,3,0.0,0.0,0.0,0,normal,0,0,0
normal,8,0.0,21,8903,238,0.0,0.0,0.0,1.0,0.0,255,0.02,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,291,9,0.22,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,369,130,0.02,0.0,0.01,0.55,0.0,138,0.01,0.0,0.0,7,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,1341,1,0.0,0.0,0.0,0,normal,0,0,0
guess_passwd,6,0.0,10,8000,25,0.0,0.9,0.0,1.0,0.0,25,0.0,0.91,0.0,0,RSTO,1750431372.1847565,0,0,0,1,0,0,0,0,2,0,0,0,0,tcp,0.91,0,1.0,mal_37_2,0.0,http,0,6,0.0,0.93,0.0,0,r2l,0,0,1
normal,110,0.0,20,220,230,0.0,0.0,0.0,1.0,0.0,230,0.0,0.0,0.0,40,SF,1750431512.047359,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,ben_79_1,0.0,domain_u,60,150,0.01,0.0,0.0,0,normal,0,0,1
normal,7,0.0,21,6162,7,0.0,0.0,0.14,1.0,0.0,255,0.02,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,331,7,0.0,0.0,0.0,0,normal,0,0,0
normal,2,0.0,21,0,13,0.15,0.0,0.23,0.23,0.0,32,0.06,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,383,2,0.0,0.0,0.0,0,normal,0,0,0
normal,18,0.0,21,180,70,0.0,0.0,0.0,1.0,0.0,70,0.0,0.0,0.0,8,SF,1750431511.6783435,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,ben_76_3,0.0,telnet,150,20,0.0,0.0,0.0,0,normal,0,0,1
warezclient,4,0.0,10,7200,22,0.0,0.94,0.05,1.0,0.02,22,0.0,0.95,0.01,0,RSTO,1750431332.4137142,0,0,0,1,0,0,0,0,3,0,0,0,0,tcp,0.95,0,1.0,mal_25_0,0.02,ftp_data,0,4,0.0,0.96,0.01,0,r2l,0,0,1
normal,22,0.0,18,250,40,0.0,0.0,0.0,1.0,0.0,39,0.0,0.0,0.0,8,SF,1750431590.046141,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,ben_99_3,0.0,telnet,130,25,0.0,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,332,163,0.02,0.0,0.01,0.87,0.0,141,0.0,0.0,0.0,7,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,2240,2,1.0,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,0,1,0.0,1.0,1.0,1.0,0.0,80,0.2,1.0,0.0,0,REJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,1.0,0,1.0,,0.0,http,0,1,0.0,1.0,0.0,0,normal,0,0,0
normal,25,0.05,19,14500,230,0.01,0.0,0.0,0.98,0.0,225,0.0,0.0,0.0,12,SF,1750431586.4065084,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.95,ben_98_0,0.0,http,350,22,0.0,0.0,0.0,0,normal,0,0,1
normal,15,0.01,18,5000,110,0.0,0.0,0.0,0.99,0.0,108,0.0,0.0,0.0,20,SF,1750431457.8480332,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.98,ben_65_2,0.0,ftp_data,4500,14,0.0,0.0,0.0,0,normal,0,0,1
guess_passwd,4,0.0,11,16000,15,0.0,0.9,0.0,1.0,0.0,15,0.0,0.9,0.0,1,SF,1750431333.540983,0,0,0,1,0,0,0,0,3,0,0,0,0,tcp,0.95,0,1.0,mal_33_1,0.0,telnet,40,4,0.0,0.96,0.0,0,r2l,0,0,1
normal,5,0.0,21,1065,255,0.0,0.0,0.0,1.0,0.01,255,0.0,0.0,0.01,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.2,http,224,6,0.33,0.0,0.17,0,normal,0,0,0
normal,30,0.05,18,4600,60,0.03,0.0,0.0,0.96,0.0,58,0.01,0.0,0.0,18,SF,1750431590.0321412,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.95,ben_99_2,0.0,ftp_data,800,28,0.0,0.0,0.0,0,normal,0,0,1
normal,2,1.0,21,105,255,0.67,0.0,0.96,0.01,0.0,3,0.0,0.0,0.0,2230,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.5,,0.0,other,146,1,0.0,0.0,0.0,0,normal,0,0,0
normal,40,0.01,20,240,55,0.0,0.0,0.0,1.0,0.0,55,0.0,0.0,0.0,10,SF,1750431546.613464,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.99,ben_86_3,0.0,telnet,150,35,0.0,0.0,0.0,0,normal,0,0,1
