subject,body,label,source,unique_id,seed_type
[Fwd: Smoke [5.10.0] 32274 FAIL(M) OSF1 V5.1 (EV6/4 cpu)],"This is still failing the same way as one week ago.  Trying to read the
logs (attached smokecurrent.log.gz and mktest.out.gz) makes me very
confused... this smoke set I build only once a week, and it was
succeeding at patchlevel 32199,
http://www.nntp.perl.org/group/perl.daily-build.reports/2007/10/msg51152.html

(1) what happens with g++ (3.3, ancient, but the best I have available
in this box) is this:

Compiler info: g++ version 3.3
Unable to make anything but miniperl in this configuration
TSTENV = minitest           You may see some irrelevant test failures if
you have been unable

I don't know where the ""Unable to make anything but miniperl in this
configuration comes from"".  Not hints/dec_osf.sh or anything else in the
build tree, so it must be the Test::Smoke?

(2) Even with the succeeding builds there are errors that should have
made the Os to be Fs:

(2a) I get this twice:

[ERROR] Could not find the 'cpanp-run-perl' binary in your path--this
may be a problem.
Please locate this program and set your 'perlwrapper' config entry to
its path.
>From the default shell, you can do this by typing:

  s program perlwrapper FULL_PATH_TO_CPANP_RUN_PERL
  s save

(2b) And this a few times:

Malformed UTF-8 character (unexpected non-continuation byte 0x20,
immediately after start byte 0xe0) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x61,
immediately after start byte 0xe7) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x69,
immediately after start byte 0xe1) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x72,
immediately after start byte 0xf8) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x73,
immediately after start byte 0xcd) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x6d,
immediately after start byte 0xe1) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x73,
immediately after start byte 0xea) at lib/locale/latin1 line 2.
Malformed UTF-8 character (unexpected non-continuation byte 0x6c,
immediately after start byte 0xf5) at lib/locale/latin1 line 2.
All tests successful.

-------- Original Message --------
Subject: Smoke [5.10.0] 32274 FAIL(M) OSF1 V5.1 (EV6/4 cpu)
Date: Mon, 12 Nov 2007 06:23:05 +0200 (EET)
From: Jarkko Hietaniemi 
To: tiugbhf-kgqkygc@perl.org
CC: gbl@iki.fi

Automated smoke report for 5.10.0 patch 32274
kosh.hut.fi: alpha EV6.7 (21264A) (EV6/4 cpu)
    on        OSF1 - V5.1
    using     cxx version V6.5-011
    smoketime 7 hours (average 1 hour 10 minutes)

Summary: FAIL(M)

O = OK  F = Failure(s), extended report at the bottom
X = Failure(s) under TEST but not under harness
? = still running or test results not (yet) available
Build failures during:       - = unknown or N/A
c = Configure, m = make, M = make (after miniperl), t = make test-prep

   32274     Configuration (common) -Dlocincpth=/p/include
-Dloclibpth=/p/lib
----------- ---------------------------------------------------------
O O O O O O -Dcc=cxx
M - - M - - -Dcc=g++
O O O O O O -DPERL_GLOBAL_STRUCT_PRIVATE
| | | | | +- LC_ALL = fi_FI.UTF-8 -DDEBUGGING
| | | | +--- PERLIO = perlio -DDEBUGGING
| | | +----- PERLIO = stdio  -DDEBUGGING
| | +------- LC_ALL = fi_FI.UTF-8
| +--------- PERLIO = perlio
+----------- PERLIO = stdio

Locally applied patches:
    DEVEL
    SMOKE32274

-- 
Report by Test::Smoke v1.19_84 build 991 running on perl 5.8.3
(Reporter v0.026 / Smoker v0.030)


",0,CEAS-08,1,outlier
Re: Local maildir delivery problem,"On 20080223 18:20:29, Wietse Venema wrote:
> > postfix/local[67441]: send attr reason = maildir delivery failed:
> > create maildir file
> > /home/cc/.maildir/new/1203783544.V6eI353005M247564.isaac.xlocal.net:
> > Operation not permitted
> 
> What are the permissions (use ""ls -ld"") of:
> 
> /
> /home
> /home/cc
> /home/cc/.maildir
> /home/cc/.maildir/new
> 
> The l receiving user must have execute access on directories that
> already exist, and must have write permission to create any missing
> directories, as well as the mail file itself.

Hello Wietse,

$ ls -ld /
drwxr-xr-x  21 root  wheel  512 23 Feb 22:47 /
$ ls -ld /home/cc
drwxr-xr-t  19 cc  cc  2048 24 Feb 00:35 /home/cc
$ ls -ld /home/cc/.maildir
lrwxr-xr-x  1 cc  cc  10  7 Mar  2007 /home/cc/.maildir -> mail/spool
$ ls -ld /home/cc/mail/spool
drwx------  5 cc  cc  512  7 Feb  2007 /home/cc/mail/spool
$ ls -ld /home/cc/mail/spool/new
drwx------  2 cc  cc  1536 24 Feb 00:35 /home/cc/mail/spool/new

The above looked OK to me, but I did chmod ugo+rx on all referenced
directories anyway and mail delivers correctly now! I have a vague feeling
that this isn't the first time I've done this...

Thanks for the help.


",0,CEAS-08,6,outlier
[opensuse] Unicode v ascii?,"All,

I have a huge text file (1.7 million lines) full of unicode and ascii
text (half and half).

note: disk space for copies is not a problem, if I need to manipulate this file

Also, I have a 30 line file full of ascii text.

I need to search the large file for any occurrences of the keywords in
the 30 line file.

Ignoring the unicode issue, I could use grep (of fgrep, egrep) with
appropriate args.

I have no idea how to handle the unicode issue.

Any suggestions?

Thanks
Greg
-- 
Greg Freemyer
Litigation Triage Solutions Specialist
http://www.linkedin.com/in/gregfreemyer
First 99 Days Litigation White Paper -
http://www.norcrossgroup.com/forms/whitepapers/99%20Days%20whitepaper.pdf

The Norcross Group
The Intersection of Evidence & Technology
http://www.norcrossgroup.com


",0,CEAS-08,8,outlier
SafeSecureAvailableForValuedCustomer,"
EmedsAddtoCartWorldwide
http://qzehma.bay.livefilestore.com/y1p1g8L_6JX1E8wV1yNwTxQf3ehS8ucqmdf4N6nuoD69dPBnUAVsrS2dyS-9Zs4HKwKdVs9wkRXS-LkS0pAGXTszA/index.html


",1,CEAS-08,9,outlier
Guaranteed Erection Fast,"
Read hundreds of testimonials from satisfied men and their girlfriends on this site. After years of scientific research, a herbal breakthrough is finally achieved - the product rated as #1 by healthcare professionals, with gains of up to 1-3 inches guaranteed, and girth increases from 5% - 30%.

""I couldn't believe that my Paul gained an incredible 3 inches in just 2 short months. Now that he's longer and also thicker, making love is so much more pleasurable, and I come a lot more easily"" Lindsay, California, USA

http://pillmust.com/


",1,CEAS-08,12,outlier
Today's Activity (Wednesday 5th March),"+------------------------------------------------------------------------+ 
Today's Activity (Wednesday 5th March)
+------------------------------------------------------------------------+ 
 
Hi Tony, you have 157 DVDs and 36 Series in your Rental Queue, 3 DVDs are Coming Soon. 

DVDs Sent Today 
------------------------------------------
We sent the following DVDs to you today.

Babylon 5 - Season 2 (1995) (Disc 1)
Neverending Story III, The (1994)
Shrek 3 (2007)
 

If you have any problems with a DVD, visit this link: 
http://www.movieshack.co.nz/?_account=mc&md=message&s=rental_problem
 
+------------------------------------------------------------------------+ 
Please do not reply to this email, visit our contact page to reply: 
http://www.movieshack.co.nz/?_movieshack&i=contact 
+------------------------------------------------------------------------+ 
If you'd rather not receive ""Today's Activity"" alerts from Movieshack,
please feel free to remove yourself from this alert category
by clicking here - http://www.movieshack.co.nz/?_account=mc&md=eao

",0,CEAS-08,16,outlier
Jaeger-LeCoultre replica watch Luxury isnt a sin ,"
Watches from the best brands at Replica Classics 

If you want a decent watch, get a replica approach. ...   

Christmas Replica Watches  

http://blockvatreb.com/


",1,CEAS-08,24,outlier
[Bug 5817] Poorly faked MTA Received headers (MUA to MX),"https://issues.apache.org/SpamAssassin/show_bug.cgi?id=5817





------- Additional Comments From wlbpaliggfad@dostech.ca  2008-02-28 11:42 -------
(In reply to comment #35)
> Daryl, please add variant D based on this and preferably the single RE variant A.

r632099





------- You are receiving this mail because: -------
You are the assignee for the bug, or are watching the assignee.


",0,CEAS-08,28,outlier
Re: [PATCH] Porting/Maintainers.pl,"On 10/10/2007, Robin Barker  wrote:
>
>
>
> % perl -w Porting/Maintainers --check
> File lib/ExtUtils/t/Manifest.t appears 2 times in Maintainers.pl
>
> This patch fixes that and makes the ExtUtils::MakeMaker entry more readable.

Thanks, applied as #32095.


",0,CEAS-08,30,outlier
"Working with Windows Training - ADVANCED - Wed, 14th May 2008 ","Hi all

IT Services are running an advanced training course on Working with Windows. This training is designed for those who have a good understanding of the Windows environment or who have taken the Windows XP Beginners/Intermediate training.

Date:		Wednesday, 14 May 2008

Time:		9:00am till 12:30pm

Place:	ITS Training Room, Quad B Basement

Cost:		$10 if paying with a departmental purchase order or 
		$12 if paying cash.

Training Covers:
===================================== 
* Windows XP Introduction
* Internet Explorer and configuration
* Working with shortcuts
* Working with desktop toolbars
* Working with control panel
* Backing up/restoring your data and working with home network drive
* Learning about the Massey environment
* Mapping a network drive
* Adding printers/photocopiers and configuration
* Managing personal folders within Outlook and backing up emails
* How to make your PC faster
* Antivirus and anti-spyware software (installing and configuration)
* Connecting to Massey wireless network (configuration and proxy setting) on Windows XP and Vista

Question and Answers
* Ask questions about the Massey environment and software
* Share your knowledge and any problems you are facing with other colleagues

If you are interested in attending this training please reply to this email with your details. �I will need a Massey order number and GL account code if paying through the department or $12 if paying cash (incl. GST). �Please note that numbers are limited and bookings cannot be confirmed unless this information is received. 

Kind regards
Enid Song

IT Administrator
Information Technology Services
Massey University, Albany
Private Bag�102904
North Shore Mail Centre
Auckland
Tel:� 09-4140800 ext 9478
Fax: 09-4140800 ext 9100 (internal) 
����� : 09-4418100 (external)�
Email: sesubkzd@massey.ac.nz���


",0,CEAS-08,31,outlier
