study_design,synthetic_pct,malicious_ratio,model,total_samples,real_samples,synthetic_samples,malicious_samples,benign_samples,actual_synthetic_pct,actual_malicious_ratio,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,error,overall_attack_rate
augmentation,0,0.5,SVM,100,100,0,52,48,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,
augmentation,0,0.5,RandomForest,100,100,0,52,48,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,
augmentation,10,0.5,SVM,111,100,11,57,54,9.90990990990991,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.35135135135135
augmentation,10,0.5,RandomForest,111,100,11,57,54,9.90990990990991,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.35135135135135
augmentation,20,0.5,SVM,125,100,25,64,61,20.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.2
augmentation,20,0.5,RandomForest,125,100,25,64,61,20.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.2
augmentation,30,0.5,SVM,142,100,42,73,69,29.577464788732392,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.40845070422535
augmentation,30,0.5,RandomForest,142,100,42,73,69,29.577464788732392,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.40845070422535
augmentation,40,0.5,SVM,166,100,66,85,81,39.75903614457831,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.204819277108435
augmentation,40,0.5,RandomForest,166,100,66,85,81,39.75903614457831,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.204819277108435
augmentation,50,0.5,SVM,200,100,100,102,98,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.0
augmentation,50,0.5,RandomForest,200,100,100,102,98,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.0
imbalance,30,0.3,SVM,142,100,42,64,78,29.577464788732392,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,45.07042253521127
imbalance,30,0.3,RandomForest,142,100,42,64,78,29.577464788732392,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,45.07042253521127
imbalance,30,0.5,SVM,142,100,42,73,69,29.577464788732392,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at least one array or dtype is required,51.40845070422535
