model,accuracy,precision,recall,f1,train_time,predict_time,train_samples,test_samples,roc_auc,study_design,synthetic_pct,malicious_ratio_in_synthetic,total_samples,real_samples,synthetic_samples,attack_augmentation_factor
Random Forest,0.55,0.5505050505050505,0.55,0.5488721804511277,0.09999942779541016,0.007999420166015625,80,20,0.72,Design_1_Augmentation,0,0.5,100,100,0,
SVM,0.85,0.8535353535353536,0.85,0.849624060150376,0.0029997825622558594,0.0,80,20,0.86,Design_1_Augmentation,0,0.5,100,100,0,
Random Forest,0.6086956521739131,0.6211180124223602,0.6086956521739131,0.604223602484472,0.09802961349487305,0.007971763610839844,88,23,0.6969696969696969,Design_1_Augmentation,10,0.5,111,100,11,
SVM,0.6521739130434783,0.6595317725752509,0.6521739130434783,0.6508563899868247,0.0029993057250976562,0.0,88,23,0.6818181818181819,Design_1_Augmentation,10,0.5,111,100,11,
Random Forest,0.68,0.6867532467532468,0.68,0.6789743589743589,0.09903097152709961,0.0069675445556640625,100,25,0.7564102564102564,Design_1_Augmentation,20,0.5,125,100,25,
SVM,0.68,0.68,0.68,0.68,0.001999378204345703,0.0010004043579101562,100,25,0.75,Design_1_Augmentation,20,0.5,125,100,25,
Random Forest,0.5862068965517241,0.585868830290737,0.5862068965517241,0.5832228116710876,0.09997057914733887,0.00699925422668457,113,29,0.7928571428571429,Design_1_Augmentation,30,0.5,142,100,42,
SVM,0.6896551724137931,0.6912972085385879,0.6896551724137931,0.6896551724137931,0.0030002593994140625,0.0009987354278564453,113,29,0.7428571428571429,Design_1_Augmentation,30,0.5,142,100,42,
Random Forest,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.10000109672546387,0.007029056549072266,132,34,0.8287197231833909,Design_1_Augmentation,40,0.5,166,100,66,
SVM,0.8235294117647058,0.8424908424908425,0.8235294117647058,0.8210526315789474,0.003991842269897461,0.0009999275207519531,132,34,0.8304498269896193,Design_1_Augmentation,40,0.5,166,100,66,
Random Forest,0.7,0.7053333333333333,0.7,0.6953964194373402,0.10303354263305664,0.007996797561645508,159,40,0.8145363408521303,Design_1_Augmentation,50,0.5,199,100,99,
SVM,0.8,0.8,0.8,0.8,0.0040285587310791016,0.0010006427764892578,159,40,0.899749373433584,Design_1_Augmentation,50,0.5,199,100,99,
Random Forest,0.6206896551724138,0.6502960640891675,0.6206896551724138,0.6161578708853458,0.0970003604888916,0.006999015808105469,113,29,0.7572115384615384,Design_2_Imbalance,30,0.3,142,100,42,
SVM,0.5862068965517241,0.6051386071670046,0.5862068965517241,0.5842364532019705,0.003000974655151367,0.0009984970092773438,113,29,0.6346153846153847,Design_2_Imbalance,30,0.3,142,100,42,
Random Forest,0.5862068965517241,0.585868830290737,0.5862068965517241,0.5832228116710876,0.09800291061401367,0.006966590881347656,113,29,0.7928571428571429,Design_2_Imbalance,30,0.5,142,100,42,
SVM,0.6896551724137931,0.6912972085385879,0.6896551724137931,0.6896551724137931,0.0029990673065185547,0.001001119613647461,113,29,0.7428571428571429,Design_2_Imbalance,30,0.5,142,100,42,
Random Forest,0.6896551724137931,0.6866945315221177,0.6896551724137931,0.6873420432640823,0.09499931335449219,0.00699925422668457,113,29,0.8161764705882353,Design_2_Imbalance,30,0.7,142,100,42,
SVM,0.6896551724137931,0.7671506352087115,0.6896551724137931,0.6844642195031516,0.002998828887939453,0.0010013580322265625,113,29,0.8284313725490197,Design_2_Imbalance,30,0.7,142,100,42,
Random Forest,0.8275862068965517,0.8261343012704174,0.8275862068965517,0.8258110327075844,0.09500002861022949,0.0070002079010009766,113,29,0.9494949494949495,Design_2_Imbalance,30,0.9,142,100,42,
SVM,0.6896551724137931,0.7385610079575596,0.6896551724137931,0.6933629959213942,0.002998828887939453,0.0010008811950683594,113,29,0.8080808080808081,Design_2_Imbalance,30,0.9,142,100,42,
Random Forest,0.7391304347826086,0.7484949832775919,0.7391304347826086,0.7381422924901185,0.09402918815612793,0.0069997310638427734,88,23,0.8560606060606061,Design_3_Attack_Focus,10,0.8,111,100,11,0.15384615384615385
SVM,0.7391304347826086,0.7484949832775919,0.7391304347826086,0.7381422924901185,0.0019989013671875,0.0,88,23,0.75,Design_3_Attack_Focus,10,0.8,111,100,11,0.15384615384615385
Random Forest,0.68,0.6876190476190476,0.68,0.6644444444444444,0.0950021743774414,0.006988525390625,100,25,0.711038961038961,Design_3_Attack_Focus,20,0.8,125,100,25,0.38461538461538464
SVM,0.4,0.3933333333333333,0.4,0.3960591133004926,0.0020041465759277344,0.0009951591491699219,100,25,0.461038961038961,Design_3_Attack_Focus,20,0.8,125,100,25,0.38461538461538464
Random Forest,0.6896551724137931,0.6862068965517241,0.6896551724137931,0.6800692317933696,0.09600639343261719,0.006994485855102539,113,29,0.7573529411764707,Design_3_Attack_Focus,30,0.8,142,100,42,0.6346153846153846
SVM,0.6896551724137931,0.7088669950738916,0.6896551724137931,0.6918798665183536,0.0029985904693603516,0.0010013580322265625,113,29,0.7401960784313726,Design_3_Attack_Focus,30,0.8,142,100,42,0.6346153846153846
Random Forest,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.09602808952331543,0.0069713592529296875,132,33,0.6785714285714286,Design_3_Attack_Focus,40,0.8,165,100,65,0.9807692307692307
SVM,0.6363636363636364,0.7202797202797203,0.6363636363636364,0.6390374331550802,0.002998828887939453,0.0010018348693847656,132,33,0.7460317460317459,Design_3_Attack_Focus,40,0.8,165,100,65,0.9807692307692307
Random Forest,0.5142857142857142,0.52,0.5142857142857142,0.5167367535744323,0.09502887725830078,0.00800323486328125,136,35,0.6445578231292517,Design_3_Attack_Focus,50,0.8,171,100,71,0.9807692307692307
SVM,0.6,0.7333333333333333,0.6,0.58,0.002996683120727539,0.001001596450805664,136,35,0.6802721088435374,Design_3_Attack_Focus,50,0.8,171,100,71,0.9807692307692307
