prompt,original,original,original,original,strong,strong,strong,strong,weak,weak,weak,weak
strategy,cross_group,cross_group,within_group,within_group,cross_group,cross_group,within_group,within_group,cross_group,cross_group,within_group,within_group
classifier,random_forest,svm,random_forest,svm,random_forest,svm,random_forest,svm,random_forest,svm,random_forest,svm
synthetic_ratio,,,,,,,,,,,,
0,0.793 ± 0.041,0.627 ± 0.026,0.793 ± 0.041,0.627 ± 0.026,0.793 ± 0.041,0.627 ± 0.026,0.793 ± 0.041,0.627 ± 0.026,0.793 ± 0.041,0.627 ± 0.026,0.793 ± 0.041,0.627 ± 0.026
10,0.785 ± 0.038,0.624 ± 0.028,0.785 ± 0.042,0.618 ± 0.027,0.787 ± 0.041,0.624 ± 0.029,0.785 ± 0.041,0.621 ± 0.028,0.791 ± 0.039,0.624 ± 0.028,0.784 ± 0.040,0.620 ± 0.027
20,0.779 ± 0.036,0.618 ± 0.029,0.780 ± 0.040,0.608 ± 0.028,0.781 ± 0.036,0.618 ± 0.029,0.780 ± 0.040,0.610 ± 0.029,0.779 ± 0.038,0.616 ± 0.029,0.780 ± 0.040,0.611 ± 0.029
30,0.775 ± 0.035,0.608 ± 0.028,0.782 ± 0.041,0.595 ± 0.029,0.778 ± 0.036,0.606 ± 0.027,0.779 ± 0.040,0.596 ± 0.029,0.778 ± 0.033,0.604 ± 0.026,0.779 ± 0.039,0.596 ± 0.027
40,0.774 ± 0.033,0.598 ± 0.028,0.779 ± 0.039,0.582 ± 0.032,0.780 ± 0.035,0.594 ± 0.027,0.779 ± 0.040,0.583 ± 0.030,0.781 ± 0.034,0.591 ± 0.028,0.781 ± 0.039,0.581 ± 0.029
50,0.776 ± 0.033,0.582 ± 0.030,0.780 ± 0.040,0.565 ± 0.032,0.779 ± 0.034,0.577 ± 0.030,0.782 ± 0.039,0.564 ± 0.031,0.785 ± 0.035,0.574 ± 0.030,0.782 ± 0.038,0.562 ± 0.030
60,0.780 ± 0.034,0.565 ± 0.034,0.778 ± 0.039,0.547 ± 0.038,0.786 ± 0.034,0.558 ± 0.037,0.783 ± 0.036,0.544 ± 0.036,0.794 ± 0.033,0.553 ± 0.037,0.788 ± 0.038,0.539 ± 0.037
70,0.779 ± 0.035,0.544 ± 0.039,0.778 ± 0.036,0.529 ± 0.039,0.786 ± 0.036,0.533 ± 0.042,0.785 ± 0.038,0.525 ± 0.038,0.798 ± 0.035,0.524 ± 0.040,0.791 ± 0.038,0.515 ± 0.041
80,0.779 ± 0.029,0.525 ± 0.043,0.776 ± 0.039,0.513 ± 0.038,0.791 ± 0.032,0.510 ± 0.042,0.783 ± 0.038,0.505 ± 0.038,0.802 ± 0.029,0.495 ± 0.040,0.795 ± 0.037,0.487 ± 0.042
90,0.781 ± 0.029,0.513 ± 0.040,0.774 ± 0.036,0.497 ± 0.043,0.793 ± 0.029,0.489 ± 0.043,0.787 ± 0.035,0.481 ± 0.043,0.815 ± 0.028,0.471 ± 0.043,0.803 ± 0.034,0.460 ± 0.047
100,0.788 ± 0.032,0.476 ± 0.033,0.777 ± 0.034,0.476 ± 0.038,0.802 ± 0.030,0.458 ± 0.032,0.791 ± 0.037,0.458 ± 0.032,0.827 ± 0.026,0.415 ± 0.034,0.812 ± 0.032,0.416 ± 0.035
