prompt,strategy,synthetic_ratio,classifier,metric,mean,std,count,mean_std,ci_lower,ci_upper,ci_95
original,within_group,0,random_forest,accuracy,0.9480538358008076,0.013175084969634439,100,0.9481 ± 0.0132,0.9454715191467592,0.950636152454856,"[0.9455, 0.9506]"
original,within_group,0,random_forest,auc_pr,0.9507278414269023,0.006399666210785013,100,0.9507 ± 0.0064,0.9494735068495884,0.9519821760042161,"[0.9495, 0.9520]"
original,within_group,0,random_forest,auc_roc,0.9929381097611906,0.0007644111236508849,100,0.9929 ± 0.0008,0.992788285180955,0.9930879343414262,"[0.9928, 0.9931]"
original,within_group,0,random_forest,balanced_accuracy,0.9630357409899806,0.005333811737665206,100,0.9630 ± 0.0053,0.9619903138893982,0.964081168090563,"[0.9620, 0.9641]"
original,within_group,0,random_forest,f1_score,0.7931252310860715,0.04086585787836489,100,0.7931 ± 0.0409,0.785115522941912,0.8011349392302309,"[0.7851, 0.8011]"
original,within_group,0,random_forest,precision,0.667822498893394,0.060762641533376155,100,0.6678 ± 0.0608,0.6559130211528522,0.6797319766339357,"[0.6559, 0.6797]"
original,within_group,0,random_forest,recall,0.9817631224764469,0.007897527819647322,100,0.9818 ± 0.0079,0.980215207023796,0.9833110379290978,"[0.9802, 0.9833]"
original,within_group,0,svm,accuracy,0.9454253028263796,0.002727142203358518,100,0.9454 ± 0.0027,0.9448907829545213,0.9459598226982379,"[0.9449, 0.9460]"
original,within_group,0,svm,auc_pr,0.6664346971559144,0.030211975700396063,100,0.6664 ± 0.0302,0.6605131499186367,0.6723562443931921,"[0.6605, 0.6724]"
original,within_group,0,svm,auc_roc,0.7629342956875205,0.028316431933437032,100,0.7629 ± 0.0283,0.7573842750285669,0.7684843163464741,"[0.7574, 0.7685]"
original,within_group,0,svm,balanced_accuracy,0.729339763720652,0.01404455649559842,100,0.7293 ± 0.0140,0.7265870306475147,0.7320924967937893,"[0.7266, 0.7321]"
original,within_group,0,svm,f1_score,0.6267648056053076,0.025985951859603368,100,0.6268 ± 0.0260,0.6216715590408253,0.6318580521697899,"[0.6217, 0.6319]"
original,within_group,0,svm,precision,0.9893951045812527,0.005503287924218547,100,0.9894 ± 0.0055,0.9883164601481058,0.9904737490143996,"[0.9883, 0.9905]"
original,within_group,0,svm,recall,0.4592328398384926,0.02820339218509237,100,0.4592 ± 0.0282,0.4537049749702145,0.4647607047067707,"[0.4537, 0.4648]"
original,within_group,10,random_forest,accuracy,0.9456056527590847,0.013742374800252736,100,0.9456 ± 0.0137,0.9429121472982351,0.9482991582199343,"[0.9429, 0.9483]"
original,within_group,10,random_forest,auc_pr,0.9469795312333834,0.0087264433136303,100,0.9470 ± 0.0087,0.9452691483439118,0.948689914122855,"[0.9453, 0.9487]"
original,within_group,10,random_forest,auc_roc,0.9925236860013029,0.001195662591137488,100,0.9925 ± 0.0012,0.99228933613344,0.9927580358691659,"[0.9923, 0.9928]"
original,within_group,10,random_forest,balanced_accuracy,0.9613586062509347,0.006901879668287509,100,0.9614 ± 0.0069,0.9600058378359504,0.962711374665919,"[0.9600, 0.9627]"
original,within_group,10,random_forest,f1_score,0.785322333627931,0.04158497191321226,100,0.7853 ± 0.0416,0.7771716791329414,0.7934729881229207,"[0.7772, 0.7935]"
