prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,cross_group,0,0.945 ± 0.003,"[0.945, 0.946]",0.948 ± 0.013,"[0.945, 0.951]"
original,cross_group,10,0.945 ± 0.003,"[0.945, 0.946]",0.946 ± 0.012,"[0.943, 0.948]"
original,cross_group,20,0.945 ± 0.003,"[0.944, 0.945]",0.944 ± 0.012,"[0.941, 0.946]"
original,cross_group,30,0.944 ± 0.003,"[0.943, 0.944]",0.943 ± 0.012,"[0.940, 0.945]"
original,cross_group,40,0.943 ± 0.003,"[0.942, 0.943]",0.942 ± 0.011,"[0.940, 0.944]"
original,cross_group,50,0.941 ± 0.003,"[0.940, 0.942]",0.943 ± 0.011,"[0.941, 0.945]"
original,cross_group,60,0.939 ± 0.003,"[0.939, 0.940]",0.944 ± 0.011,"[0.942, 0.946]"
original,cross_group,70,0.937 ± 0.004,"[0.937, 0.938]",0.944 ± 0.012,"[0.942, 0.946]"
original,cross_group,80,0.936 ± 0.004,"[0.935, 0.936]",0.945 ± 0.010,"[0.943, 0.947]"
original,cross_group,90,0.934 ± 0.003,"[0.934, 0.935]",0.945 ± 0.009,"[0.944, 0.947]"
original,cross_group,100,0.931 ± 0.003,"[0.931, 0.932]",0.948 ± 0.010,"[0.946, 0.950]"
