prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,cross_group,0,0.7629 ± 0.0283,"[0.7574, 0.7685]",0.9929 ± 0.0008,"[0.9928, 0.9931]"
original,cross_group,10,0.7667 ± 0.0293,"[0.7609, 0.7724]",0.9926 ± 0.0012,"[0.9924, 0.9928]"
original,cross_group,20,0.7680 ± 0.0289,"[0.7623, 0.7736]",0.9924 ± 0.0012,"[0.9922, 0.9927]"
original,cross_group,30,0.7673 ± 0.0294,"[0.7616, 0.7731]",0.9920 ± 0.0012,"[0.9918, 0.9923]"
original,cross_group,40,0.7661 ± 0.0283,"[0.7606, 0.7717]",0.9919 ± 0.0010,"[0.9917, 0.9921]"
original,cross_group,50,0.7603 ± 0.0289,"[0.7547, 0.7660]",0.9915 ± 0.0012,"[0.9912, 0.9917]"
original,cross_group,60,0.7596 ± 0.0283,"[0.7541, 0.7652]",0.9913 ± 0.0013,"[0.9910, 0.9915]"
original,cross_group,70,0.7528 ± 0.0290,"[0.7471, 0.7584]",0.9906 ± 0.0017,"[0.9903, 0.9909]"
original,cross_group,80,0.7465 ± 0.0270,"[0.7412, 0.7518]",0.9902 ± 0.0017,"[0.9899, 0.9905]"
original,cross_group,90,0.7437 ± 0.0270,"[0.7384, 0.7490]",0.9896 ± 0.0016,"[0.9893, 0.9899]"
original,cross_group,100,0.7260 ± 0.0246,"[0.7212, 0.7309]",0.9891 ± 0.0019,"[0.9888, 0.9895]"
