prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,cross_group,0,0.627 ± 0.026,"[0.622, 0.632]",0.793 ± 0.041,"[0.785, 0.801]"
original,cross_group,10,0.624 ± 0.028,"[0.618, 0.629]",0.785 ± 0.038,"[0.778, 0.793]"
original,cross_group,20,0.618 ± 0.029,"[0.612, 0.624]",0.779 ± 0.036,"[0.772, 0.786]"
original,cross_group,30,0.608 ± 0.028,"[0.603, 0.614]",0.775 ± 0.035,"[0.768, 0.782]"
original,cross_group,40,0.598 ± 0.028,"[0.593, 0.604]",0.774 ± 0.033,"[0.767, 0.780]"
original,cross_group,50,0.582 ± 0.030,"[0.577, 0.588]",0.776 ± 0.033,"[0.770, 0.783]"
original,cross_group,60,0.565 ± 0.034,"[0.559, 0.572]",0.780 ± 0.034,"[0.773, 0.786]"
original,cross_group,70,0.544 ± 0.039,"[0.537, 0.552]",0.779 ± 0.035,"[0.772, 0.785]"
original,cross_group,80,0.525 ± 0.043,"[0.516, 0.533]",0.779 ± 0.029,"[0.773, 0.785]"
original,cross_group,90,0.513 ± 0.040,"[0.505, 0.521]",0.781 ± 0.029,"[0.775, 0.787]"
original,cross_group,100,0.476 ± 0.033,"[0.469, 0.482]",0.788 ± 0.032,"[0.782, 0.794]"
