prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,cross_group,0,0.989 ± 0.006,"[0.988, 0.990]",0.668 ± 0.061,"[0.656, 0.680]"
original,cross_group,10,0.990 ± 0.006,"[0.989, 0.992]",0.657 ± 0.056,"[0.646, 0.668]"
original,cross_group,20,0.992 ± 0.007,"[0.990, 0.993]",0.648 ± 0.052,"[0.637, 0.658]"
original,cross_group,30,0.993 ± 0.006,"[0.991, 0.994]",0.643 ± 0.050,"[0.633, 0.652]"
original,cross_group,40,0.993 ± 0.006,"[0.992, 0.994]",0.640 ± 0.048,"[0.631, 0.650]"
original,cross_group,50,0.993 ± 0.007,"[0.992, 0.994]",0.645 ± 0.048,"[0.636, 0.654]"
original,cross_group,60,0.995 ± 0.006,"[0.993, 0.996]",0.651 ± 0.050,"[0.641, 0.660]"
original,cross_group,70,0.994 ± 0.006,"[0.993, 0.996]",0.651 ± 0.052,"[0.641, 0.661]"
original,cross_group,80,0.995 ± 0.006,"[0.994, 0.996]",0.653 ± 0.044,"[0.645, 0.662]"
original,cross_group,90,0.996 ± 0.005,"[0.995, 0.997]",0.657 ± 0.042,"[0.648, 0.665]"
original,cross_group,100,0.996 ± 0.005,"[0.995, 0.997]",0.670 ± 0.051,"[0.660, 0.680]"
