prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,cross_group,0,0.4592 ± 0.0282,"[0.4537, 0.4648]",0.9818 ± 0.0079,"[0.9802, 0.9833]"
original,cross_group,10,0.4561 ± 0.0297,"[0.4502, 0.4619]",0.9808 ± 0.0101,"[0.9789, 0.9828]"
original,cross_group,20,0.4495 ± 0.0306,"[0.4435, 0.4555]",0.9824 ± 0.0067,"[0.9811, 0.9837]"
original,cross_group,30,0.4390 ± 0.0293,"[0.4332, 0.4447]",0.9809 ± 0.0096,"[0.9790, 0.9828]"
original,cross_group,40,0.4288 ± 0.0285,"[0.4232, 0.4344]",0.9808 ± 0.0088,"[0.9790, 0.9825]"
original,cross_group,50,0.4127 ± 0.0296,"[0.4069, 0.4185]",0.9788 ± 0.0097,"[0.9769, 0.9807]"
original,cross_group,60,0.3955 ± 0.0329,"[0.3891, 0.4020]",0.9766 ± 0.0102,"[0.9747, 0.9786]"
original,cross_group,70,0.3756 ± 0.0365,"[0.3684, 0.3827]",0.9729 ± 0.0142,"[0.9701, 0.9756]"
original,cross_group,80,0.3576 ± 0.0390,"[0.3500, 0.3652]",0.9690 ± 0.0173,"[0.9656, 0.9724]"
original,cross_group,90,0.3464 ± 0.0351,"[0.3395, 0.3532]",0.9665 ± 0.0138,"[0.9638, 0.9692]"
original,cross_group,100,0.3129 ± 0.0278,"[0.3075, 0.3184]",0.9593 ± 0.0215,"[0.9551, 0.9635]"
