prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,within_group,0,0.9454 ± 0.0027,"[0.9449, 0.9460]",0.9481 ± 0.0132,"[0.9455, 0.9506]"
original,within_group,10,0.9445 ± 0.0028,"[0.9440, 0.9451]",0.9456 ± 0.0137,"[0.9429, 0.9483]"
original,within_group,20,0.9435 ± 0.0029,"[0.9429, 0.9441]",0.9440 ± 0.0131,"[0.9414, 0.9466]"
original,within_group,30,0.9422 ± 0.0029,"[0.9416, 0.9428]",0.9447 ± 0.0136,"[0.9421, 0.9474]"
original,within_group,40,0.9410 ± 0.0031,"[0.9404, 0.9416]",0.9439 ± 0.0130,"[0.9413, 0.9464]"
original,within_group,50,0.9393 ± 0.0031,"[0.9386, 0.9399]",0.9441 ± 0.0132,"[0.9416, 0.9467]"
original,within_group,60,0.9376 ± 0.0035,"[0.9369, 0.9383]",0.9437 ± 0.0129,"[0.9412, 0.9463]"
original,within_group,70,0.9359 ± 0.0036,"[0.9352, 0.9366]",0.9439 ± 0.0121,"[0.9415, 0.9462]"
original,within_group,80,0.9345 ± 0.0034,"[0.9338, 0.9351]",0.9434 ± 0.0129,"[0.9409, 0.9459]"
original,within_group,90,0.9330 ± 0.0037,"[0.9322, 0.9337]",0.9430 ± 0.0117,"[0.9407, 0.9453]"
original,within_group,100,0.9312 ± 0.0032,"[0.9305, 0.9318]",0.9441 ± 0.0110,"[0.9419, 0.9462]"
