prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,within_group,0,0.763 ± 0.028,"[0.757, 0.768]",0.993 ± 0.001,"[0.993, 0.993]"
original,within_group,10,0.761 ± 0.031,"[0.755, 0.767]",0.993 ± 0.001,"[0.992, 0.993]"
original,within_group,20,0.759 ± 0.031,"[0.753, 0.765]",0.992 ± 0.001,"[0.992, 0.993]"
original,within_group,30,0.751 ± 0.031,"[0.745, 0.757]",0.992 ± 0.002,"[0.992, 0.992]"
original,within_group,40,0.749 ± 0.033,"[0.742, 0.756]",0.992 ± 0.001,"[0.992, 0.992]"
original,within_group,50,0.742 ± 0.033,"[0.736, 0.748]",0.991 ± 0.002,"[0.991, 0.992]"
original,within_group,60,0.740 ± 0.037,"[0.733, 0.747]",0.991 ± 0.002,"[0.990, 0.991]"
original,within_group,70,0.736 ± 0.036,"[0.729, 0.743]",0.991 ± 0.002,"[0.990, 0.991]"
original,within_group,80,0.730 ± 0.032,"[0.724, 0.737]",0.990 ± 0.002,"[0.990, 0.990]"
original,within_group,90,0.728 ± 0.034,"[0.721, 0.734]",0.989 ± 0.002,"[0.989, 0.990]"
original,within_group,100,0.724 ± 0.035,"[0.717, 0.731]",0.989 ± 0.002,"[0.988, 0.989]"
