prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,within_group,0,0.627 ± 0.026,"[0.622, 0.632]",0.793 ± 0.041,"[0.785, 0.801]"
original,within_group,10,0.618 ± 0.027,"[0.612, 0.623]",0.785 ± 0.042,"[0.777, 0.793]"
original,within_group,20,0.608 ± 0.028,"[0.602, 0.613]",0.780 ± 0.040,"[0.772, 0.788]"
original,within_group,30,0.595 ± 0.029,"[0.589, 0.600]",0.782 ± 0.041,"[0.774, 0.790]"
original,within_group,40,0.582 ± 0.032,"[0.576, 0.589]",0.779 ± 0.039,"[0.771, 0.787]"
original,within_group,50,0.565 ± 0.032,"[0.558, 0.571]",0.780 ± 0.040,"[0.772, 0.787]"
original,within_group,60,0.547 ± 0.038,"[0.540, 0.554]",0.778 ± 0.039,"[0.770, 0.786]"
original,within_group,70,0.529 ± 0.039,"[0.522, 0.537]",0.778 ± 0.036,"[0.771, 0.785]"
original,within_group,80,0.513 ± 0.038,"[0.506, 0.520]",0.776 ± 0.039,"[0.769, 0.784]"
original,within_group,90,0.497 ± 0.043,"[0.488, 0.505]",0.774 ± 0.036,"[0.767, 0.781]"
original,within_group,100,0.476 ± 0.038,"[0.468, 0.483]",0.777 ± 0.034,"[0.770, 0.783]"
