prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,within_group,0,0.989 ± 0.006,"[0.988, 0.990]",0.668 ± 0.061,"[0.656, 0.680]"
original,within_group,10,0.990 ± 0.007,"[0.989, 0.992]",0.657 ± 0.059,"[0.645, 0.669]"
original,within_group,20,0.992 ± 0.007,"[0.990, 0.993]",0.650 ± 0.058,"[0.638, 0.661]"
original,within_group,30,0.993 ± 0.006,"[0.991, 0.994]",0.654 ± 0.062,"[0.642, 0.666]"
original,within_group,40,0.994 ± 0.007,"[0.992, 0.995]",0.650 ± 0.059,"[0.638, 0.661]"
original,within_group,50,0.993 ± 0.007,"[0.992, 0.995]",0.651 ± 0.058,"[0.640, 0.663]"
original,within_group,60,0.994 ± 0.007,"[0.993, 0.995]",0.650 ± 0.056,"[0.639, 0.661]"
original,within_group,70,0.994 ± 0.008,"[0.992, 0.995]",0.650 ± 0.055,"[0.640, 0.661]"
original,within_group,80,0.994 ± 0.007,"[0.993, 0.995]",0.649 ± 0.058,"[0.638, 0.661]"
original,within_group,90,0.993 ± 0.008,"[0.992, 0.995]",0.647 ± 0.052,"[0.637, 0.657]"
original,within_group,100,0.994 ± 0.007,"[0.992, 0.995]",0.652 ± 0.051,"[0.642, 0.662]"
