prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
original,within_group,0,0.459 ± 0.028,"[0.454, 0.465]",0.982 ± 0.008,"[0.980, 0.983]"
original,within_group,10,0.449 ± 0.028,"[0.444, 0.455]",0.981 ± 0.009,"[0.979, 0.983]"
original,within_group,20,0.439 ± 0.029,"[0.433, 0.444]",0.981 ± 0.010,"[0.979, 0.982]"
original,within_group,30,0.425 ± 0.029,"[0.419, 0.431]",0.979 ± 0.014,"[0.976, 0.981]"
original,within_group,40,0.413 ± 0.031,"[0.407, 0.419]",0.978 ± 0.013,"[0.976, 0.981]"
original,within_group,50,0.395 ± 0.031,"[0.389, 0.401]",0.976 ± 0.014,"[0.973, 0.979]"
original,within_group,60,0.378 ± 0.035,"[0.371, 0.385]",0.974 ± 0.015,"[0.971, 0.977]"
original,within_group,70,0.361 ± 0.036,"[0.354, 0.368]",0.973 ± 0.016,"[0.970, 0.976]"
original,within_group,80,0.347 ± 0.034,"[0.340, 0.353]",0.970 ± 0.016,"[0.967, 0.973]"
original,within_group,90,0.332 ± 0.038,"[0.325, 0.340]",0.968 ± 0.015,"[0.965, 0.971]"
original,within_group,100,0.314 ± 0.033,"[0.307, 0.320]",0.964 ± 0.017,"[0.961, 0.968]"
