prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,cross_group,0,0.945 ± 0.003,"[0.945, 0.946]",0.948 ± 0.013,"[0.945, 0.951]"
strong,cross_group,10,0.945 ± 0.003,"[0.945, 0.946]",0.946 ± 0.013,"[0.944, 0.949]"
strong,cross_group,20,0.945 ± 0.003,"[0.944, 0.945]",0.944 ± 0.012,"[0.942, 0.947]"
strong,cross_group,30,0.943 ± 0.003,"[0.943, 0.944]",0.943 ± 0.012,"[0.941, 0.946]"
strong,cross_group,40,0.942 ± 0.003,"[0.942, 0.943]",0.944 ± 0.012,"[0.942, 0.946]"
strong,cross_group,50,0.940 ± 0.003,"[0.940, 0.941]",0.944 ± 0.011,"[0.942, 0.946]"
strong,cross_group,60,0.939 ± 0.004,"[0.938, 0.939]",0.947 ± 0.011,"[0.944, 0.949]"
strong,cross_group,70,0.936 ± 0.004,"[0.936, 0.937]",0.946 ± 0.012,"[0.944, 0.949]"
strong,cross_group,80,0.934 ± 0.004,"[0.933, 0.935]",0.948 ± 0.010,"[0.946, 0.950]"
strong,cross_group,90,0.932 ± 0.004,"[0.932, 0.933]",0.949 ± 0.009,"[0.948, 0.951]"
strong,cross_group,100,0.930 ± 0.003,"[0.929, 0.930]",0.953 ± 0.010,"[0.951, 0.955]"
