prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,cross_group,0,0.7629 ± 0.0283,"[0.7574, 0.7685]",0.9929 ± 0.0008,"[0.9928, 0.9931]"
strong,cross_group,10,0.7677 ± 0.0303,"[0.7618, 0.7737]",0.9927 ± 0.0010,"[0.9925, 0.9929]"
strong,cross_group,20,0.7680 ± 0.0300,"[0.7621, 0.7738]",0.9923 ± 0.0011,"[0.9921, 0.9926]"
strong,cross_group,30,0.7664 ± 0.0295,"[0.7606, 0.7722]",0.9921 ± 0.0010,"[0.9919, 0.9923]"
strong,cross_group,40,0.7639 ± 0.0288,"[0.7583, 0.7696]",0.9918 ± 0.0012,"[0.9916, 0.9921]"
strong,cross_group,50,0.7583 ± 0.0293,"[0.7525, 0.7640]",0.9917 ± 0.0012,"[0.9915, 0.9919]"
strong,cross_group,60,0.7567 ± 0.0305,"[0.7508, 0.7627]",0.9915 ± 0.0014,"[0.9912, 0.9918]"
strong,cross_group,70,0.7480 ± 0.0313,"[0.7419, 0.7542]",0.9909 ± 0.0017,"[0.9906, 0.9913]"
strong,cross_group,80,0.7405 ± 0.0281,"[0.7350, 0.7460]",0.9906 ± 0.0016,"[0.9903, 0.9909]"
strong,cross_group,90,0.7359 ± 0.0268,"[0.7307, 0.7412]",0.9899 ± 0.0015,"[0.9896, 0.9902]"
strong,cross_group,100,0.7255 ± 0.0286,"[0.7199, 0.7311]",0.9892 ± 0.0017,"[0.9888, 0.9895]"
