prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,cross_group,0,0.6268 ± 0.0260,"[0.6217, 0.6319]",0.7931 ± 0.0409,"[0.7851, 0.8011]"
strong,cross_group,10,0.6244 ± 0.0285,"[0.6188, 0.6300]",0.7871 ± 0.0406,"[0.7791, 0.7951]"
strong,cross_group,20,0.6175 ± 0.0293,"[0.6118, 0.6233]",0.7810 ± 0.0361,"[0.7739, 0.7881]"
strong,cross_group,30,0.6058 ± 0.0271,"[0.6005, 0.6111]",0.7782 ± 0.0364,"[0.7710, 0.7853]"
strong,cross_group,40,0.5940 ± 0.0270,"[0.5887, 0.5993]",0.7800 ± 0.0350,"[0.7731, 0.7868]"
strong,cross_group,50,0.5772 ± 0.0304,"[0.5712, 0.5831]",0.7786 ± 0.0337,"[0.7720, 0.7852]"
strong,cross_group,60,0.5577 ± 0.0371,"[0.5505, 0.5650]",0.7864 ± 0.0342,"[0.7797, 0.7931]"
strong,cross_group,70,0.5326 ± 0.0416,"[0.5245, 0.5408]",0.7856 ± 0.0356,"[0.7786, 0.7926]"
strong,cross_group,80,0.5098 ± 0.0419,"[0.5016, 0.5180]",0.7912 ± 0.0319,"[0.7849, 0.7974]"
strong,cross_group,90,0.4893 ± 0.0427,"[0.4809, 0.4977]",0.7930 ± 0.0292,"[0.7873, 0.7987]"
strong,cross_group,100,0.4582 ± 0.0324,"[0.4519, 0.4645]",0.8023 ± 0.0303,"[0.7963, 0.8082]"
