prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,cross_group,0,0.989 ± 0.006,"[0.988, 0.990]",0.668 ± 0.061,"[0.656, 0.680]"
strong,cross_group,10,0.991 ± 0.006,"[0.989, 0.992]",0.660 ± 0.060,"[0.648, 0.671]"
strong,cross_group,20,0.992 ± 0.007,"[0.991, 0.994]",0.650 ± 0.053,"[0.640, 0.661]"
strong,cross_group,30,0.993 ± 0.006,"[0.992, 0.994]",0.647 ± 0.052,"[0.636, 0.657]"
strong,cross_group,40,0.994 ± 0.006,"[0.993, 0.995]",0.650 ± 0.051,"[0.640, 0.660]"
strong,cross_group,50,0.994 ± 0.006,"[0.993, 0.996]",0.649 ± 0.051,"[0.639, 0.659]"
strong,cross_group,60,0.995 ± 0.005,"[0.994, 0.996]",0.661 ± 0.051,"[0.651, 0.671]"
strong,cross_group,70,0.996 ± 0.006,"[0.994, 0.997]",0.661 ± 0.054,"[0.651, 0.672]"
strong,cross_group,80,0.996 ± 0.005,"[0.995, 0.997]",0.671 ± 0.050,"[0.661, 0.680]"
strong,cross_group,90,0.997 ± 0.004,"[0.996, 0.998]",0.676 ± 0.045,"[0.667, 0.685]"
strong,cross_group,100,0.998 ± 0.003,"[0.997, 0.999]",0.697 ± 0.051,"[0.687, 0.707]"
