prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,cross_group,0,0.4592 ± 0.0282,"[0.4537, 0.4648]",0.9818 ± 0.0079,"[0.9802, 0.9833]"
strong,cross_group,10,0.4565 ± 0.0303,"[0.4505, 0.4624]",0.9811 ± 0.0088,"[0.9794, 0.9828]"
strong,cross_group,20,0.4489 ± 0.0306,"[0.4429, 0.4549]",0.9817 ± 0.0073,"[0.9803, 0.9832]"
strong,cross_group,30,0.4364 ± 0.0279,"[0.4309, 0.4418]",0.9814 ± 0.0078,"[0.9799, 0.9829]"
strong,cross_group,40,0.4241 ± 0.0273,"[0.4187, 0.4294]",0.9794 ± 0.0088,"[0.9777, 0.9812]"
strong,cross_group,50,0.4072 ± 0.0301,"[0.4013, 0.4131]",0.9775 ± 0.0141,"[0.9748, 0.9803]"
strong,cross_group,60,0.3883 ± 0.0355,"[0.3814, 0.3953]",0.9750 ± 0.0133,"[0.9724, 0.9776]"
strong,cross_group,70,0.3647 ± 0.0385,"[0.3571, 0.3722]",0.9720 ± 0.0146,"[0.9691, 0.9748]"
strong,cross_group,80,0.3436 ± 0.0374,"[0.3363, 0.3510]",0.9688 ± 0.0154,"[0.9658, 0.9718]"
strong,cross_group,90,0.3253 ± 0.0368,"[0.3181, 0.3325]",0.9617 ± 0.0164,"[0.9584, 0.9649]"
strong,cross_group,100,0.2979 ± 0.0271,"[0.2926, 0.3032]",0.9495 ± 0.0212,"[0.9453, 0.9536]"
