prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,within_group,0,0.945 ± 0.003,"[0.945, 0.946]",0.948 ± 0.013,"[0.945, 0.951]"
strong,within_group,10,0.945 ± 0.003,"[0.944, 0.945]",0.946 ± 0.013,"[0.943, 0.948]"
strong,within_group,20,0.944 ± 0.003,"[0.943, 0.944]",0.944 ± 0.013,"[0.941, 0.946]"
strong,within_group,30,0.942 ± 0.003,"[0.942, 0.943]",0.944 ± 0.013,"[0.941, 0.946]"
strong,within_group,40,0.941 ± 0.003,"[0.941, 0.942]",0.944 ± 0.013,"[0.941, 0.946]"
strong,within_group,50,0.939 ± 0.003,"[0.939, 0.940]",0.945 ± 0.013,"[0.942, 0.947]"
strong,within_group,60,0.937 ± 0.003,"[0.937, 0.938]",0.945 ± 0.012,"[0.943, 0.948]"
strong,within_group,70,0.936 ± 0.003,"[0.935, 0.936]",0.946 ± 0.012,"[0.944, 0.949]"
strong,within_group,80,0.934 ± 0.003,"[0.933, 0.934]",0.946 ± 0.012,"[0.944, 0.948]"
strong,within_group,90,0.932 ± 0.004,"[0.931, 0.932]",0.947 ± 0.011,"[0.945, 0.950]"
strong,within_group,100,0.930 ± 0.003,"[0.929, 0.930]",0.949 ± 0.012,"[0.946, 0.951]"
