prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,within_group,0,0.7629 ± 0.0283,"[0.7574, 0.7685]",0.9929 ± 0.0008,"[0.9928, 0.9931]"
strong,within_group,10,0.7634 ± 0.0314,"[0.7573, 0.7696]",0.9925 ± 0.0010,"[0.9923, 0.9927]"
strong,within_group,20,0.7604 ± 0.0318,"[0.7542, 0.7667]",0.9923 ± 0.0014,"[0.9921, 0.9926]"
strong,within_group,30,0.7556 ± 0.0323,"[0.7492, 0.7619]",0.9919 ± 0.0015,"[0.9916, 0.9922]"
strong,within_group,40,0.7528 ± 0.0343,"[0.7461, 0.7595]",0.9917 ± 0.0016,"[0.9914, 0.9921]"
strong,within_group,50,0.7468 ± 0.0351,"[0.7399, 0.7537]",0.9915 ± 0.0017,"[0.9912, 0.9918]"
strong,within_group,60,0.7421 ± 0.0381,"[0.7346, 0.7495]",0.9912 ± 0.0018,"[0.9908, 0.9915]"
strong,within_group,70,0.7371 ± 0.0377,"[0.7297, 0.7445]",0.9905 ± 0.0019,"[0.9902, 0.9909]"
strong,within_group,80,0.7318 ± 0.0351,"[0.7249, 0.7387]",0.9900 ± 0.0020,"[0.9896, 0.9904]"
strong,within_group,90,0.7258 ± 0.0389,"[0.7182, 0.7334]",0.9896 ± 0.0020,"[0.9892, 0.9900]"
strong,within_group,100,0.7212 ± 0.0394,"[0.7134, 0.7289]",0.9891 ± 0.0018,"[0.9888, 0.9894]"
