prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,within_group,0,0.627 ± 0.026,"[0.622, 0.632]",0.793 ± 0.041,"[0.785, 0.801]"
strong,within_group,10,0.621 ± 0.028,"[0.615, 0.626]",0.785 ± 0.041,"[0.777, 0.793]"
strong,within_group,20,0.610 ± 0.029,"[0.604, 0.616]",0.780 ± 0.040,"[0.772, 0.787]"
strong,within_group,30,0.596 ± 0.029,"[0.590, 0.602]",0.779 ± 0.040,"[0.771, 0.787]"
strong,within_group,40,0.583 ± 0.030,"[0.578, 0.589]",0.779 ± 0.040,"[0.771, 0.787]"
strong,within_group,50,0.564 ± 0.031,"[0.558, 0.570]",0.782 ± 0.039,"[0.775, 0.790]"
strong,within_group,60,0.544 ± 0.036,"[0.537, 0.551]",0.783 ± 0.036,"[0.776, 0.790]"
strong,within_group,70,0.525 ± 0.038,"[0.517, 0.532]",0.785 ± 0.038,"[0.777, 0.792]"
strong,within_group,80,0.505 ± 0.038,"[0.498, 0.513]",0.783 ± 0.038,"[0.776, 0.791]"
strong,within_group,90,0.481 ± 0.043,"[0.473, 0.490]",0.787 ± 0.035,"[0.780, 0.794]"
strong,within_group,100,0.458 ± 0.032,"[0.452, 0.464]",0.791 ± 0.037,"[0.784, 0.798]"
