prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,within_group,0,0.989 ± 0.006,"[0.988, 0.990]",0.668 ± 0.061,"[0.656, 0.680]"
strong,within_group,10,0.991 ± 0.007,"[0.990, 0.993]",0.657 ± 0.060,"[0.645, 0.668]"
strong,within_group,20,0.992 ± 0.006,"[0.991, 0.994]",0.649 ± 0.057,"[0.638, 0.661]"
strong,within_group,30,0.993 ± 0.006,"[0.992, 0.994]",0.649 ± 0.058,"[0.638, 0.660]"
strong,within_group,40,0.993 ± 0.006,"[0.992, 0.995]",0.650 ± 0.059,"[0.638, 0.662]"
strong,within_group,50,0.994 ± 0.006,"[0.993, 0.995]",0.655 ± 0.056,"[0.644, 0.666]"
strong,within_group,60,0.995 ± 0.006,"[0.994, 0.996]",0.657 ± 0.056,"[0.646, 0.668]"
strong,within_group,70,0.995 ± 0.006,"[0.994, 0.996]",0.661 ± 0.058,"[0.650, 0.673]"
strong,within_group,80,0.995 ± 0.006,"[0.994, 0.996]",0.661 ± 0.057,"[0.650, 0.673]"
strong,within_group,90,0.995 ± 0.006,"[0.994, 0.997]",0.668 ± 0.055,"[0.657, 0.678]"
strong,within_group,100,0.996 ± 0.006,"[0.995, 0.997]",0.677 ± 0.061,"[0.665, 0.689]"
