prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
strong,within_group,0,0.459 ± 0.028,"[0.454, 0.465]",0.982 ± 0.008,"[0.980, 0.983]"
strong,within_group,10,0.453 ± 0.030,"[0.447, 0.458]",0.981 ± 0.009,"[0.979, 0.982]"
strong,within_group,20,0.441 ± 0.030,"[0.435, 0.447]",0.980 ± 0.011,"[0.978, 0.982]"
strong,within_group,30,0.427 ± 0.030,"[0.421, 0.432]",0.979 ± 0.011,"[0.977, 0.982]"
strong,within_group,40,0.414 ± 0.030,"[0.408, 0.420]",0.978 ± 0.012,"[0.976, 0.980]"
strong,within_group,50,0.395 ± 0.030,"[0.389, 0.400]",0.976 ± 0.014,"[0.973, 0.979]"
strong,within_group,60,0.375 ± 0.034,"[0.369, 0.382]",0.973 ± 0.018,"[0.970, 0.977]"
strong,within_group,70,0.357 ± 0.035,"[0.350, 0.364]",0.970 ± 0.017,"[0.967, 0.973]"
strong,within_group,80,0.340 ± 0.034,"[0.333, 0.346]",0.966 ± 0.019,"[0.962, 0.970]"
strong,within_group,90,0.319 ± 0.037,"[0.311, 0.326]",0.963 ± 0.016,"[0.960, 0.966]"
strong,within_group,100,0.298 ± 0.027,"[0.293, 0.303]",0.956 ± 0.020,"[0.952, 0.960]"
