prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,cross_group,0,0.9454 ± 0.0027,"[0.9449, 0.9460]",0.9481 ± 0.0132,"[0.9455, 0.9506]"
weak,cross_group,10,0.9452 ± 0.0029,"[0.9446, 0.9458]",0.9476 ± 0.0125,"[0.9451, 0.9500]"
weak,cross_group,20,0.9443 ± 0.0030,"[0.9437, 0.9449]",0.9438 ± 0.0125,"[0.9413, 0.9463]"
weak,cross_group,30,0.9431 ± 0.0027,"[0.9426, 0.9436]",0.9436 ± 0.0110,"[0.9414, 0.9457]"
weak,cross_group,40,0.9419 ± 0.0028,"[0.9413, 0.9424]",0.9446 ± 0.0111,"[0.9424, 0.9467]"
weak,cross_group,50,0.9402 ± 0.0030,"[0.9396, 0.9408]",0.9458 ± 0.0117,"[0.9435, 0.9481]"
weak,cross_group,60,0.9382 ± 0.0035,"[0.9375, 0.9389]",0.9492 ± 0.0104,"[0.9471, 0.9512]"
weak,cross_group,70,0.9355 ± 0.0036,"[0.9348, 0.9362]",0.9504 ± 0.0112,"[0.9482, 0.9526]"
weak,cross_group,80,0.9329 ± 0.0035,"[0.9322, 0.9336]",0.9519 ± 0.0092,"[0.9501, 0.9537]"
weak,cross_group,90,0.9308 ± 0.0036,"[0.9301, 0.9316]",0.9561 ± 0.0087,"[0.9544, 0.9578]"
weak,cross_group,100,0.9262 ± 0.0027,"[0.9257, 0.9268]",0.9605 ± 0.0078,"[0.9590, 0.9620]"
