prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,cross_group,0,0.763 ± 0.028,"[0.757, 0.768]",0.993 ± 0.001,"[0.993, 0.993]"
weak,cross_group,10,0.767 ± 0.030,"[0.761, 0.772]",0.993 ± 0.001,"[0.992, 0.993]"
weak,cross_group,20,0.765 ± 0.030,"[0.759, 0.771]",0.992 ± 0.001,"[0.992, 0.993]"
weak,cross_group,30,0.761 ± 0.030,"[0.755, 0.767]",0.992 ± 0.001,"[0.992, 0.992]"
weak,cross_group,40,0.755 ± 0.032,"[0.749, 0.762]",0.992 ± 0.001,"[0.992, 0.992]"
weak,cross_group,50,0.748 ± 0.031,"[0.742, 0.754]",0.992 ± 0.001,"[0.991, 0.992]"
weak,cross_group,60,0.743 ± 0.033,"[0.736, 0.749]",0.992 ± 0.001,"[0.992, 0.992]"
weak,cross_group,70,0.731 ± 0.034,"[0.724, 0.738]",0.991 ± 0.001,"[0.991, 0.991]"
weak,cross_group,80,0.717 ± 0.034,"[0.710, 0.724]",0.991 ± 0.001,"[0.991, 0.991]"
weak,cross_group,90,0.706 ± 0.031,"[0.700, 0.712]",0.991 ± 0.001,"[0.990, 0.991]"
weak,cross_group,100,0.684 ± 0.026,"[0.679, 0.689]",0.990 ± 0.001,"[0.990, 0.990]"
