prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,cross_group,0,0.6268 ± 0.0260,"[0.6217, 0.6319]",0.7931 ± 0.0409,"[0.7851, 0.8011]"
weak,cross_group,10,0.6242 ± 0.0278,"[0.6188, 0.6297]",0.7912 ± 0.0387,"[0.7836, 0.7988]"
weak,cross_group,20,0.6155 ± 0.0295,"[0.6098, 0.6213]",0.7795 ± 0.0379,"[0.7721, 0.7869]"
weak,cross_group,30,0.6037 ± 0.0262,"[0.5986, 0.6089]",0.7782 ± 0.0333,"[0.7716, 0.7847]"
weak,cross_group,40,0.5910 ± 0.0283,"[0.5855, 0.5966]",0.7811 ± 0.0335,"[0.7745, 0.7876]"
weak,cross_group,50,0.5743 ± 0.0302,"[0.5683, 0.5802]",0.7847 ± 0.0355,"[0.7777, 0.7917]"
weak,cross_group,60,0.5527 ± 0.0374,"[0.5454, 0.5600]",0.7944 ± 0.0328,"[0.7880, 0.8009]"
weak,cross_group,70,0.5241 ± 0.0402,"[0.5162, 0.5320]",0.7980 ± 0.0348,"[0.7912, 0.8049]"
weak,cross_group,80,0.4950 ± 0.0401,"[0.4871, 0.5028]",0.8020 ± 0.0291,"[0.7963, 0.8077]"
weak,cross_group,90,0.4711 ± 0.0431,"[0.4627, 0.4795]",0.8147 ± 0.0284,"[0.8092, 0.8203]"
weak,cross_group,100,0.4153 ± 0.0341,"[0.4086, 0.4220]",0.8272 ± 0.0264,"[0.8220, 0.8324]"
