prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,cross_group,0,0.9894 ± 0.0055,"[0.9883, 0.9905]",0.6678 ± 0.0608,"[0.6559, 0.6797]"
weak,cross_group,10,0.9905 ± 0.0062,"[0.9893, 0.9917]",0.6652 ± 0.0576,"[0.6539, 0.6765]"
weak,cross_group,20,0.9923 ± 0.0066,"[0.9910, 0.9936]",0.6483 ± 0.0548,"[0.6376, 0.6590]"
weak,cross_group,30,0.9933 ± 0.0058,"[0.9921, 0.9944]",0.6467 ± 0.0489,"[0.6371, 0.6563]"
weak,cross_group,40,0.9940 ± 0.0056,"[0.9929, 0.9951]",0.6508 ± 0.0483,"[0.6414, 0.6603]"
weak,cross_group,50,0.9936 ± 0.0065,"[0.9923, 0.9949]",0.6573 ± 0.0526,"[0.6470, 0.6676]"
weak,cross_group,60,0.9952 ± 0.0058,"[0.9940, 0.9963]",0.6731 ± 0.0517,"[0.6630, 0.6833]"
weak,cross_group,70,0.9957 ± 0.0061,"[0.9945, 0.9969]",0.6808 ± 0.0559,"[0.6699, 0.6918]"
weak,cross_group,80,0.9964 ± 0.0052,"[0.9954, 0.9974]",0.6869 ± 0.0462,"[0.6778, 0.6959]"
weak,cross_group,90,0.9968 ± 0.0046,"[0.9959, 0.9977]",0.7115 ± 0.0506,"[0.7016, 0.7215]"
weak,cross_group,100,0.9987 ± 0.0026,"[0.9982, 0.9992]",0.7428 ± 0.0532,"[0.7323, 0.7532]"
