prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,within_group,0,0.9454 ± 0.0027,"[0.9449, 0.9460]",0.9481 ± 0.0132,"[0.9455, 0.9506]"
weak,within_group,10,0.9447 ± 0.0028,"[0.9442, 0.9453]",0.9454 ± 0.0130,"[0.9428, 0.9479]"
weak,within_group,20,0.9439 ± 0.0029,"[0.9433, 0.9444]",0.9440 ± 0.0130,"[0.9415, 0.9466]"
weak,within_group,30,0.9424 ± 0.0028,"[0.9418, 0.9429]",0.9438 ± 0.0128,"[0.9413, 0.9464]"
weak,within_group,40,0.9409 ± 0.0029,"[0.9403, 0.9414]",0.9445 ± 0.0128,"[0.9420, 0.9470]"
weak,within_group,50,0.9390 ± 0.0029,"[0.9384, 0.9396]",0.9449 ± 0.0126,"[0.9424, 0.9473]"
weak,within_group,60,0.9369 ± 0.0035,"[0.9362, 0.9376]",0.9471 ± 0.0121,"[0.9448, 0.9495]"
weak,within_group,70,0.9347 ± 0.0037,"[0.9339, 0.9354]",0.9482 ± 0.0123,"[0.9458, 0.9506]"
weak,within_group,80,0.9322 ± 0.0036,"[0.9315, 0.9329]",0.9497 ± 0.0117,"[0.9474, 0.9519]"
weak,within_group,90,0.9299 ± 0.0039,"[0.9291, 0.9307]",0.9526 ± 0.0107,"[0.9505, 0.9547]"
weak,within_group,100,0.9263 ± 0.0028,"[0.9258, 0.9269]",0.9557 ± 0.0098,"[0.9538, 0.9577]"
