prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,within_group,0,0.7629 ± 0.0283,"[0.7574, 0.7685]",0.9929 ± 0.0008,"[0.9928, 0.9931]"
weak,within_group,10,0.7628 ± 0.0308,"[0.7567, 0.7688]",0.9926 ± 0.0012,"[0.9924, 0.9929]"
weak,within_group,20,0.7589 ± 0.0317,"[0.7527, 0.7651]",0.9922 ± 0.0014,"[0.9919, 0.9925]"
weak,within_group,30,0.7537 ± 0.0322,"[0.7474, 0.7601]",0.9921 ± 0.0016,"[0.9918, 0.9924]"
weak,within_group,40,0.7481 ± 0.0343,"[0.7414, 0.7548]",0.9918 ± 0.0013,"[0.9915, 0.9921]"
weak,within_group,50,0.7390 ± 0.0357,"[0.7320, 0.7460]",0.9913 ± 0.0021,"[0.9909, 0.9917]"
weak,within_group,60,0.7332 ± 0.0368,"[0.7259, 0.7404]",0.9910 ± 0.0019,"[0.9906, 0.9913]"
weak,within_group,70,0.7220 ± 0.0380,"[0.7146, 0.7295]",0.9907 ± 0.0018,"[0.9903, 0.9910]"
weak,within_group,80,0.7107 ± 0.0350,"[0.7038, 0.7175]",0.9902 ± 0.0019,"[0.9898, 0.9905]"
weak,within_group,90,0.6985 ± 0.0342,"[0.6918, 0.7052]",0.9900 ± 0.0020,"[0.9896, 0.9903]"
weak,within_group,100,0.6871 ± 0.0374,"[0.6798, 0.6944]",0.9897 ± 0.0017,"[0.9893, 0.9900]"
