prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,within_group,0,0.6268 ± 0.0260,"[0.6217, 0.6319]",0.7931 ± 0.0409,"[0.7851, 0.8011]"
weak,within_group,10,0.6196 ± 0.0270,"[0.6143, 0.6249]",0.7845 ± 0.0400,"[0.7766, 0.7923]"
weak,within_group,20,0.6110 ± 0.0287,"[0.6054, 0.6166]",0.7800 ± 0.0398,"[0.7722, 0.7878]"
weak,within_group,30,0.5964 ± 0.0274,"[0.5910, 0.6018]",0.7791 ± 0.0388,"[0.7715, 0.7868]"
weak,within_group,40,0.5811 ± 0.0294,"[0.5754, 0.5869]",0.7810 ± 0.0388,"[0.7734, 0.7886]"
weak,within_group,50,0.5619 ± 0.0301,"[0.5560, 0.5678]",0.7815 ± 0.0381,"[0.7740, 0.7890]"
weak,within_group,60,0.5392 ± 0.0373,"[0.5318, 0.5465]",0.7879 ± 0.0378,"[0.7805, 0.7953]"
weak,within_group,70,0.5149 ± 0.0412,"[0.5068, 0.5229]",0.7910 ± 0.0381,"[0.7835, 0.7984]"
weak,within_group,80,0.4869 ± 0.0421,"[0.4786, 0.4951]",0.7947 ± 0.0367,"[0.7876, 0.8019]"
weak,within_group,90,0.4597 ± 0.0474,"[0.4504, 0.4690]",0.8034 ± 0.0343,"[0.7967, 0.8101]"
weak,within_group,100,0.4163 ± 0.0351,"[0.4094, 0.4232]",0.8125 ± 0.0318,"[0.8063, 0.8187]"
