prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,within_group,0,0.9894 ± 0.0055,"[0.9883, 0.9905]",0.6678 ± 0.0608,"[0.6559, 0.6797]"
weak,within_group,10,0.9906 ± 0.0067,"[0.9893, 0.9919]",0.6555 ± 0.0578,"[0.6442, 0.6669]"
weak,within_group,20,0.9926 ± 0.0062,"[0.9914, 0.9938]",0.6501 ± 0.0575,"[0.6388, 0.6614]"
weak,within_group,30,0.9930 ± 0.0063,"[0.9918, 0.9942]",0.6497 ± 0.0575,"[0.6384, 0.6610]"
weak,within_group,40,0.9939 ± 0.0056,"[0.9928, 0.9950]",0.6528 ± 0.0577,"[0.6415, 0.6642]"
weak,within_group,50,0.9944 ± 0.0056,"[0.9933, 0.9955]",0.6547 ± 0.0565,"[0.6436, 0.6658]"
weak,within_group,60,0.9956 ± 0.0053,"[0.9946, 0.9966]",0.6656 ± 0.0573,"[0.6544, 0.6768]"
weak,within_group,70,0.9953 ± 0.0060,"[0.9942, 0.9965]",0.6719 ± 0.0619,"[0.6598, 0.6840]"
weak,within_group,80,0.9959 ± 0.0057,"[0.9948, 0.9970]",0.6793 ± 0.0587,"[0.6677, 0.6908]"
weak,within_group,90,0.9959 ± 0.0058,"[0.9947, 0.9970]",0.6953 ± 0.0591,"[0.6837, 0.7069]"
weak,within_group,100,0.9979 ± 0.0030,"[0.9973, 0.9985]",0.7133 ± 0.0576,"[0.7021, 0.7246]"
