prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,within_group,0,0.4592 ± 0.0282,"[0.4537, 0.4648]",0.9818 ± 0.0079,"[0.9802, 0.9833]"
weak,within_group,10,0.4514 ± 0.0286,"[0.4458, 0.4570]",0.9815 ± 0.0086,"[0.9798, 0.9832]"
weak,within_group,20,0.4420 ± 0.0298,"[0.4361, 0.4478]",0.9799 ± 0.0106,"[0.9779, 0.9820]"
weak,within_group,30,0.4267 ± 0.0279,"[0.4213, 0.4322]",0.9783 ± 0.0135,"[0.9757, 0.9810]"
weak,within_group,40,0.4112 ± 0.0294,"[0.4055, 0.4170]",0.9772 ± 0.0127,"[0.9748, 0.9797]"
weak,within_group,50,0.3922 ± 0.0291,"[0.3865, 0.3979]",0.9744 ± 0.0156,"[0.9714, 0.9775]"
weak,within_group,60,0.3706 ± 0.0346,"[0.3638, 0.3773]",0.9703 ± 0.0175,"[0.9669, 0.9737]"
weak,within_group,70,0.3482 ± 0.0371,"[0.3410, 0.3555]",0.9676 ± 0.0204,"[0.9636, 0.9716]"
weak,within_group,80,0.3232 ± 0.0363,"[0.3161, 0.3303]",0.9629 ± 0.0185,"[0.9593, 0.9666]"
weak,within_group,90,0.3000 ± 0.0393,"[0.2923, 0.3077]",0.9570 ± 0.0231,"[0.9525, 0.9615]"
weak,within_group,100,0.2636 ± 0.0279,"[0.2582, 0.2691]",0.9490 ± 0.0240,"[0.9443, 0.9537]"
