prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
original,within_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0015366164694221,0.9898248959957954,2.8087955184151893e-10,-0.1509853817033326,,,
original,within_group,svm,f1_score,10,0.6177884592419537,,,,,0.0089763463633537,0.014321714115209,2.297700934053496e-10
original,within_group,svm,f1_score,20,0.6075939341943428,,,,,0.0191708714109646,0.030587026009621,2.446184936185622e-21
original,within_group,svm,f1_score,30,0.5946603504506686,,,,,0.0321044551546388,0.0512224918622122,1.957443739219531e-26
original,within_group,svm,f1_score,40,0.5824553497831967,,,,,0.0443094558221107,0.0706955071915983,3.862601964285724e-32
original,within_group,svm,f1_score,50,0.564668421183382,,,,,0.0620963844219254,0.0990744596164025,3.768225273642122e-35
original,within_group,svm,f1_score,60,0.5468905570227587,,,,,0.0798742485825487,0.1274389497754409,9.857061999527836e-38
original,within_group,svm,f1_score,70,0.529133423225987,,,,,0.0976313823793204,0.1557703647463604,2.816017008815305e-41
original,within_group,svm,f1_score,80,0.5129928610618724,,,,,0.113771944543435,0.1815225480530262,8.262093181693068e-46
original,within_group,svm,f1_score,90,0.4965561239318324,,,,,0.130208681673475,0.207747276983308,1.1939530121226457e-45
original,within_group,svm,f1_score,100,0.4757794239019748,,,,,0.1509853817033326,0.2408963942343831,6.103078500434814e-51
original,within_group,svm,accuracy,sensitivity,0.9454253028263794,-0.0001459280557934,0.993228674499743,4.4876367891467785e-11,-0.0142678331090173,,,
original,within_group,svm,accuracy,10,0.9445100942126512,,,,,0.000915208613728,0.0009680390518341,4.783250187351313e-10
original,within_group,svm,accuracy,20,0.9434912516823688,,,,,0.0019340511440105,0.00204569429042,4.0403720878654356e-21
original,within_group,svm,accuracy,30,0.942192462987887,,,,,0.0032328398384924,0.0034194555919201,4.8159504315169765e-26
original,within_group,svm,accuracy,40,0.9409986541049796,,,,,0.0044266487213996,0.0046821771198274,6.449717252347841e-32
original,within_group,svm,accuracy,50,0.9392503364737552,,,,,0.0061749663526242,0.0065314164261988,8.580909260673213e-35
original,within_group,svm,accuracy,60,0.9375841184387615,,,,,0.0078411843876177,0.0082938169352737,2.879189568740931e-38
original,within_group,svm,accuracy,70,0.9359246298788696,,,,,0.0095006729475098,0.0100490995101435,1.1128930539753484e-41
original,within_group,svm,accuracy,80,0.934450874831763,,,,,0.0109744279946163,0.0116079271009649,8.494004442267951e-47
original,within_group,svm,accuracy,90,0.9329825033647374,,,,,0.0124427994616419,0.0131610603444225,2.6382020792972396e-47
original,within_group,svm,accuracy,100,0.931157469717362,,,,,0.0142678331090173,0.0150914441007271,7.590182907119411e-52
original,within_group,svm,precision,sensitivity,0.9893951045812526,3.872292373595392e-05,0.6768571606589189,0.0018724622161627,0.0043221503786656,,,
original,within_group,svm,precision,10,0.9904565213759766,,,,,-0.001061416794724,-0.0010727936592866,0.0216524609993149
original,within_group,svm,precision,20,0.9918562900286512,,,,,-0.0024611854473985,-0.0024875658227966,1.2119150882969764e-06
original,within_group,svm,precision,30,0.9926632665617222,,,,,-0.0032681619804696,-0.0033031919860295,5.262741753631337e-10
original,within_group,svm,precision,40,0.9935073051238876,,,,,-0.004112200542635,-0.0041562774301127,4.9349661182024727e-11
original,within_group,svm,precision,50,0.9934450359683084,,,,,-0.0040499313870557,-0.004093340838562,3.2683737923483813e-13
original,within_group,svm,precision,60,0.9939966700912356,,,,,-0.004601565509983,-0.0046508876875134,3.6085030930869533e-16
original,within_group,svm,precision,70,0.993848348625864,,,,,-0.0044532440446114,-0.0045009764289224,4.371249883555607e-14
original,within_group,svm,precision,80,0.9941822575613952,,,,,-0.0047871529801425,-0.0048384643889749,1.9448357406565417e-19
original,within_group,svm,precision,90,0.993243279506566,,,,,-0.0038481749253134,-0.0038894218371356,3.226379043462727e-15
original,within_group,svm,precision,100,0.9937172549599184,,,,,-0.0043221503786656,-0.0043684776270395,7.504664047021598e-16
original,within_group,svm,recall,sensitivity,0.4592328398384926,-0.001486626697663,0.994591339694256,1.6317228438056403e-11,-0.1456393001345894,,,
original,within_group,svm,recall,10,0.4494616419919246,,,,,0.0097711978465679,0.0212772193077577,3.251517138527979e-11
original,within_group,svm,recall,20,0.4385329744279946,,,,,0.0206998654104979,0.0450748805720816,2.1369551854945053e-22
original,within_group,svm,recall,30,0.4250874831763122,,,,,0.0341453566621804,0.0743530377187071,1.6986898822887106e-27
original,within_group,svm,recall,40,0.4127052489905788,,,,,0.0465275908479138,0.1013159051610443,2.396924271042488e-33
original,within_group,svm,recall,50,0.3951009421265141,,,,,0.0641318977119785,0.1396500688725419,2.6493867446313303e-36
