prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
original,cross_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0014917203585597513,0.9504883438569461,3.531446266391036e-07,-0.15121058983057412,,,
original,cross_group,svm,f1_score,10,0.6239506072249535,,,,,0.002814198380353905,0.004490038935156946,0.02900655840063252
original,cross_group,svm,f1_score,20,0.6179977146486619,,,,,0.008767090956645518,0.013987848197983243,2.4219904993491904e-06
original,cross_group,svm,f1_score,30,0.6081395716315733,,,,,0.018625233973734168,0.029716464305532552,3.8673824113991637e-13
original,cross_group,svm,f1_score,40,0.5983690333642234,,,,,0.028395772241084027,0.04530530748876429,1.0393426653129883e-20
original,cross_group,svm,f1_score,50,0.5824511045666358,,,,,0.044313701038671605,0.07070228041262622,2.97995601787567e-25
original,cross_group,svm,f1_score,60,0.5651628472530886,,,,,0.06160195835221882,0.09828560538386615,2.3225923177644357e-29
original,cross_group,svm,f1_score,70,0.5442012064277651,,,,,0.0825635991775423,0.13172979471590668,1.5514266614391579e-34
original,cross_group,svm,f1_score,80,0.5248471380876559,,,,,0.10191766751765152,0.16260911047681278,1.9147903737001848e-36
original,cross_group,svm,f1_score,90,0.5128744074596818,,,,,0.11389039814562563,0.18171154016159902,1.710475695419012e-41
original,cross_group,svm,f1_score,100,0.47555421577473334,,,,,0.15121058983057412,0.24125571263456672,9.689144192000751e-58
original,cross_group,svm,accuracy,sensitivity,0.9454253028263794,-0.0001424409641502498,0.9586654854913887,1.5619419587799962e-07,-0.014253028263795375,,,
original,cross_group,svm,accuracy,10,0.9451588156123821,,,,,0.0002664872139972463,0.0002818701945046046,0.04469067239857491
original,cross_group,svm,accuracy,20,0.9445733512786003,,,,,0.0008519515477790618,0.0009011304703101611,7.871646419318694e-06
original,cross_group,svm,accuracy,30,0.9435666218034993,,,,,0.0018586810228801154,0.001965973427327922,1.425193917197726e-12
original,cross_group,svm,accuracy,40,0.9425733512786003,,,,,0.0028519515477790636,0.0030165805159361216,6.524193707598396e-20
original,cross_group,svm,accuracy,50,0.9409784656796769,,,,,0.004446837146702465,0.004703530922441469,1.0019921363881852e-24
original,cross_group,svm,accuracy,60,0.9393310901749665,,,,,0.006094212651412856,0.00644600121574281,2.4878777535900675e-29
original,cross_group,svm,accuracy,70,0.9373458950201886,,,,,0.008079407806190764,0.008545791806118488,8.697468928708141e-35
original,cross_group,svm,accuracy,80,0.9355693135935397,,,,,0.009855989232839701,0.010424926436149852,3.995844484920835e-37
original,cross_group,svm,accuracy,90,0.9344777927321669,,,,,0.010947510094212465,0.0115794553641462,2.8259837348840392e-42
original,cross_group,svm,accuracy,100,0.931172274562584,,,,,0.014253028263795375,0.015075784645477002,2.4703536721433476e-58
original,cross_group,svm,precision,sensitivity,0.9893951045812526,6.298183311912906e-05,0.9563217702782613,2.0039272618467068e-07,0.006744860131805086,,,
original,cross_group,svm,precision,10,0.9903222260771913,,,,,-0.0009271214959387652,-0.0009370589076556592,0.027419220769259883
original,cross_group,svm,precision,20,0.9917140853589982,,,,,-0.002318980777745616,-0.0023438369231946945,2.178463561402932e-06
original,cross_group,svm,precision,30,0.9926205850395776,,,,,-0.0032254804583250474,-0.0032600529792293506,1.4431986311110704e-08
original,cross_group,svm,precision,40,0.9930195516326452,,,,,-0.003624447051392643,-0.0036632959215283753,4.5672974179354906e-10
original,cross_group,svm,precision,50,0.9930384605619486,,,,,-0.0036433559806959837,-0.003682407527413411,1.6235707887824092e-07
original,cross_group,svm,precision,60,0.9945085216329403,,,,,-0.005113417051687774,-0.005168225543072558,4.707949741846811e-12
original,cross_group,svm,precision,70,0.9944643942732894,,,,,-0.005069289692036794,-0.00512362520146317,7.970096345789796e-13
original,cross_group,svm,precision,80,0.9948114035965311,,,,,-0.005416299015278514,-0.005474353966579293,6.46464975225162e-14
original,cross_group,svm,precision,90,0.9955940192251161,,,,,-0.006198914643863573,-0.0062653581113959285,6.112412203733117e-17
original,cross_group,svm,precision,100,0.9961399647130577,,,,,-0.006744860131805086,-0.006817155351359609,4.610088324606856e-15
original,cross_group,svm,recall,sensitivity,0.4592328398384926,-0.0014601248011745995,0.9617412051035759,1.1014937898745015e-07,-0.1463122476446837,,,
original,cross_group,svm,recall,10,0.45606998654104985,,,,,0.003162853297442758,0.006887254183640483,0.019591271388523616
original,cross_group,svm,recall,20,0.4495020188425303,,,,,0.009730820995962286,0.021189296913923912,5.310349511396652e-07
original,cross_group,svm,recall,30,0.43896366083445476,,,,,0.02026917900403785,0.044137041704522505,1.0948050930084481e-13
original,cross_group,svm,recall,40,0.42877523553162855,,,,,0.03045760430686406,0.06632279241522815,2.787879721997075e-21
original,cross_group,svm,recall,50,0.4126917900403768,,,,,0.0465410497981158,0.10134521262565586,6.983907729834667e-26
original,cross_group,svm,recall,60,0.3955450874831763,,,,,0.06368775235531632,0.1386829225403711,2.4852126420389248e-30
original,cross_group,svm,recall,70,0.37557200538358004,,,,,0.08366083445491257,0.1821752000234461,1.066183635833495e-35
original,cross_group,svm,recall,80,0.3576043068640646,,,,,0.10162853297442803,0.22130066527944675,8.312779453481696e-38
original,cross_group,svm,recall,90,0.3463526244952893,,,,,0.1128802153432033,0.24580170569444054,5.147817465245507e-43
original,cross_group,svm,recall,100,0.3129205921938089,,,,,0.1463122476446837,0.31860144778875177,1.1935146189567322e-58
original,cross_group,svm,auc_roc,sensitivity,0.7629342956875205,-0.00034242872617935394,0.7507523328514489,0.000559107154889686,-0.03689511357788089,,,
original,cross_group,svm,auc_roc,10,0.7666928187332808,,,,,-0.003758523045760298,-0.004926404628819699,0.0008900737197781778
original,cross_group,svm,auc_roc,20,0.7679888550553383,,,,,-0.005054559367817846,-0.006625156840357943,0.0008874737019484082
original,cross_group,svm,auc_roc,30,0.7673346981477691,,,,,-0.0044004024602486425,-0.00576773450233117,0.012668492604184935
original,cross_group,svm,auc_roc,40,0.7661492659367394,,,,,-0.003214970249218907,-0.00421395429120371,0.07203938971229971
original,cross_group,svm,auc_roc,50,0.7603284299843754,,,,,0.002605865703145027,0.0034155833836211854,0.2719202269817137
original,cross_group,svm,auc_roc,60,0.7596110983304422,,,,,0.0033231973570783113,0.0043558106849602325,0.19562614883737117
original,cross_group,svm,auc_roc,70,0.7527543841216994,,,,,0.010179911565821098,0.013343103886354252,0.00025564747434964486
original,cross_group,svm,auc_roc,80,0.7464757365539814,,,,,0.016458559133539108,0.021572708458082134,2.8919992311741196e-08
original,cross_group,svm,auc_roc,90,0.7437033487969364,,,,,0.019230946890584022,0.025206557103654645,6.791198945774677e-09
original,cross_group,svm,auc_roc,100,0.7260391821096396,,,,,0.03689511357788089,0.04835949017684773,1.0234997908794052e-25
original,cross_group,random_forest,f1_score,sensitivity,0.7931252310860714,-2.8602591554638907e-05,0.026966274338708227,0.6294624133748314,-0.005356319359358097,,,
original,cross_group,random_forest,f1_score,10,0.7853746816430338,,,,,0.0077505494430375466,0.009772163511207781,0.001840877402514669
original,cross_group,random_forest,f1_score,20,0.7792817613783839,,,,,0.013843469707687461,0.01745433024332212,1.485618297850455e-06
original,cross_group,random_forest,f1_score,30,0.7752009109233973,,,,,0.01792432016267409,0.022599609065682227,2.4520916300534643e-08
original,cross_group,random_forest,f1_score,40,0.7736955542770433,,,,,0.019429676809028074,0.024497615316589935,1.7980255423481462e-08
original,cross_group,random_forest,f1_score,50,0.7763842807130934,,,,,0.01674095037297796,0.02110757509259115,1.5549821161147458e-05
original,cross_group,random_forest,f1_score,60,0.7796808627618538,,,,,0.013444368324217582,0.016951129276025483,0.0008329142916038865
original,cross_group,random_forest,f1_score,70,0.778591213120088,,,,,0.014534017965983304,0.018324997612396025,0.00022228514885140564
original,cross_group,random_forest,f1_score,80,0.7792130477546987,,,,,0.013912183331372674,0.01754096678064564,0.0011367609315069808
original,cross_group,random_forest,f1_score,90,0.7810644251629216,,,,,0.012060805923149731,0.015206685464581912,0.0050437634856353546
original,cross_group,random_forest,f1_score,100,0.7877689117267133,,,,,0.005356319359358097,0.006753434576811263,0.27644489476691847
original,cross_group,random_forest,accuracy,sensitivity,0.9480538358008073,5.4520983726913384e-06,0.008593670466042471,0.7863202003137606,-0.00019650067294718632,,,
