prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
original,within_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0015366164694221465,0.9898248959957954,2.8087955184151893e-10,-0.15098538170333264,,,
original,within_group,svm,f1_score,10,0.6177884592419537,,,,,0.00897634636335376,0.014321714115209005,2.297700934053496e-10
original,within_group,svm,f1_score,20,0.6075939341943428,,,,,0.01917087141096463,0.030587026009621064,2.4461849361856215e-21
original,within_group,svm,f1_score,30,0.5946603504506686,,,,,0.03210445515463889,0.05122249186221223,1.957443739219531e-26
original,within_group,svm,f1_score,40,0.5824553497831967,,,,,0.044309455822110766,0.07069550719159837,3.862601964285724e-32
original,within_group,svm,f1_score,50,0.564668421183382,,,,,0.062096384421925443,0.09907445961640257,3.7682252736421213e-35
original,within_group,svm,f1_score,60,0.5468905570227587,,,,,0.07987424858254877,0.12743894977544093,9.857061999527836e-38
original,within_group,svm,f1_score,70,0.529133423225987,,,,,0.09763138237932045,0.15577036474636047,2.816017008815305e-41
original,within_group,svm,f1_score,80,0.5129928610618724,,,,,0.11377194454343509,0.18152254805302626,8.262093181693068e-46
original,within_group,svm,f1_score,90,0.4965561239318324,,,,,0.13020868167347505,0.20774727698330808,1.1939530121226455e-45
original,within_group,svm,f1_score,100,0.4757794239019748,,,,,0.15098538170333264,0.2408963942343831,6.103078500434814e-51
original,within_group,svm,accuracy,sensitivity,0.9454253028263794,-0.00014592805579346604,0.993228674499743,4.4876367891467785e-11,-0.014267833109017358,,,
original,within_group,svm,accuracy,10,0.9445100942126513,,,,,0.000915208613728069,0.000968039051834157,4.783250187351314e-10
original,within_group,svm,accuracy,20,0.9434912516823688,,,,,0.0019340511440105734,0.0020456942904200524,4.040372087865436e-21
original,within_group,svm,accuracy,30,0.942192462987887,,,,,0.0032328398384924295,0.0034194555919201132,4.8159504315169765e-26
original,within_group,svm,accuracy,40,0.9409986541049797,,,,,0.00442664872139964,0.00468217711982748,6.449717252347842e-32
original,within_group,svm,accuracy,50,0.9392503364737551,,,,,0.006174966352624267,0.006531416426198883,8.580909260673213e-35
original,within_group,svm,accuracy,60,0.9375841184387617,,,,,0.007841184387617717,0.008293816935273727,2.879189568740931e-38
original,within_group,svm,accuracy,70,0.9359246298788695,,,,,0.009500672947509892,0.010049099510143555,1.1128930539753484e-41
original,within_group,svm,accuracy,80,0.934450874831763,,,,,0.010974427994616343,0.01160792710096497,8.49400444226795e-47
original,within_group,svm,accuracy,90,0.9329825033647374,,,,,0.012442799461641951,0.01316106034442256,2.6382020792972396e-47
original,within_group,svm,accuracy,100,0.931157469717362,,,,,0.014267833109017358,0.015091444100727167,7.59018290711941e-52
original,within_group,svm,precision,sensitivity,0.9893951045812526,3.872292373595392e-05,0.6768571606589189,0.0018724622161627926,0.004322150378665679,,,
original,within_group,svm,precision,10,0.9904565213759766,,,,,-0.001061416794724046,-0.0010727936592866765,0.021652460999314928
original,within_group,svm,precision,20,0.9918562900286512,,,,,-0.002461185447398595,-0.0024875658227966036,1.2119150882969764e-06
original,within_group,svm,precision,30,0.9926632665617222,,,,,-0.0032681619804696416,-0.0033031919860295293,5.262741753631338e-10
original,within_group,svm,precision,40,0.9935073051238876,,,,,-0.004112200542635058,-0.004156277430112704,4.9349661182024727e-11
original,within_group,svm,precision,50,0.9934450359683084,,,,,-0.004049931387055783,-0.004093340838562021,3.268373792348381e-13
original,within_group,svm,precision,60,0.9939966700912356,,,,,-0.00460156550998303,-0.00465088768751345,3.6085030930869533e-16
original,within_group,svm,precision,70,0.993848348625864,,,,,-0.0044532440446114485,-0.004500976428922418,4.371249883555607e-14
original,within_group,svm,precision,80,0.9941822575613951,,,,,-0.004787152980142539,-0.004838464388974953,1.9448357406565415e-19
original,within_group,svm,precision,90,0.993243279506566,,,,,-0.003848174925313419,-0.003889421837135635,3.226379043462727e-15
original,within_group,svm,precision,100,0.9937172549599183,,,,,-0.004322150378665679,-0.004368477627039571,7.504664047021598e-16
original,within_group,svm,recall,sensitivity,0.4592328398384926,-0.001486626697663037,0.9945913396942561,1.6317228438056403e-11,-0.14563930013458948,,,
original,within_group,svm,recall,10,0.4494616419919246,,,,,0.009771197846567992,0.021277219307757736,3.251517138527979e-11
original,within_group,svm,recall,20,0.43853297442799466,,,,,0.020699865410497953,0.045074880572081644,2.136955185494505e-22
original,within_group,svm,recall,30,0.4250874831763122,,,,,0.03414535666218044,0.07435303771870715,1.6986898822887106e-27
original,within_group,svm,recall,40,0.4127052489905788,,,,,0.0465275908479138,0.10131590516104438,2.396924271042488e-33
original,within_group,svm,recall,50,0.3951009421265141,,,,,0.06413189771197852,0.13965006887254197,2.6493867446313303e-36
original,within_group,svm,recall,60,0.37811574697173617,,,,,0.08111709286675645,0.1766360892119224,3.4655081598486604e-39
