prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
strong,cross_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0017171272703173253,0.9541929832696374,2.4847158830248467e-07,-0.16856942281739007,,,
strong,cross_group,svm,f1_score,10,0.6243661737834669,,,,,0.0023986318218405245,0.0038270046441487887,0.07436975734888021
strong,cross_group,svm,f1_score,20,0.6175286501314863,,,,,0.009236155473821173,0.014736238204857751,7.843196154912913e-07
strong,cross_group,svm,f1_score,30,0.6057961449117659,,,,,0.02096866069354153,0.03345538949541165,1.8334417894070288e-15
strong,cross_group,svm,f1_score,40,0.5939606384002809,,,,,0.032804167205026546,0.05233887881331408,5.9197860294305534e-24
strong,cross_group,svm,f1_score,50,0.5771664811480666,,,,,0.04959832445724088,0.0791338696966888,5.086813020592065e-28
strong,cross_group,svm,f1_score,60,0.5577181949319947,,,,,0.06904661067331275,0.11016350959053924,6.13033233253939e-31
strong,cross_group,svm,f1_score,70,0.5326211362777028,,,,,0.09414366932760465,0.1502057366426055,3.2084074194114834e-36
strong,cross_group,svm,f1_score,80,0.5098137694587098,,,,,0.11695103614659763,0.18659477223461907,1.0232468609814599e-40
strong,cross_group,svm,f1_score,90,0.4893022286566255,,,,,0.13746257694868197,0.2193208293116035,5.0265325785466776e-48
strong,cross_group,svm,f1_score,100,0.4581953827879174,,,,,0.16856942281739007,0.2689516407268459,1.1900686759491936e-62
strong,cross_group,svm,accuracy,sensitivity,0.9454253028263794,-0.00016196011256576427,0.9624497561591953,1.0123217302853799e-07,-0.015691790040376574,,,
strong,cross_group,svm,accuracy,10,0.9452153432032301,,,,,0.00020995962314929173,0.00022207954718538912,0.13311743688473007
strong,cross_group,svm,accuracy,20,0.9445397039030955,,,,,0.0008855989232838812,0.0009367201413335932,4.641926560961133e-06
strong,cross_group,svm,accuracy,30,0.943335127860027,,,,,0.0020901749663523317,0.002210830363968138,1.1379652823020975e-14
strong,cross_group,svm,accuracy,40,0.94214266487214,,,,,0.0032826379542393314,0.0034721283050345485,3.5036475784221054e-23
strong,cross_group,svm,accuracy,50,0.9404925975773889,,,,,0.004932705248990477,0.0052174457720181545,2.1886913160490653e-27
strong,cross_group,svm,accuracy,60,0.9386460296096903,,,,,0.00677927321668903,0.007170606917777824,4.0522429489474305e-31
strong,cross_group,svm,accuracy,70,0.936300134589502,,,,,0.009125168236877368,0.009651918781523388,9.550880261339345e-37
strong,cross_group,svm,accuracy,80,0.9342234185733511,,,,,0.01120188425302826,0.01184851327708267,1.7741892006750173e-41
strong,cross_group,svm,accuracy,90,0.9324199192462989,,,,,0.01300538358008052,0.013756119643932216,2.3703703237777707e-49
strong,cross_group,svm,accuracy,100,0.9297335127860028,,,,,0.015691790040376574,0.016597598978433794,1.0694215094350609e-62
strong,cross_group,svm,precision,sensitivity,0.9893951045812526,7.688120259793657e-05,0.9632447728037142,9.190755643085483e-08,0.008638154049631308,,,
strong,cross_group,svm,precision,10,0.9907168021716574,,,,,-0.0013216975904047912,-0.0013358642915098928,0.0022021020598801846
strong,cross_group,svm,precision,20,0.9923102017823282,,,,,-0.0029150972010756337,-0.0029463428589627067,1.3961961770435158e-08
strong,cross_group,svm,precision,30,0.9932083982774738,,,,,-0.003813293696221187,-0.0038541667313333936,1.3995206044536002e-12
strong,cross_group,svm,precision,40,0.9938353816206287,,,,,-0.004440277039376106,-0.004487870436002804,1.8035523663585974e-15
strong,cross_group,svm,precision,50,0.9944778010686691,,,,,-0.005082696487416549,-0.005137175698446303,3.348396528409725e-13
strong,cross_group,svm,precision,60,0.9953339142037205,,,,,-0.005938809622467955,-0.006002465137505883,1.4129173681051906e-15
