prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
strong,within_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0017263946584890268,0.9796175162642013,6.428207891717937e-09,-0.16892523845579188,,,
strong,within_group,svm,f1_score,10,0.620836456753822,,,,,0.00592834885148541,0.009458649877061968,3.610107753525371e-06
strong,within_group,svm,f1_score,20,0.6102170753172552,,,,,0.01654773028805223,0.026401817938821587,1.1514127899187565e-16
strong,within_group,svm,f1_score,30,0.5962489936449608,,,,,0.030515811960346695,0.048687819876669036,2.7037060620391765e-26
strong,within_group,svm,f1_score,40,0.5834616362416254,,,,,0.04330316936368206,0.06908998236086562,1.0915873326314615e-33
strong,within_group,svm,f1_score,50,0.564217022101388,,,,,0.06254778350391943,0.09979466451297146,8.816323591369284e-36
strong,within_group,svm,f1_score,60,0.5442143320243428,,,,,0.08255047358096468,0.13170885289457235,3.7108383821574255e-40
strong,within_group,svm,f1_score,70,0.5248024708307366,,,,,0.10196233477457084,0.16268037685380116,4.635856206139707e-46
strong,within_group,svm,f1_score,80,0.5052702685065306,,,,,0.12149453709877689,0.19384390446340033,7.216248665008449e-48
strong,within_group,svm,f1_score,90,0.4814796663085557,,,,,0.14528513929675174,0.23180168700831957,3.2055298283837486e-50
strong,within_group,svm,f1_score,100,0.45783956714951557,,,,,0.16892523845579188,0.2695193427343927,1.24700261089232e-61
strong,within_group,svm,accuracy,sensitivity,0.9454253028263794,-0.00016256454178392246,0.985621547527247,1.3336893720004013e-09,-0.015771197846567997,,,
strong,within_group,svm,accuracy,10,0.9448532974427993,,,,,0.0005720053835800432,0.0006050244073963481,1.267076690264046e-05
strong,within_group,svm,accuracy,20,0.9437806191117093,,,,,0.001644683714670081,0.001739623119619547,3.3239348070774454e-16
strong,within_group,svm,accuracy,30,0.9423674293405115,,,,,0.0030578734858678347,0.00323438930259876,1.2521940353812686e-25
strong,within_group,svm,accuracy,40,0.9410888290713325,,,,,0.004336473755046866,0.004586796801484832,3.31619167469316e-33
strong,within_group,svm,accuracy,50,0.9392180349932705,,,,,0.006207267833108876,0.006565582510381358,2.0729565877240555e-35
strong,within_group,svm,accuracy,60,0.9373458950201885,,,,,0.008079407806190875,0.008545791806118606,1.4847240227114309e-40
strong,within_group,svm,accuracy,70,0.9355491251682367,,,,,0.009876177658142637,0.010446280238763957,9.057028800343645e-47
