prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
weak,cross_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0020266102265589893,0.9264394828574618,2.1192521265281428e-06,-0.2114915457683308,,,
weak,cross_group,svm,f1_score,10,0.6242400399401975,,,,,0.0025247656651099515,0.004028250537570662,0.06615821842570697
weak,cross_group,svm,f1_score,20,0.6155434427365362,,,,,0.01122136286877129,0.017903626317904195,5.86841731419352e-09
weak,cross_group,svm,f1_score,30,0.6037202405995629,,,,,0.02304456500574459,0.036767484070023615,8.434070742698481e-19
weak,cross_group,svm,f1_score,40,0.591012561635354,,,,,0.03575224396995347,0.057042520017417386,5.898882976597024e-26
weak,cross_group,svm,f1_score,50,0.5742560689451385,,,,,0.052508736660168975,0.08377741728726756,3.639766199307365e-30
weak,cross_group,svm,f1_score,60,0.5527085630051122,,,,,0.07405624260019528,0.11815635137437935,3.307645503113091e-32
weak,cross_group,svm,f1_score,70,0.5241167220073323,,,,,0.10264808359797517,0.16377448554859625,4.644762602877877e-40
weak,cross_group,svm,f1_score,80,0.4949581992063484,,,,,0.13180660639895903,0.21029675760377903,1.1982589194031406e-47
weak,cross_group,svm,f1_score,90,0.4711033514482056,,,,,0.15566145415710186,0.24835704360708238,2.342537302178266e-51
weak,cross_group,svm,f1_score,100,0.41527325983697666,,,,,0.2114915457683308,0.3374336655104297,2.7494820015445536e-71
weak,cross_group,svm,accuracy,sensitivity,0.9454253028263794,-0.00018776826134834097,0.9422257695876078,7.097606720730523e-07,-0.019188425302826162,,,
weak,cross_group,svm,accuracy,10,0.9451924629878872,,,,,0.0002328398384922048,0.0002462805234809377,0.10271806666911922
weak,cross_group,svm,accuracy,20,0.9443324360699863,,,,,0.001092866756393085,0.0011559525148374225,2.9609938772362836e-08
weak,cross_group,svm,accuracy,30,0.9431197846567967,,,,,0.0023055181695826876,0.0024386042585175867,3.52018242110252e-18
weak,cross_group,svm,accuracy,40,0.9418546433378197,,,,,0.0035706594885597243,0.0037767758889942155,3.4556417668177026e-25
weak,cross_group,svm,accuracy,50,0.9401830417227457,,,,,0.005242261103633683,0.005544870745432531,1.444412548068535e-29
weak,cross_group,svm,accuracy,60,0.9381641991924629,,,,,0.007261103633916521,0.00768025100683176,2.428297879107411e-32
weak,cross_group,svm,accuracy,70,0.9355100942126516,,,,,0.009915208613727744,0.010487564257150627,1.1982234096371892e-40
weak,cross_group,svm,accuracy,80,0.9328977119784657,,,,,0.012527590847913661,0.013250746315401149,9.639571494648101e-49
weak,cross_group,svm,accuracy,90,0.9308452220726783,,,,,0.014580080753701097,0.015421716247823573,1.6097033480850044e-52
weak,cross_group,svm,accuracy,100,0.9262368775235532,,,,,0.019188425302826162,0.02029607759117695,1.2899263990460912e-71
weak,cross_group,svm,precision,sensitivity,0.9893951045812526,8.16958921737994e-05,0.959966418627592,1.351847118532343e-07,0.009281047702051959,,,
weak,cross_group,svm,precision,10,0.9904628692622814,,,,,-0.001067764681028871,-0.0010792095858214168,0.009934449792907021
weak,cross_group,svm,precision,20,0.9923094917911449,,,,,-0.002914387209892344,-0.002945625257692999,7.1740063893160606e-09
weak,cross_group,svm,precision,30,0.993259447949029,,,,,-0.0038643433677764127,-0.0039057635820948814,2.053144593716005e-12
weak,cross_group,svm,precision,40,0.9940179505331187,,,,,-0.004622845951866128,-0.00467239622518921,7.77673703677387e-14
weak,cross_group,svm,precision,50,0.9935843780467764,,,,,-0.0041892734655237795,-0.00423417646411019,1.449373130043881e-09
weak,cross_group,svm,precision,60,0.9951769770647414,,,,,-0.005781872483488826,-0.005843845857652511,9.831014498566946e-14
weak,cross_group,svm,precision,70,0.9956965771052585,,,,,-0.006301472524005924,-0.0063690152648096365,1.0091089550652028e-15
weak,cross_group,svm,precision,80,0.9963872534130905,,,,,-0.006992148831837963,-0.007067094631317476,1.891697020882214e-21
weak,cross_group,svm,precision,90,0.9967612875550317,,,,,-0.007366182973779112,-0.00744513788240012,5.377660240332193e-22
weak,cross_group,svm,precision,100,0.9986761522833045,,,,,-0.009281047702051959,-0.00938052721210909,9.688165248067797e-28
weak,cross_group,svm,recall,sensitivity,0.4592328398384926,-0.0019204086626697665,0.9455361495474165,5.434726400771319e-07,-0.19651413189771205,,,
weak,cross_group,svm,recall,10,0.45633916554508747,,,,,0.0028936742934051463,0.0063011048914159125,0.04590084311561292
weak,cross_group,svm,recall,20,0.4467967698519515,,,,,0.01243606998654112,0.027080097300782664,5.169174033828683e-10
weak,cross_group,svm,recall,30,0.4341588156123822,,,,,0.025074024226110436,0.054599806570733725,1.3841920710767737e-19
weak,cross_group,svm,recall,40,0.42109017496635254,,,,,0.038142664872140075,0.08305735470824441,8.232566763118336e-27
weak,cross_group,svm,recall,50,0.4044683714670256,,,,,0.054764468371467034,0.11925207350312127,5.4081214220056395e-31
weak,cross_group,svm,recall,60,0.38351278600269184,,,,,0.07572005383580077,0.16488379590281638,1.5640690881717815e-33
weak,cross_group,svm,recall,70,0.3566756393001345,,,,,0.1025572005383581,0.22332288033762218,1.6688554594793822e-41
weak,cross_group,svm,recall,80,0.3301884253028264,,,,,0.12904441453566623,0.2809999706925354,2.0028195271127566e-49
weak,cross_group,svm,recall,90,0.3094616419919246,,,,,0.149771197846568,0.32613346619383965,3.7950866550223185e-53
weak,cross_group,svm,recall,100,0.26271870794078056,,,,,0.19651413189771205,0.427918290788664,8.486278334873933e-72
weak,cross_group,svm,auc_roc,sensitivity,0.7629342956875205,-0.0007772163688221873,0.8810694020449472,1.8788592043810373e-05,-0.07926734965756865,,,
weak,cross_group,svm,auc_roc,10,0.7665449172084361,,,,,-0.0036106215209156245,-0.004732545831698263,0.0009892311526161562
weak,cross_group,svm,auc_roc,20,0.7651556383581896,,,,,-0.002221342670669091,-0.0029115779474395255,0.11712772818932754
weak,cross_group,svm,auc_roc,30,0.7609261969700356,,,,,0.002008098717484863,0.0026320729436802403,0.22305760765343627
weak,cross_group,svm,auc_roc,40,0.7553452481371922,,,,,0.007589047550328298,0.009947183647694598,0.0001183311781161241
weak,cross_group,svm,auc_roc,50,0.7481746547860786,,,,,0.014759640901441884,0.0193458872996936,1.267079780773332e-10
weak,cross_group,svm,auc_roc,60,0.7428123449589116,,,,,0.020121950728608895,0.0263744215489434,2.5337658619472814e-12
weak,cross_group,svm,auc_roc,70,0.7308137874637134,,,,,0.032120508223807076,0.04210127714190851,3.482203377580634e-19
weak,cross_group,svm,auc_roc,80,0.7171880646263082,,,,,0.04574623106121223,0.059960905309660875,1.0838993355715878e-27
weak,cross_group,svm,auc_roc,90,0.7060597137009377,,,,,0.056874581986582795,0.07454715603698232,1.6972598837468537e-34
weak,cross_group,svm,auc_roc,100,0.6836669460299518,,,,,0.07926734965756865,0.10389800288914348,7.740545863088459e-50
weak,cross_group,random_forest,f1_score,sensitivity,0.7931252310860714,0.00035009756793079826,0.5795175927194012,0.006495728543612478,0.03406191219694332,,,
weak,cross_group,random_forest,f1_score,10,0.7912220434509498,,,,,0.0019031876351215393,0.002399605460181107,0.41301064840503005
weak,cross_group,random_forest,f1_score,20,0.7794882679847973,,,,,0.013636963101274047,0.01719395949943514,5.947408586262599e-06
weak,cross_group,random_forest,f1_score,30,0.7781537391923815,,,,,0.014971491893689848,0.018876580024050595,5.938178727801264e-07
weak,cross_group,random_forest,f1_score,40,0.7810760675171065,,,,,0.012049163568964905,0.01519200637768805,0.0001408716350321162
weak,cross_group,random_forest,f1_score,50,0.7846979127674599,,,,,0.008427318318611432,0.010625457353148918,0.01860349174930391
weak,cross_group,random_forest,f1_score,60,0.7944472236191324,,,,,-0.0013219925330610893,-0.0016668143708539066,0.714230670587923
weak,cross_group,random_forest,f1_score,70,0.7980407875076407,,,,,-0.004915556421569378,-0.006197705266340132,0.17226643326126626
weak,cross_group,random_forest,f1_score,80,0.8020206795281879,,,,,-0.008895448442116538,-0.011215692167472086,0.028933175940668063
weak,cross_group,random_forest,f1_score,90,0.8147358625450611,,,,,-0.021610631458989782,-0.027247439133158226,1.4966639727380565e-07
weak,cross_group,random_forest,f1_score,100,0.8271871432830147,,,,,-0.03406191219694332,-0.04294644888588453,4.0630778149365235e-12
weak,cross_group,random_forest,accuracy,sensitivity,0.9480538358008073,0.00012624617643460396,0.6217338357041583,0.003929459688182091,0.012442799461642284,,,
weak,cross_group,random_forest,accuracy,10,0.9475666218034994,,,,,0.0004872139973078893,0.0005139096314043672,0.5094733391351163
