prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
weak,within_group,svm,f1_score,sensitivity,0.6267648056053075,-0.0020629376972182505,0.9561477633520081,2.040254404231548e-07,-0.21042880375893686,,,
weak,within_group,svm,f1_score,10,0.6196204286067036,,,,,0.007144376998603819,0.011398816485402415,6.03600453539228e-08
weak,within_group,svm,f1_score,20,0.6109983565166881,,,,,0.01576644908861935,0.02515528783303757,1.9445455673878654e-15
weak,within_group,svm,f1_score,30,0.596379938121623,,,,,0.030384867483684408,0.048478898642593325,6.875893044990831e-25
weak,within_group,svm,f1_score,40,0.5811296404786702,,,,,0.045635165126637234,0.07281066951831221,3.275910899858952e-33
weak,within_group,svm,f1_score,50,0.5618615821290616,,,,,0.06490322347624589,0.10355275678500268,1.0502243822947336e-35
weak,within_group,svm,f1_score,60,0.5391628310609771,,,,,0.08760197454433039,0.1397684965091929,6.886630981610945e-38
weak,within_group,svm,f1_score,70,0.514857303752741,,,,,0.11190750185256648,0.17854783939964552,4.9868952612937976e-42
weak,within_group,svm,f1_score,80,0.4868587481909418,,,,,0.13990605741436563,0.2232193897346378,8.884226937760505e-48
weak,within_group,svm,f1_score,90,0.4597062923535299,,,,,0.16705851325177756,0.26654099234311396,7.371374428688704e-51
weak,within_group,svm,f1_score,100,0.4163360018463706,,,,,0.21042880375893686,0.33573806614063484,1.1732226494471434e-69
weak,within_group,svm,accuracy,sensitivity,0.9454253028263794,-0.00019027162608589254,0.9684072145954754,4.641045756861098e-08,-0.019114401076715914,,,
weak,within_group,svm,accuracy,10,0.9447052489905787,,,,,0.0007200538358006492,0.0007616189598988149,1.0359925770801543e-07
weak,within_group,svm,accuracy,20,0.9438640646029611,,,,,0.0015612382234182487,0.0016513607354815623,5.901468841618842e-15
weak,within_group,svm,accuracy,30,0.9423687752355316,,,,,0.003056527590847735,0.0032329657157579212,2.86340772971073e-24
weak,within_group,svm,accuracy,40,0.9408681022880216,,,,,0.004557200538357731,0.004820265043397752,1.1089674641210414e-32
weak,within_group,svm,accuracy,50,0.9389946164199193,,,,,0.006430686406460051,0.006801897925976073,2.5253871631224746e-35
weak,within_group,svm,accuracy,60,0.936892328398385,,,,,0.008532974427994389,0.009025540571512934,3.170229064622528e-38
weak,within_group,svm,accuracy,70,0.9346635262449529,,,,,0.010761776581426519,0.011383000380097551,1.1391704928126923e-42
weak,within_group,svm,accuracy,80,0.9321857335127861,,,,,0.013239569313593269,0.014003823754254461,7.728246631935924e-49
weak,within_group,svm,accuracy,90,0.929878869448183,,,,,0.01554643337819639,0.01644385159961324,1.4127428300459877e-52
weak,within_group,svm,accuracy,100,0.9263109017496635,,,,,0.019114401076715914,0.020217780314925778,6.591778012635581e-70
weak,within_group,svm,precision,sensitivity,0.9893951045812526,7.276856756022239e-05,0.9264889479134374,2.1128012034408245e-06,0.008533452841372413,,,
weak,within_group,svm,precision,10,0.9905841448307632,,,,,-0.001189040249510609,-0.0012017850543275665,0.008944212795506428
weak,within_group,svm,precision,20,0.9926134442155056,,,,,-0.003218339634252998,-0.0032528356157726437,8.867981283352902e-11
weak,within_group,svm,precision,30,0.9930038959564957,,,,,-0.00360879137524317,-0.003647472439001545,4.744451949722498e-12
weak,within_group,svm,precision,40,0.9939310482720543,,,,,-0.00453594369080168,-0.004584562496619037,6.793027558196057e-18
weak,within_group,svm,precision,50,0.9944343234771997,,,,,-0.005039218895947162,-0.0050932320896007865,4.189305358501369e-19
weak,within_group,svm,precision,60,0.9955937092183771,,,,,-0.006198604637124516,-0.006265044781829588,8.765822735855825e-23
weak,within_group,svm,precision,70,0.9953399791314855,,,,,-0.005944874550232959,-0.006008595072591392,8.190633376508744e-19
weak,within_group,svm,precision,80,0.9959080630552214,,,,,-0.006512958473968822,-0.006582768040605314,1.5397607341533464e-21
weak,within_group,svm,precision,90,0.9958740139042463,,,,,-0.0064789093229937755,-0.006548353931603373,8.464742341403229e-21
weak,within_group,svm,precision,100,0.997928557422625,,,,,-0.008533452841372413,-0.008624919207563773,1.3554133079168134e-28
weak,within_group,svm,recall,sensitivity,0.4592328398384926,-0.001943105346873853,0.9709423368144916,3.181858243516591e-08,-0.19558546433378193,,,
weak,within_group,svm,recall,10,0.45138627187079405,,,,,0.007846567967698559,0.017086251868350954,1.4400133790292603e-08
weak,within_group,svm,recall,20,0.44196500672947514,,,,,0.017267833109017472,0.03760147709621635,1.3631660946104373e-16
weak,within_group,svm,recall,30,0.42671601615074023,,,,,0.03251682368775238,0.0708068345007474,8.007921104375901e-26
weak,within_group,svm,recall,40,0.4112247644683715,,,,,0.04800807537012114,0.10453972626828055,5.3279383827159406e-34
weak,within_group,svm,recall,50,0.3921534320323014,,,,,0.0670794078061912,0.1460684036224028,1.794408146351544e-36
weak,within_group,svm,recall,60,0.3705518169582772,,,,,0.0886810228802154,0.19310688432343728,2.060505173043351e-39
weak,within_group,svm,recall,70,0.34823687752355315,,,,,0.11099596231493947,0.24169866064886733,1.5117602149350623e-43
weak,within_group,svm,recall,80,0.3231763122476447,,,,,0.1360565275908479,0.2962691597549896,1.845972867469878e-49
weak,within_group,svm,recall,90,0.3000134589502019,,,,,0.15921938088829074,0.3467073063509276,3.103384820114978e-53
weak,within_group,svm,recall,100,0.2636473755047107,,,,,0.19558546433378193,0.4258960757304885,2.0543056496881928e-70
weak,within_group,svm,auc_roc,sensitivity,0.7629342956875205,-0.0007812711170365112,0.95274651260977,2.859583690142844e-07,-0.07581054701062162,,,
weak,within_group,svm,auc_roc,10,0.7627757862073838,,,,,0.00015850948013662602,0.00020776295027317488,0.8906746538689925
weak,within_group,svm,auc_roc,20,0.7589250622076422,,,,,0.004009233479878249,0.0052550180304390655,0.0037109086325621036
weak,within_group,svm,auc_roc,30,0.7537474421050787,,,,,0.009186853582441756,0.012041474127418792,1.7143343970651643e-07
weak,within_group,svm,auc_roc,40,0.7480979164289161,,,,,0.01483637925860437,0.019446470479131527,6.145900945477932e-13
weak,within_group,svm,auc_roc,50,0.7390072147379831,,,,,0.023927080949537327,0.03136191554736095,6.295595699420047e-17
weak,within_group,svm,auc_roc,60,0.7331605789421671,,,,,0.02977371674535334,0.0390252698215941,9.301902629882578e-20
weak,within_group,svm,auc_roc,70,0.7220328237771164,,,,,0.04090147191040405,0.05361073966867038,1.2590079136432568e-25
weak,within_group,svm,auc_roc,80,0.710660720334608,,,,,0.05227357535291244,0.06851648385501657,1.3999705744014384e-36
weak,within_group,svm,auc_roc,90,0.6984793127260643,,,,,0.06445498296145613,0.08448300636868386,6.206208379620733e-42
weak,within_group,svm,auc_roc,100,0.6871237486768988,,,,,0.07581054701062162,0.09936707189484086,3.551657423626272e-43
weak,within_group,random_forest,f1_score,sensitivity,0.7931252310860714,0.0002248635122323097,0.49489628269100366,0.01571435169607329,0.01937131992149943,,,
weak,within_group,random_forest,f1_score,10,0.7844518398429821,,,,,0.008673391243089301,0.01093571469314163,3.6077042220104305e-05
weak,within_group,random_forest,f1_score,20,0.7800297649312243,,,,,0.013095466154847024,0.01651122123162651,3.0075518277648907e-07
weak,within_group,random_forest,f1_score,30,0.7791395031637636,,,,,0.013985727922307789,0.01763369437025265,1.2722895396708462e-07
weak,within_group,random_forest,f1_score,40,0.7810437340226829,,,,,0.012081497063388458,0.01523277357706119,2.882900974076213e-05
weak,within_group,random_forest,f1_score,50,0.7815239208009701,,,,,0.011601310285101252,0.0146273373111771,1.1023535799843569e-05
weak,within_group,random_forest,f1_score,60,0.7878765867686214,,,,,0.00524864431744998,0.006617674122235039,0.028645368776865823
weak,within_group,random_forest,f1_score,70,0.7909697020253144,,,,,0.002155529060757,0.002717766345429853,0.3764186392799712
weak,within_group,random_forest,f1_score,80,0.7947448112522781,,,,,-0.00161958016620678,-0.0020420232552544027,0.5474144967315521
weak,within_group,random_forest,f1_score,90,0.8034155584469426,,,,,-0.01029032736087121,-0.0129744042397694,0.00014642754990057156
weak,within_group,random_forest,f1_score,100,0.8124965510075708,,,,,-0.01937131992149943,-0.02442403691403586,4.852532888533477e-12
weak,within_group,random_forest,accuracy,sensitivity,0.9480538358008073,8.682613483421194e-05,0.5721140868943935,0.007060396212815392,0.007672947510094508,,,
weak,within_group,random_forest,accuracy,10,0.9453701211305519,,,,,0.0026837146702554104,0.0028307618923228296,6.486639682439054e-05
weak,within_group,random_forest,accuracy,20,0.9440349932705249,,,,,0.004018842530282396,0.004239044639155685,1.050922873864314e-06
weak,within_group,random_forest,accuracy,30,0.9438452220726784,,,,,0.004208613728128863,0.004439213860227577,9.373322803312671e-07
weak,within_group,random_forest,accuracy,40,0.944522207267833,,,,,0.0035316285329742847,0.0037251350077510837,0.00011854142525256827
weak,within_group,random_forest,accuracy,50,0.9448640646029611,,,,,0.0031897711978461363,0.00336454648184803,0.00013900211623625637
weak,within_group,random_forest,accuracy,60,0.9471359353970388,,,,,0.0009179004037684901,0.0009681943884475221,0.2251645632848364
weak,within_group,random_forest,accuracy,70,0.9481830417227457,,,,,-0.0001292059219384356,-0.00013628542711321582,0.870485383539494
weak,within_group,random_forest,accuracy,80,0.9496527590847915,,,,,-0.0015989232839842549,-0.0016865321605219472,0.05705442521922984
weak,within_group,random_forest,accuracy,90,0.9526204576043069,,,,,-0.004566621803499649,-0.0048168380645201335,1.1595291455238827e-07
weak,within_group,random_forest,accuracy,100,0.9557267833109018,,,,,-0.007672947510094508,-0.008093366874691543,8.122445015998642e-17
weak,within_group,random_forest,precision,sensitivity,0.6678224988933938,0.00048296587292196336,0.6167894033082357,0.004178574099308945,0.04552538537662132,,,
weak,within_group,random_forest,precision,10,0.6555339269833809,,,,,0.01228857191001298,0.018400955239417045,7.00932432850027e-05
weak,within_group,random_forest,precision,20,0.6501156373651723,,,,,0.01770686152822154,0.026514323128619437,1.8659242880307551e-06
weak,within_group,random_forest,precision,30,0.6497236937467353,,,,,0.018098805146658514,0.02710122102302467,4.5774993355779005e-06
weak,within_group,random_forest,precision,40,0.6528335259925481,,,,,0.014988972900845776,0.022444546156625524,0.00045492988387354393
weak,within_group,random_forest,precision,50,0.65470262102123,,,,,0.013119877872163843,0.01964575601137122,0.0008469767737559655
weak,within_group,random_forest,precision,60,0.665592175923167,,,,,0.00223032297022685,0.0033396942659502733,0.5355057368239369
weak,within_group,random_forest,precision,70,0.6719055111809632,,,,,-0.004083012287569354,-0.00611391843541518,0.2803639404932848
weak,within_group,random_forest,precision,80,0.6792570697214679,,,,,-0.011434570828074087,-0.017122170707069,0.003868691650229022
weak,within_group,random_forest,precision,90,0.6953061648491538,,,,,-0.027483665955759906,-0.04115414799786072,8.144924454468537e-11
weak,within_group,random_forest,precision,100,0.7133478842700152,,,,,-0.04552538537662132,-0.06816988863366918,8.147684826182019e-24
weak,within_group,random_forest,recall,sensitivity,0.981763122476447,-0.00031008197724213886,0.9062523399998884,6.367494831189913e-06,-0.03279946164199199,,,
weak,within_group,random_forest,recall,10,0.9814670255720054,,,,,0.00029609690444165615,0.0003015970937009397,0.75832328253528
weak,within_group,random_forest,recall,20,0.9799192462987888,,,,,0.0018438761776582435,0.0018781273562273968,0.08369274683412853
weak,within_group,random_forest,recall,30,0.9783176312247643,,,,,0.0034454912516826974,0.003509493453972505,0.011873200696903886
weak,within_group,random_forest,recall,40,0.9772409152086138,,,,,0.004522207267833256,0.004606210158338623,0.0006080624849020926
weak,within_group,random_forest,recall,50,0.9744145356662179,,,,,0.007348586810229096,0.007485091507300319,1.3408169900381014e-05
weak,within_group,random_forest,recall,60,0.9702826379542395,,,,,0.011480484522207512,0.011693741860305957,1.2101678097713786e-09
weak,within_group,random_forest,recall,70,0.9676177658142664,,,,,0.014145356662180641,0.014408115703612605,2.1531991125960186e-11
weak,within_group,random_forest,recall,80,0.9629475100942128,,,,,0.01881561238223428,0.019165124408801245,9.607569170626495e-19
weak,within_group,random_forest,recall,90,0.9570121130551817,,,,,0.02475100942126529,0.025210775241620548,4.523127517938056e-23
weak,within_group,random_forest,recall,100,0.948963660834455,,,,,0.03279946164199199,0.03340873260675858,4.5666008306009725e-30
weak,within_group,random_forest,auc_roc,sensitivity,0.9929381097611908,-3.344764484473133e-05,0.9941335155971137,2.3524754160537418e-11,-0.0032577945476257586,,,
weak,within_group,random_forest,auc_roc,10,0.9926411806037346,,,,,0.00029692915745616055,0.00029904095183492786,0.004130434509306647
weak,within_group,random_forest,auc_roc,20,0.9922167094265585,,,,,0.000721400334632305,0.0007265310169289477,4.239885592884811e-08
weak,within_group,random_forest,auc_roc,30,0.9920667106643716,,,,,0.0008713990968192142,0.0008775965875947619,1.340726748215555e-07
weak,within_group,random_forest,auc_roc,40,0.9918072238354043,,,,,0.0011308859257864734,0.0011389289167866264,5.598582796435821e-14
weak,within_group,random_forest,auc_roc,50,0.9913239978093732,,,,,0.0016141119518175984,0.001625591701990172,4.777668076606191e-12
weak,within_group,random_forest,auc_roc,60,0.9909845875195059,,,,,0.0019535222416848796,0.001967415916944427,1.6769450622313572e-18
weak,within_group,random_forest,auc_roc,70,0.9906788165543275,,,,,0.0022592932068632443,0.002275361560456796,1.2689164746044397e-23
weak,within_group,random_forest,auc_roc,80,0.9901528537825044,,,,,0.002785255978686396,0.0028050650401123907,1.357436502760587e-25
weak,within_group,random_forest,auc_roc,90,0.9899628193230029,,,,,0.002975290438187894,0.0029964510465848413,3.541321353926186e-28
weak,within_group,random_forest,auc_roc,100,0.989680315213565,,,,,0.0032577945476257586,0.003280964357797973,5.089900330376616e-36
