prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
smote,cross_group,svm,f1_score,sensitivity,N/A,,,,,,,
smote,cross_group,svm,f1_score,10,,,,,,0.0,0.0,
smote,cross_group,svm,f1_score,20,,,,,,0.002258064516129088,0.003232044634428907,
smote,cross_group,svm,f1_score,30,,,,,,0.002258064516129088,0.003232044634428907,
smote,cross_group,svm,f1_score,40,,,,,,0.003938736785036645,0.0056376480838237035,
smote,cross_group,svm,f1_score,50,,,,,,0.006524943681588402,0.00933937408138386,
smote,cross_group,svm,f1_score,60,,,,,,0.00930272145936617,0.01331530200468915,
smote,cross_group,svm,f1_score,70,,,,,,0.014310303483077158,0.02048282467536226,
smote,cross_group,svm,f1_score,80,,,,,,0.019789635978538778,0.028325579860483056,
smote,cross_group,svm,f1_score,90,,,,,,0.03556437847741911,0.050904505966812764,
smote,cross_group,svm,f1_score,100,,,,,,0.03884610324134641,0.05560175037199314,
smote,cross_group,svm,accuracy,sensitivity,N/A,,,,,,,
smote,cross_group,svm,accuracy,10,,,,,,0.0,0.0,
smote,cross_group,svm,accuracy,20,,,,,,0.0002500000000001945,0.0002619858527641545,
smote,cross_group,svm,accuracy,30,,,,,,0.0002500000000001945,0.0002619858527641545,
smote,cross_group,svm,accuracy,40,,,,,,0.000500000000000167,0.0005239717055280763,
smote,cross_group,svm,accuracy,50,,,,,,0.0007500000000000284,0.0007859575582918818,
smote,cross_group,svm,accuracy,60,,,,,,0.0010000000000000009,0.0010479434110558037,
smote,cross_group,svm,accuracy,70,,,,,,0.0015000000000000568,0.0015719151165837636,
smote,cross_group,svm,accuracy,80,,,,,,0.0022500000000003073,0.0023578726748758783,
smote,cross_group,svm,accuracy,90,,,,,,0.00425000000000042,0.004453759496987602,
smote,cross_group,svm,accuracy,100,,,,,,0.004500000000000393,0.004715745349751523,
smote,cross_group,svm,precision,sensitivity,N/A,,,,,,,
smote,cross_group,svm,precision,10,,,,,,0.0,0.0,
smote,cross_group,svm,precision,20,,,,,,0.00045454545454548523,0.00046130189646338324,
smote,cross_group,svm,precision,30,,,,,,0.00045454545454548523,0.00046130189646338324,
smote,cross_group,svm,precision,40,,,,,,0.00045454545454548523,0.00046130189646338324,
smote,cross_group,svm,precision,50,,,,,,0.0011489898989900382,0.001166068682726948,
