prompt,strategy,classifier,metric,synthetic_ratio,performance,regression_slope,regression_r_squared,regression_p_value,total_change,absolute_degradation,relative_degradation,p_value
smote,within_group,svm,f1_score,sensitivity,N/A,,,,,,,
smote,within_group,svm,f1_score,10,,,,,,0.0,0.0,
smote,within_group,svm,f1_score,20,,,,,,0.0024630541871921707,0.0036453906078798303,
smote,within_group,svm,f1_score,30,,,,,,0.0024630541871921707,0.0036453906078798303,
smote,within_group,svm,f1_score,40,,,,,,0.004876847290640418,0.007217873403601946,
smote,within_group,svm,f1_score,50,,,,,,0.004876847290640418,0.007217873403601946,
smote,within_group,svm,f1_score,60,,,,,,0.007522349936143091,0.011133292945398759,
smote,within_group,svm,f1_score,70,,,,,,0.011353559839459182,0.016803593124334694,
smote,within_group,svm,f1_score,80,,,,,,0.022671035673064055,0.03355378088847878,
smote,within_group,svm,f1_score,90,,,,,,0.03382906345086545,0.05006798097192417,
smote,within_group,svm,f1_score,100,,,,,,0.03865853752394355,0.057215740659285225,
smote,within_group,svm,accuracy,sensitivity,N/A,,,,,,,
smote,within_group,svm,accuracy,10,,,,,,0.0,0.0,
smote,within_group,svm,accuracy,20,,,,,,0.0002500000000000835,0.0002628120893561982,
smote,within_group,svm,accuracy,30,,,,,,0.0002500000000000835,0.0002628120893561982,
smote,within_group,svm,accuracy,40,,,,,,0.000500000000000056,0.0005256241787122796,
smote,within_group,svm,accuracy,50,,,,,,0.000500000000000056,0.0005256241787122796,
smote,within_group,svm,accuracy,60,,,,,,0.0007500000000000284,0.0007884362680683611,
smote,within_group,svm,accuracy,70,,,,,,0.0012500000000000844,0.0013140604467806406,
smote,within_group,svm,accuracy,80,,,,,,0.0025000000000000577,0.0026281208935611646,
smote,within_group,svm,accuracy,90,,,,,,0.00374999999999992,0.003942181340341572,
smote,within_group,svm,accuracy,100,,,,,,0.004249999999999865,0.004467805519053735,
smote,within_group,svm,precision,sensitivity,N/A,,,,,,,
smote,within_group,svm,precision,10,,,,,,0.0,0.0,
smote,within_group,svm,precision,20,,,,,,0.0,0.0,
smote,within_group,svm,precision,30,,,,,,0.0,0.0,
smote,within_group,svm,precision,40,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,50,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,60,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,70,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,80,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,90,,,,,,0.0005555555555556424,0.000565245478036264,
smote,within_group,svm,precision,100,,,,,,0.0017460317460317176,0.001776485788113666,
smote,within_group,svm,recall,sensitivity,N/A,,,,,,,
smote,within_group,svm,recall,10,,,,,,0.0,0.0,
smote,within_group,svm,recall,20,,,,,,0.0024999999999999467,0.004807692307692205,
smote,within_group,svm,recall,30,,,,,,0.0024999999999999467,0.004807692307692205,
smote,within_group,svm,recall,40,,,,,,0.0050000000000000044,0.009615384615384623,
smote,within_group,svm,recall,50,,,,,,0.0050000000000000044,0.009615384615384623,
smote,within_group,svm,recall,60,,,,,,0.007499999999999951,0.014423076923076828,
smote,within_group,svm,recall,70,,,,,,0.012499999999999956,0.024038461538461453,
smote,within_group,svm,recall,80,,,,,,0.025000000000000022,0.04807692307692312,
smote,within_group,svm,recall,90,,,,,,0.03750000000000009,0.07211538461538479,
smote,within_group,svm,recall,100,,,,,,0.04250000000000009,0.08173076923076941,
smote,within_group,random_forest,f1_score,sensitivity,N/A,,,,,,,
smote,within_group,random_forest,f1_score,10,,,,,,-0.007211317299830489,-0.008939360394282215,
smote,within_group,random_forest,f1_score,20,,,,,,-0.017672299429393412,-0.02190710060680996,
smote,within_group,random_forest,f1_score,30,,,,,,-0.017716162618518494,-0.02196147470232242,
smote,within_group,random_forest,f1_score,40,,,,,,-0.028312242892992168,-0.03509668653698841,
smote,within_group,random_forest,f1_score,50,,,,,,-0.03823975030830373,-0.047403115849766704,
