classifier,params_str,mean_test_f1,std_test_f1,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc_roc,rank_test_f1
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.916737774051148,0.023635333757171223,0.982,0.8635770027074375,0.9800000000000001,0.9971666666666668,1
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.9132699820504699,0.025090286397445316,0.982,0.8808658008658009,0.95,0.9976666666666667,2
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9130848391540394,0.025714736788832078,0.982,0.8798870694522869,0.95,0.9980555555555555,3
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9125094442414229,0.022716146197334117,0.9810000000000001,0.8563306258958432,0.9800000000000001,0.9972777777777777,4
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9118340574154529,0.027480000594847002,0.982,0.887405866444768,0.9400000000000001,0.9980833333333333,5
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9082811144316978,0.0209203262007268,0.9800000000000001,0.8490842490842491,0.9800000000000001,0.9974444444444444,6
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9081054446908106,0.016974606413161238,0.9800000000000001,0.8485714285714285,0.9800000000000001,0.9974999999999999,7
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9080959715352673,0.021622626069841864,0.9799999999999999,0.848105517670735,0.9800000000000001,0.9972222222222223,8
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.9039480844358894,0.014590816736758234,0.9800000000000001,0.8730234677603098,0.9400000000000001,0.9973888888888889,9
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9038877766293979,0.023799881958579693,0.9789999999999999,0.8405956362478102,0.9800000000000001,0.9972777777777779,10
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9035610296302299,0.016600062792164128,0.9800000000000001,0.8707961603613776,0.9400000000000001,0.9973333333333333,11
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8964905556745322,0.03135581826681022,0.977,0.8295869991522166,0.9800000000000001,0.9969444444444445,12
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.8946010628937457,0.020813314942745017,0.977,0.832012987012987,0.97,0.9976666666666667,13
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.8913114174620007,0.03224380398554686,0.976,0.8277509157509158,0.97,0.9973333333333333,14
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8910529643926537,0.02500180713866942,0.976,0.8270451931321496,0.97,0.9971111111111111,15
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8871295371295371,0.02268305777283357,0.977,0.868341307814992,0.9099999999999999,0.9978055555555555,16
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8804675276277536,0.030237088456918623,0.9730000000000001,0.8028730689600255,0.9800000000000001,0.9971666666666665,17
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8802622498274673,0.026801622307475247,0.9730000000000001,0.8021578421578421,0.9800000000000001,0.9969999999999999,18
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.8779563072586329,0.02714696773580657,0.9730000000000001,0.8130745341614908,0.96,0.9975555555555555,19
Random Forest,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.8739159032182288,0.02346624329561032,0.9720000000000001,0.8064078674948242,0.96,0.9972222222222223,20
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.8737093501690743,0.03900966100425733,0.9709999999999999,0.7936049901567143,0.9800000000000001,0.9967777777777778,21
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.8692958774629187,0.0336271021557829,0.97,0.785379881931606,0.9800000000000001,0.9970555555555556,22
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8649429438104868,0.028134899279751133,0.969,0.7775051035920602,0.9800000000000001,0.9969444444444445,23
Random Forest,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8647887655804528,0.025777783680305928,0.969,0.7770981031850598,0.9800000000000001,0.9969444444444445,24
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8477097505668935,0.036505429414908676,0.9640000000000001,0.743264367816092,0.99,0.9971666666666668,25
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8422263175058206,0.06732869964130067,0.962,0.7436988184229565,0.9800000000000001,0.9963333333333335,26
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8422263175058206,0.06732869964130067,0.962,0.7436988184229565,0.9800000000000001,0.9962222222222223,26
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8405500214852142,0.06718457264183306,0.961,0.7363636363636363,0.99,0.9964444444444445,28
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8405500214852142,0.06718457264183306,0.961,0.7363636363636363,0.99,0.9964444444444445,28
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8402443876101164,0.031346656063815516,0.9620000000000001,0.7315817086139667,0.99,0.9974444444444444,30
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8301261582931995,0.03492138863688716,0.959,0.7169253364770606,0.99,0.9972222222222221,31
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8264546607086583,0.0341801675879968,0.9579999999999999,0.7110791826309067,0.99,0.9972222222222221,32
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8220968239284613,0.019787910377757057,0.9570000000000001,0.7038258038258037,0.99,0.9972777777777777,33
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8189595690265005,0.02386582512238605,0.9559999999999998,0.6995247285569866,0.99,0.9970555555555555,34
SVM,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
SVM,"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
SVM,"{'classifier__C': 10.0, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
SVM,"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
SVM,"{'classifier__C': 1.0, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
SVM,"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8152109328579916,0.03934152194235733,0.969,1.0,0.6900000000000001,0.994,1
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.8137910713673895,0.04112481072613046,0.954,0.6934305346070051,0.99,0.9962222222222221,35
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8100442617159942,0.03542651140421351,0.954,0.6979656996898376,0.97,0.9951388888888889,36
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8099029652529156,0.03522902929688892,0.953,0.6874035164357745,0.99,0.9969999999999999,37
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.809290459227881,0.030173824400265996,0.953,0.6857782898105479,0.99,0.9971111111111111,38
Random Forest,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.8075513693830068,0.0433665664418383,0.952,0.6847781847781846,0.99,0.9962777777777777,39
Random Forest,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8071415040962556,0.03906001881806958,0.953,0.6941778209019589,0.97,0.9951388888888889,40
