classifier,metric,best_ratio,best_strategy,absolute_change,relative_change_pct,cohens_d,is_significant
svm,accuracy,25,cross_group,-0.0002777777777777102,-0.029850746268649447,0.06635145607496726,False
svm,precision,25,within_group,0.0,0.0,,
svm,recall,25,cross_group,-0.002777777777777768,-0.9090909090909057,0.06635145607498309,False
svm,f1_score,25,cross_group,-0.00501804190408528,-1.0734391893904662,0.10106014458540342,False
svm,auc_roc,25,within_group,0.0005610210905349078,0.08385794608101192,-0.007904128036106446,False
svm,auc_pr,50,full_random,0.002050722061917587,0.4025975272790879,-0.024810074986613098,False
svm,balanced_accuracy,25,cross_group,-0.001388888888888995,-0.21276595744682472,0.06635145607498837,False
random_forest,accuracy,25,within_group,-0.0004166666666668428,-0.043962485345856804,0.02718181859634973,False
random_forest,precision,25,full_random,-0.006462569925714701,-0.9163023422883727,0.04334787369404477,False
random_forest,recall,75,cross_group,0.001388888888889106,0.16863406408097067,-0.0177421415360302,False
random_forest,f1_score,75,full_random,0.00010243212844129879,0.014045808771729227,-0.0018945528600896517,False
random_forest,auc_roc,25,full_random,0.0005610210905351298,0.057291632466805915,-0.0931341912590464,False
random_forest,auc_pr,50,full_random,-0.004563166401403529,-0.5163273822381709,0.1573923309150595,False
random_forest,balanced_accuracy,50,real_fixed_random_synthetic,-0.0005401234567901092,-0.06051175656984625,0.01400400171510208,False
deep_learning,accuracy,25,within_group,-0.002083333333333326,-0.21777003484320484,0.21770017209205306,False
deep_learning,precision,50,full_random,-0.0009125732327421865,-0.10139020355536821,0.011212421844905873,False
deep_learning,recall,50,cross_group,0.006944444444444531,1.1337868480725763,-0.05510547046563224,False
deep_learning,f1_score,25,cross_group,-0.008126485136661366,-1.0978744621620138,0.08951036669175416,False
deep_learning,auc_roc,25,within_group,-0.001810056584361952,-0.1886204574464682,0.07221928845169392,False
deep_learning,auc_pr,25,within_group,-0.0027670507103503272,-0.320374095699163,0.04896976919849753,False
deep_learning,balanced_accuracy,50,cross_group,-7.716049382733292e-05,-0.009586808551454652,0.00125895910619823,False
