strategy,classifier,metric,is_significant_t_corrected_sum,is_significant_wilcoxon_corrected_sum,cohens_d_mean,cohens_d_std
cross_group,deep_learning,accuracy,1,0,0.6539,0.3148
cross_group,deep_learning,auc_pr,1,1,0.6012,0.277
cross_group,deep_learning,auc_roc,0,0,0.6463,0.3011
cross_group,deep_learning,balanced_accuracy,0,0,0.1417,0.2084
cross_group,deep_learning,f1_score,0,0,0.3552,0.2381
cross_group,deep_learning,precision,1,1,1.0095,0.2185
cross_group,deep_learning,recall,0,0,0.0859,0.1963
cross_group,random_forest,accuracy,0,0,0.3875,0.3149
cross_group,random_forest,auc_pr,4,4,1.4508,0.2887
cross_group,random_forest,auc_roc,4,4,1.4383,0.3052
cross_group,random_forest,balanced_accuracy,0,0,0.0999,0.1857
cross_group,random_forest,f1_score,0,0,0.4237,0.3384
cross_group,random_forest,precision,0,0,0.3011,0.2051
cross_group,random_forest,recall,0,0,0.0196,0.1591
cross_group,svm,accuracy,1,1,0.82,0.5882
cross_group,svm,auc_pr,3,3,0.5223,0.1786
cross_group,svm,auc_roc,1,2,0.3079,0.1468
cross_group,svm,balanced_accuracy,1,1,0.789,0.5846
cross_group,svm,f1_score,1,1,0.808,0.5569
cross_group,svm,precision,0,0,0.5346,0.0001
cross_group,svm,recall,1,1,0.785,0.5843
full_random,deep_learning,accuracy,3,2,1.3184,0.6903
full_random,deep_learning,auc_pr,4,4,1.0801,0.3086
full_random,deep_learning,auc_roc,2,2,0.6216,0.1841
full_random,deep_learning,balanced_accuracy,3,3,1.2006,0.5602
full_random,deep_learning,f1_score,3,3,1.321,0.6737
full_random,deep_learning,precision,0,0,-0.2128,0.3327
full_random,deep_learning,recall,3,3,1.1593,0.5456
full_random,random_forest,accuracy,0,0,-0.0934,0.1877
full_random,random_forest,auc_pr,2,2,0.6415,0.6217
full_random,random_forest,auc_roc,1,1,0.3224,0.6265
full_random,random_forest,balanced_accuracy,0,0,0.4075,0.3794
full_random,random_forest,f1_score,0,0,0.1794,0.3483
full_random,random_forest,precision,0,0,-0.1034,0.2647
full_random,random_forest,recall,2,0,0.3952,0.328
full_random,svm,accuracy,2,2,1.1148,0.4933
full_random,svm,auc_pr,1,1,0.1592,0.2504
full_random,svm,auc_roc,0,0,-0.1271,0.1452
full_random,svm,balanced_accuracy,3,2,1.2019,0.5075
full_random,svm,f1_score,2,2,1.1589,0.4975
full_random,svm,precision,0,0,-0.32,0.2611
full_random,svm,recall,3,2,1.2125,0.5091
real_fixed_random_synthetic,deep_learning,accuracy,0,0,0.6187,0.2325
real_fixed_random_synthetic,deep_learning,auc_pr,4,4,0.9037,0.3232
real_fixed_random_synthetic,deep_learning,auc_roc,1,2,0.6993,0.1495
real_fixed_random_synthetic,deep_learning,balanced_accuracy,0,0,0.4675,0.0842
real_fixed_random_synthetic,deep_learning,f1_score,0,0,0.5279,0.079
real_fixed_random_synthetic,deep_learning,precision,1,1,-0.1114,0.6878
real_fixed_random_synthetic,deep_learning,recall,0,0,0.4486,0.1095
real_fixed_random_synthetic,random_forest,accuracy,1,1,0.5487,0.2978
real_fixed_random_synthetic,random_forest,auc_pr,3,3,1.6603,0.8516
real_fixed_random_synthetic,random_forest,auc_roc,2,3,1.4247,0.7422
real_fixed_random_synthetic,random_forest,balanced_accuracy,1,1,0.2852,0.5194
real_fixed_random_synthetic,random_forest,f1_score,1,2,0.6206,0.4029
real_fixed_random_synthetic,random_forest,precision,1,1,0.428,0.2843
real_fixed_random_synthetic,random_forest,recall,0,0,0.1321,0.4566
real_fixed_random_synthetic,svm,accuracy,3,2,1.0575,0.7603
real_fixed_random_synthetic,svm,auc_pr,3,3,0.7909,0.3717
real_fixed_random_synthetic,svm,auc_roc,2,2,0.5077,0.2309
real_fixed_random_synthetic,svm,balanced_accuracy,2,2,1.0154,0.7535
real_fixed_random_synthetic,svm,f1_score,2,3,1.0015,0.6876
real_fixed_random_synthetic,svm,precision,0,0,0.4929,0.0852
real_fixed_random_synthetic,svm,recall,2,2,1.0095,0.7522
within_group,deep_learning,accuracy,2,2,0.6619,0.3616
within_group,deep_learning,auc_pr,1,1,0.3188,0.1906
within_group,deep_learning,auc_roc,0,0,0.2788,0.1557
within_group,deep_learning,balanced_accuracy,1,0,0.5302,0.3581
within_group,deep_learning,f1_score,1,1,0.6173,0.3506
within_group,deep_learning,precision,0,0,0.0291,0.4688
within_group,deep_learning,recall,1,0,0.51,0.3659
within_group,random_forest,accuracy,0,0,0.0675,0.1714
within_group,random_forest,auc_pr,4,4,1.5658,0.5082
within_group,random_forest,auc_roc,4,4,1.3679,0.3391
within_group,random_forest,balanced_accuracy,3,2,0.4857,0.497
within_group,random_forest,f1_score,0,0,0.3707,0.1243
within_group,random_forest,precision,1,1,-0.1922,0.5411
within_group,random_forest,recall,3,1,0.4602,0.5255
within_group,svm,accuracy,4,4,2.1016,0.978
within_group,svm,auc_pr,0,0,0.1516,0.1409
within_group,svm,auc_roc,0,0,-0.0059,0.3557
within_group,svm,balanced_accuracy,4,4,2.1016,0.978
within_group,svm,f1_score,4,4,2.0403,0.892
within_group,svm,precision,0,0,,
within_group,svm,recall,4,4,2.1016,0.978
