classifier,synthetic_ratio,best_strategy,f1_score,accuracy,precision,recall,auc_roc
svm,25,cross_group,0.4783799999999999,0.9355318874999999,0.9848999999999999,0.31393687499999995,0.716814456741898
svm,50,cross_group,0.34641310344827586,0.9250673249999998,0.9848999999999999,0.20929124999999998,0.9307889214409723
svm,75,cross_group,0.33668922686025404,0.9243696874999998,0.9848999999999999,0.20231487499999998,0.6623357505787036
svm,100,cross_group,0.3745958644067796,0.9271602375,0.9848999999999999,0.23022037499999995,0.6839108362268518
random_forest,25,cross_group,0.7375937721356494,0.9606468374999999,0.9368274999999999,0.6069446249999999,0.9841196225405092
random_forest,50,cross_group,0.5100266769230769,0.9383224374999999,0.9848999999999999,0.3418423749999999,0.9779521232638888
random_forest,75,cross_group,0.6812195133811902,0.9515775499999999,0.8884891700404859,0.5581099999999999,0.9762887745949073
random_forest,100,cross_group,0.7093114022856045,0.9508799124999999,0.7986501434538235,0.6418264999999999,0.9775160998263888
deep_learning,25,cross_group,0.7052230543792075,0.9564610124999999,0.9271412685942289,0.5748532999999999,0.935480210648148
deep_learning,50,cross_group,0.5536223025965338,0.9420896799999999,0.9767050066666665,0.38509589999999994,0.9309778649305555
deep_learning,75,cross_group,0.7199253935360158,0.9584143974999999,0.9320526721294681,0.58880605,0.9505763109953702
deep_learning,100,cross_group,0.6990735933446456,0.9556238475,0.9229558580920582,0.5706674749999999,0.9533875697337961
