Testing_Method,Testing_Prompt,Testing_Strategy,Real_Spam_Count,Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std
claude35haiku,original,cross_group,100,svm,0.9347499999999999,0.008264540615118715,0.9309812443940121,0.07577713574729081,0.38750000000000007,0.12834472494439586,0.5319289356976338,0.09712516648014,0.9483844444444445,0.031260375722604324,0.7716761415974833,0.06357121048479128,0.6915277777777777,0.06122819061131942
claude35haiku,original,cross_group,100,random_forest,0.9535,0.008762960326522679,0.7081986959896757,0.05275731731748898,0.9260000000000002,0.04005259699839436,0.800423426977582,0.027711381822545306,0.9865555555555556,0.003059390469600769,0.8626619326670845,0.02558179998979307,0.9412777777777779,0.01651500194213728
claude35haiku,original,cross_group,150,svm,0.9397,0.004485062928620276,0.9510718931040891,0.055339634418481436,0.42399999999999993,0.06777672322063318,0.5816138696080471,0.05007282279060118,0.9633166666666666,0.020407851659513924,0.8137830872080315,0.04819032600617212,0.7105,0.03182753843339201
claude35haiku,original,cross_group,150,random_forest,0.95075,0.005108043193157037,0.6786813213026865,0.02224828506140296,0.9659999999999999,0.019574419397183712,0.7970523007380824,0.018641693192823352,0.9872500000000001,0.0023985991959191875,0.8601249966623794,0.019690738414754657,0.9575277777777778,0.010450345166551439
claude35haiku,original,cross_group,200,svm,0.9438500000000001,0.006466716404221803,0.9366835024939781,0.057813514428881045,0.4789999999999999,0.10784491789504722,0.6243556028162282,0.06758697147467958,0.9610805555555556,0.020183103631248898,0.8078411263343035,0.046866808683704665,0.73725,0.05113286944697843
claude35haiku,original,cross_group,200,random_forest,0.9456000000000001,0.008450474916582445,0.6560698180476975,0.03613272619858038,0.9674999999999999,0.021490511982341372,0.7812934846120736,0.027100621796178913,0.9872805555555553,0.0031409981010540617,0.8630755452376364,0.01987539176200985,0.9553333333333335,0.01124827616566892
claude35haiku,strong,cross_group,100,svm,0.9405000000000001,0.009779139990171305,0.9346220318498565,0.07435169928076528,0.445,0.12538362186337954,0.5893829194630126,0.10677188851092112,0.9701677777777776,0.01217504499366595,0.8493575932553507,0.04756300031950113,0.7202777777777778,0.06048012900034717
claude35haiku,strong,cross_group,100,random_forest,0.9555000000000001,0.008556314996293052,0.7125517393584475,0.05205109391018469,0.946,0.04031455268131765,0.8107057735562544,0.026895188542080502,0.9888994444444444,0.0029166691172364877,0.8820341701708303,0.0230665491982606,0.951277777777778,0.016354880961170614
claude35haiku,strong,cross_group,150,svm,0.9512999999999998,0.004995787699336527,0.9599647882930139,0.049476078650398214,0.5399999999999999,0.07071067811865477,0.6870234833954975,0.04502888618550905,0.9781655555555556,0.008330373860456132,0.8833357878313948,0.027009470661523826,0.7685,0.033417583586901146
claude35haiku,strong,cross_group,150,random_forest,0.9509500000000001,0.003926629732051598,0.6792172937665398,0.019475214097120858,0.968,0.01908430051942668,0.7980114771916533,0.013225956163315645,0.9885352777777779,0.002046519791892933,0.8717936775595077,0.018016475482835814,0.9585277777777778,0.008680441519718782
claude35haiku,strong,cross_group,200,svm,0.95695,0.004839258316377792,0.9472608461747078,0.0556632766893424,0.6100000000000001,0.08065521159785484,0.7367972076729633,0.04139728119175216,0.9788427777777777,0.008708118201545365,0.888154379357946,0.021963464737251907,0.80275,0.03774270602844446
claude35haiku,strong,cross_group,200,random_forest,0.9461499999999999,0.00756219823234374,0.65744153741939,0.034123081531020366,0.9729999999999999,0.01809332531771405,0.7839761397940469,0.02254659226468585,0.9891758333333336,0.0026185512234958197,0.8784405787339352,0.01783852118260939,0.9580833333333333,0.007558468220833793
claude35haiku,weak,cross_group,100,svm,0.91875,0.010477419328702733,0.8840738177011955,0.10089787028881471,0.22749999999999998,0.15368713948182283,0.3347646583559264,0.16381918138475818,0.9406872222222222,0.014807158619862301,0.7439253730640656,0.058546961327676075,0.6115277777777778,0.07384036902308849
claude35haiku,weak,cross_group,100,random_forest,0.9437000000000001,0.009205833390902324,0.6845323079627794,0.05466771558611043,0.828,0.058001814853638756,0.7468517388650119,0.03357480819112294,0.9751122222222222,0.006606878983493973,0.793335862388564,0.04148055926515912,0.8922777777777776,0.0261908698484377
claude35haiku,weak,cross_group,150,svm,0.9279,0.006488045687424312,0.9350437403876037,0.05723186521733752,0.306,0.09494596801394603,0.45161197432479294,0.08814761832209156,0.9457463888888886,0.01502272604554533,0.7755625672854268,0.03947487861843305,0.6515,0.04534866011977496
claude35haiku,weak,cross_group,150,random_forest,0.94115,0.005323977539594333,0.6553113509074613,0.02175952359652333,0.8700000000000001,0.04267379326447261,0.7470711179040538,0.023790912652307764,0.9748972222222223,0.004545785951354241,0.7783910937784361,0.024982056167734096,0.9095277777777777,0.020856634143223488
claude35haiku,weak,cross_group,200,svm,0.9341000000000002,0.006927443517215429,0.9203666704986071,0.0687021593993629,0.3815,0.10085294140219055,0.5293692143356952,0.08514912657163053,0.9494883333333333,0.011844807316451926,0.7771987108996605,0.04301542162507062,0.6885000000000001,0.04803585270294766
claude35haiku,weak,cross_group,200,random_forest,0.9361499999999999,0.00802807573457048,0.6323651095240533,0.03455325631624191,0.873,0.052924971720152564,0.7323125011932248,0.030530540846097333,0.9742469444444444,0.006393241963493067,0.7802175439622916,0.031119837962663256,0.9080833333333332,0.02504023727485481
gpt41mini,original,cross_group,100,svm,0.9583999999999999,0.007816312227777586,0.9530524467828212,0.057444735453473464,0.6240000000000001,0.12688162738718736,0.7438435898985138,0.06576929127198178,0.9796155555555555,0.006329899192062732,0.9162291428053262,0.02624762277107937,0.8097777777777779,0.060381180342646106
gpt41mini,original,cross_group,100,random_forest,0.9593999999999998,0.01059990069466889,0.7202183757225928,0.05595406123589333,0.985,0.012773327473170112,0.8307275580982282,0.0362682793682865,0.9913022222222223,0.002862258272265821,0.9273679810687854,0.021062858154069913,0.9707777777777779,0.007163277225599068
gpt41mini,original,cross_group,150,svm,0.9726000000000001,0.004615762467663904,0.9694076789707831,0.04535229988860757,0.7529999999999999,0.044378752621164634,0.8458697299741154,0.02602637279090527,0.9905713888888888,0.00614731996920355,0.9464525893148149,0.018901538800911655,0.875,0.020811977358229445
gpt41mini,original,cross_group,150,random_forest,0.9530999999999998,0.0042784650469408735,0.6839725830458865,0.020574211552815348,0.9894999999999999,0.0060480531882929995,0.8086543915492976,0.014004201377687419,0.9918658333333333,0.0020724799355291276,0.9225747578033449,0.013281941028619022,0.9692777777777778,0.0032499312733274004
gpt41mini,original,cross_group,200,svm,0.9778499999999999,0.004944694126030451,0.9577852579781675,0.051158286570558806,0.819,0.05077297250350923,0.8807756505039785,0.02606169326353521,0.9905586111111111,0.0061227437066298535,0.9519443648172669,0.018110269384041457,0.9072499999999998,0.02355055874950538
gpt41mini,original,cross_group,200,random_forest,0.9478500000000001,0.008524114400674658,0.6612387789886183,0.036340231474435436,0.99,0.005619514869490168,0.7923598889808547,0.02683899371942928,0.991471111111111,0.0023040635629001907,0.9231604269747455,0.010507261729321232,0.9665833333333336,0.005863608431133361
gpt41mini,strong,cross_group,100,svm,0.9550999999999998,0.008251953516719866,0.9504707085256301,0.06019599750404576,0.591,0.12640369748089691,0.7179202471912653,0.07413463485788674,0.9776833333333332,0.006245853985468871,0.9102292769852024,0.027819040463251978,0.7932777777777777,0.060319406489290614
gpt41mini,strong,cross_group,100,random_forest,0.9593,0.010598411003045392,0.7200281666596444,0.05608786620240734,0.984,0.00820782681668124,0.8302588135128719,0.03611728918241532,0.9912583333333334,0.002972951214093078,0.9286723079971703,0.0208019790406785,0.9702777777777779,0.005471587667664504
gpt41mini,strong,cross_group,150,svm,0.9697999999999999,0.004719500419591713,0.9684991177312987,0.04578065291157179,0.7250000000000001,0.04947088457924147,0.8272016558963353,0.02857119018904958,0.9880108333333333,0.005774260759022783,0.941683465024053,0.020526887146541807,0.8610000000000001,0.023281479558832644
gpt41mini,strong,cross_group,150,random_forest,0.9529499999999999,0.0044541524091807365,0.6836329397395502,0.020978198427485432,0.9880000000000001,0.005231483637805974,0.807930535795563,0.014831524357382983,0.9915455555555557,0.0023017435547456016,0.9214738304433313,0.01356092795290025,0.9685277777777778,0.0035744881538554967
gpt41mini,strong,cross_group,200,svm,0.97485,0.004738143096192858,0.9567400356041587,0.05127454059986346,0.789,0.05811965878119129,0.8620985484648844,0.02728018994648127,0.9891194444444444,0.005254654640089573,0.9486914762151747,0.018890335528851745,0.89225,0.02696017506686718
gpt41mini,strong,cross_group,200,random_forest,0.9478500000000001,0.008524114400674658,0.6612387789886183,0.036340231474435436,0.99,0.005619514869490168,0.7923598889808547,0.02683899371942928,0.9911991666666669,0.0026037786026649663,0.9230799773360145,0.01112911061173264,0.9665833333333336,0.005863608431133361
gpt41mini,weak,cross_group,100,svm,0.9456499999999999,0.008815506672604617,0.9450751957862378,0.062136517184174775,0.4965,0.1426174492904191,0.6357810106844128,0.08944299165999142,0.975306111111111,0.01255889024442606,0.8919705823175775,0.03983607576421762,0.7460277777777777,0.06807677196439045
gpt41mini,weak,cross_group,100,random_forest,0.9592499999999999,0.010769718757017897,0.7198860875253954,0.05641625148035086,0.9834999999999997,0.011367080817685327,0.8300086422085371,0.03703085511911389,0.9894894444444444,0.003192884134574259,0.9156183331720584,0.021700191518799115,0.9700277777777778,0.0073381939411812135
gpt41mini,weak,cross_group,150,svm,0.9587,0.005858866425297111,0.9637873785232133,0.048735598343662596,0.6140000000000001,0.06738733287183094,0.7466994832932923,0.04405959362172779,0.9850997222222222,0.006676923998655409,0.924946094715066,0.02601648548069236,0.8055,0.032260966825357576
