Method,Prompt,Strategy,Classifier,Baseline_F1,Count150_F1,Count200_F1,Improvement_150,Improvement_200,Improvement_150_Pct,Improvement_200_Pct
claude35haiku,weak,cross_group,svm,0.3347646583559264,0.45161197432479294,0.5293692143356952,0.11684731596886655,0.19460455597976878,34.90431652574056,58.131750506608896
gpt41mini,weak,cross_group,svm,0.6357810106844128,0.7466994832932923,0.802900847872456,0.11091847260887944,0.16711983718804313,17.446018478827582,26.285754745669433
claude35haiku,strong,cross_group,svm,0.5893829194630126,0.6870234833954975,0.7367972076729633,0.09764056393248488,0.14741428820995073,16.566575092037837,25.011632224473026
gpt41mini,strong,cross_group,svm,0.7179202471912653,0.8272016558963353,0.8620985484648844,0.10928140870506997,0.14417830127361908,15.221942706395863,20.082774073818214
gpt41mini,original,cross_group,svm,0.7438435898985138,0.8458697299741154,0.8807756505039785,0.10202614007560151,0.1369320606054647,13.71607438191696,18.40871689492505
claude35haiku,original,cross_group,svm,0.5319289356976338,0.5816138696080471,0.6243556028162282,0.04968493391041329,0.09242666711859437,9.340520993702036,17.37575471380876
claude35haiku,weak,cross_group,random_forest,0.7468517388650119,0.7470711179040538,0.7323125011932248,0.00021937903904190037,-0.014539237671787109,0.029373840566440934,-1.9467368039983866
claude35haiku,original,cross_group,random_forest,0.800423426977582,0.7970523007380824,0.7812934846120736,-0.0033711262394995334,-0.019129942365508357,-0.4211678626435244,-2.3899778193328847
claude35haiku,strong,cross_group,random_forest,0.8107057735562544,0.7980114771916533,0.7839761397940469,-0.012694296364601065,-0.026729633762207494,-1.5658327322520562,-3.2970819542773047
gpt41mini,strong,cross_group,random_forest,0.8302588135128719,0.807930535795563,0.7923598889808547,-0.022328277717308942,-0.03789892453201715,-2.689315350093875,-4.5647121012380065
gpt41mini,weak,cross_group,random_forest,0.8300086422085371,0.8081685636049454,0.7921143273415648,-0.021840078603591717,-0.037894314866972256,-2.6313073735567762,-4.56553256676229
gpt41mini,original,cross_group,random_forest,0.8307275580982282,0.8086543915492976,0.7923598889808547,-0.022073166548930545,-0.03836766911737344,-2.657088516415936,-4.61856221613834
