classifier,metric,best_ratio,best_strategy,absolute_change,relative_change_pct,cohens_d,is_significant
svm,accuracy,25,within_group,-0.006976375000000257,-0.7401924500370367,9.66091783079337,True
svm,precision,25,within_group,0.0,0.0,0.0,
svm,recall,25,within_group,-0.06976375000000012,-18.181818181818212,9.660917830792979,True
svm,f1_score,25,within_group,-0.07685236363636389,-13.84147767126495,10.212970278266809,True
svm,auc_roc,25,within_group,0.0004925449942128068,0.06876028586241253,-0.010888382142278375,False
svm,auc_pr,25,within_group,0.0032323153333045918,0.5359062973931285,-0.06611671419465608,False
svm,balanced_accuracy,25,within_group,-0.03488187499999984,-5.025125628140683,9.66091783079297,True
random_forest,accuracy,25,within_group,0.0013952750000001402,0.14545454545456005,-0.23094010767587234,True
random_forest,precision,75,within_group,-0.001480880362739967,-0.16639665144563154,0.017485015705557317,False
random_forest,recall,100,within_group,-3.3306690738754696e-16,-5.1893604796241186e-14,9.617365862158636e-15,False
random_forest,f1_score,25,within_group,-0.004869144952958315,-0.6558098513595148,0.14708460309947904,False
random_forest,auc_roc,25,within_group,-0.000450747540508889,-0.045781140099899406,0.8505445141032726,True
random_forest,auc_pr,25,within_group,0.0072349445297996695,0.8169759342572772,-0.9534461248910161,True
random_forest,balanced_accuracy,100,within_group,-0.004650916666666727,-0.5684509711037498,0.30185864915188243,False
deep_learning,accuracy,75,within_group,-0.002371967500000016,-0.24687772291606325,0.3955475318610042,False
deep_learning,precision,100,within_group,0.01638434202645045,1.807286213618996,-0.27739771926645285,False
deep_learning,recall,75,within_group,-0.05302045000000011,-8.260869565217407,0.7154454983055691,False
deep_learning,f1_score,75,within_group,-0.026523918811986014,-3.55334493223035,0.5551999978088552,False
deep_learning,auc_roc,100,within_group,-0.0030249957175927378,-0.3162856519105915,0.16535314795490363,False
deep_learning,auc_pr,100,within_group,-0.01650401331269935,-1.923324961593724,0.6266852613134626,False
deep_learning,balanced_accuracy,75,within_group,-0.02488240416666665,-3.0380465644520136,0.7024677884295984,False
