strategy,classifier,metric,is_significant_t_corrected_sum,is_significant_wilcoxon_corrected_sum,cohens_d_mean,cohens_d_std
cross_group,deep_learning,accuracy,1,2,1.5768,1.8296
cross_group,deep_learning,auc_pr,2,2,1.0486,0.5357
cross_group,deep_learning,auc_roc,2,2,0.6426,0.4677
cross_group,deep_learning,balanced_accuracy,1,1,1.6363,1.6795
cross_group,deep_learning,f1_score,1,2,1.7196,1.9836
cross_group,deep_learning,precision,1,1,-0.6667,0.6255
cross_group,deep_learning,recall,1,1,1.606,1.6298
cross_group,random_forest,accuracy,4,4,1.9288,2.269
cross_group,random_forest,auc_pr,4,4,1.7112,1.9612
cross_group,random_forest,auc_roc,4,4,3.3872,2.4356
cross_group,random_forest,balanced_accuracy,3,4,3.3616,4.4999
cross_group,random_forest,f1_score,3,3,3.771,4.805
cross_group,random_forest,precision,3,3,-0.31,1.188
cross_group,random_forest,recall,3,3,3.0515,4.2423
cross_group,svm,accuracy,4,4,18.2072,6.268
cross_group,svm,auc_pr,3,3,-0.0444,2.3436
cross_group,svm,auc_roc,3,3,-1.0477,3.5676
cross_group,svm,balanced_accuracy,4,4,18.2072,6.268
cross_group,svm,f1_score,4,4,19.8395,7.7158
cross_group,svm,precision,0,0,0.0,0.0
cross_group,svm,recall,4,4,18.2072,6.268
full_random,deep_learning,accuracy,1,2,1.5768,1.8296
full_random,deep_learning,auc_pr,2,2,1.0486,0.5357
full_random,deep_learning,auc_roc,2,2,0.6426,0.4677
full_random,deep_learning,balanced_accuracy,1,1,1.6363,1.6795
full_random,deep_learning,f1_score,1,2,1.7196,1.9836
full_random,deep_learning,precision,1,1,-0.6667,0.6255
full_random,deep_learning,recall,1,1,1.606,1.6298
full_random,random_forest,accuracy,4,4,1.9288,2.269
full_random,random_forest,auc_pr,4,4,1.7112,1.9612
full_random,random_forest,auc_roc,4,4,3.3872,2.4356
full_random,random_forest,balanced_accuracy,3,4,3.3616,4.4999
full_random,random_forest,f1_score,3,3,3.771,4.805
full_random,random_forest,precision,3,3,-0.31,1.188
full_random,random_forest,recall,3,3,3.0515,4.2423
full_random,svm,accuracy,4,4,18.2072,6.268
full_random,svm,auc_pr,3,3,-0.0444,2.3436
full_random,svm,auc_roc,3,3,-1.0477,3.5676
full_random,svm,balanced_accuracy,4,4,18.2072,6.268
full_random,svm,f1_score,4,4,19.8395,7.7158
full_random,svm,precision,0,0,0.0,0.0
full_random,svm,recall,4,4,18.2072,6.268
real_fixed_random_synthetic,deep_learning,accuracy,1,2,1.5768,1.8296
real_fixed_random_synthetic,deep_learning,auc_pr,2,2,1.0486,0.5357
real_fixed_random_synthetic,deep_learning,auc_roc,2,2,0.6426,0.4677
real_fixed_random_synthetic,deep_learning,balanced_accuracy,1,1,1.6363,1.6795
real_fixed_random_synthetic,deep_learning,f1_score,1,2,1.7196,1.9836
real_fixed_random_synthetic,deep_learning,precision,1,1,-0.6667,0.6255
real_fixed_random_synthetic,deep_learning,recall,1,1,1.606,1.6298
real_fixed_random_synthetic,random_forest,accuracy,4,4,1.9288,2.269
real_fixed_random_synthetic,random_forest,auc_pr,4,4,1.7112,1.9612
real_fixed_random_synthetic,random_forest,auc_roc,4,4,3.3872,2.4356
real_fixed_random_synthetic,random_forest,balanced_accuracy,3,4,3.3616,4.4999
real_fixed_random_synthetic,random_forest,f1_score,3,3,3.771,4.805
real_fixed_random_synthetic,random_forest,precision,3,3,-0.31,1.188
real_fixed_random_synthetic,random_forest,recall,3,3,3.0515,4.2423
real_fixed_random_synthetic,svm,accuracy,4,4,18.2072,6.268
real_fixed_random_synthetic,svm,auc_pr,3,3,-0.0444,2.3436
real_fixed_random_synthetic,svm,auc_roc,3,3,-1.0477,3.5676
real_fixed_random_synthetic,svm,balanced_accuracy,4,4,18.2072,6.268
real_fixed_random_synthetic,svm,f1_score,4,4,19.8395,7.7158
real_fixed_random_synthetic,svm,precision,0,0,0.0,0.0
real_fixed_random_synthetic,svm,recall,4,4,18.2072,6.268
within_group,deep_learning,accuracy,1,2,1.5768,1.8296
within_group,deep_learning,auc_pr,2,2,1.0486,0.5357
within_group,deep_learning,auc_roc,2,2,0.6426,0.4677
within_group,deep_learning,balanced_accuracy,1,1,1.6363,1.6795
within_group,deep_learning,f1_score,1,2,1.7196,1.9836
within_group,deep_learning,precision,1,1,-0.6667,0.6255
within_group,deep_learning,recall,1,1,1.606,1.6298
within_group,random_forest,accuracy,4,4,1.9288,2.269
within_group,random_forest,auc_pr,4,4,1.7112,1.9612
within_group,random_forest,auc_roc,4,4,3.3872,2.4356
within_group,random_forest,balanced_accuracy,3,4,3.3616,4.4999
within_group,random_forest,f1_score,3,3,3.771,4.805
within_group,random_forest,precision,3,3,-0.31,1.188
within_group,random_forest,recall,3,3,3.0515,4.2423
within_group,svm,accuracy,4,4,18.2072,6.268
within_group,svm,auc_pr,3,3,-0.0444,2.3436
within_group,svm,auc_roc,3,3,-1.0477,3.5676
within_group,svm,balanced_accuracy,4,4,18.2072,6.268
within_group,svm,f1_score,4,4,19.8395,7.7158
within_group,svm,precision,0,0,0.0,0.0
within_group,svm,recall,4,4,18.2072,6.268
