synthetic_ratio,classifier,metric,absolute_change_mean,absolute_change_std,relative_change_pct_mean,relative_change_pct_std,cohens_d_mean,cohens_d_std,kl_divergence_mean,kl_divergence_std,is_significant_t_corrected_sum
25,deep_learning,accuracy,-0.0036,0.0017,-0.3729,0.1737,0.4139,0.3008,6.3017,4.2526,0
25,deep_learning,auc_pr,-0.0188,0.0132,-2.1447,1.498,0.4296,0.3606,9.3837,7.1554,2
25,deep_learning,auc_roc,-0.0077,0.0066,-0.7995,0.6853,0.3231,0.2358,3.7006,2.1657,0
25,deep_learning,balanced_accuracy,-0.0187,0.0169,-2.2618,2.0426,0.3688,0.3367,7.1489,2.9132,0
25,deep_learning,f1_score,-0.0269,0.0157,-3.561,2.03,0.3958,0.3063,6.0553,4.4537,0
25,deep_learning,precision,0.0015,0.0393,0.2204,4.1648,-0.1082,0.797,6.3061,3.3013,1
25,deep_learning,recall,-0.0375,0.037,-5.704,5.6756,0.3587,0.3457,6.789,2.3227,0
25,random_forest,accuracy,-0.0006,0.0026,-0.0615,0.2791,0.0604,0.1479,4.8723,0.8175,0
25,random_forest,auc_pr,-0.0148,0.0071,-1.6439,0.783,0.7138,0.4111,5.3187,0.7344,2
25,random_forest,auc_roc,-0.0024,0.002,-0.2425,0.2073,0.6701,0.5668,6.8148,4.5021,2
25,random_forest,balanced_accuracy,-0.0037,0.0155,-0.4149,1.7369,0.0507,0.3333,5.5464,3.0496,1
25,random_forest,f1_score,-0.005,0.0134,-0.6392,1.7936,0.1113,0.2393,8.5221,6.5283,0
25,random_forest,precision,-0.0017,0.0255,-0.2343,3.5336,0.0203,0.245,4.3662,3.1216,0
25,random_forest,recall,-0.0076,0.035,-0.9223,4.2482,0.0466,0.3222,3.5866,0.8037,1
25,svm,accuracy,-0.0019,0.0019,-0.2089,0.1995,0.4306,0.4496,4.3981,3.5713,1
25,svm,auc_pr,-0.0136,0.0059,-2.5543,1.0853,0.1979,0.0961,7.921,5.9784,0
25,svm,auc_roc,-0.0029,0.0118,-0.4103,1.7975,0.0404,0.1672,2.3205,3.6667,0
25,svm,balanced_accuracy,-0.0097,0.0095,-1.4843,1.4579,0.4359,0.4579,4.3914,3.5749,1
25,svm,f1_score,-0.0242,0.0226,-5.1288,4.8121,0.4564,0.4606,3.758,4.1036,1
25,svm,precision,-0.0003,0.0037,-0.0282,0.374,0.1164,0.3517,0.6636,1.2815,0
25,svm,recall,-0.0194,0.0191,-6.2698,6.2045,0.4365,0.4591,4.3948,3.5731,1
50,deep_learning,accuracy,-0.0081,0.0031,-0.8439,0.3189,0.859,0.3617,7.0425,3.1367,2
50,deep_learning,auc_pr,-0.0315,0.0064,-3.6002,0.7078,0.6777,0.2884,4.6504,1.3444,2
50,deep_learning,auc_roc,-0.0129,0.0032,-1.3382,0.3301,0.556,0.1658,4.1856,2.5578,0
