Testing_Method,Testing_Prompt,Testing_Strategy,Training_Ratio,Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std
claude35haiku,original,cross_group,0,svm,0.9034500000000001,0.0020894471693929514,0.9002380952380952,0.1420316584562015,0.0395,0.02012461179749811,0.07494219245809317,0.03718202384145399,0.3426505555555555,0.03989913635088432,0.14957053637331316,0.02497211218425819,0.5194722222222222,0.010047766037243382
claude35haiku,original,cross_group,0,random_forest,0.9533499999999998,0.006838551708781933,0.7014769817138135,0.039622250415386015,0.9380000000000001,0.030192365713345812,0.8015241052466318,0.02205269703271227,0.9868988888888888,0.003310863643171911,0.8652787417233021,0.027394055148446925,0.9465277777777776,0.01254734374111767
claude35haiku,original,cross_group,100,svm,0.9146000000000001,0.0036620385464641815,1.0,0.0,0.14600000000000002,0.03662038546464178,0.2531512147600545,0.05435299772687405,0.5587991666666667,0.06436837500433351,0.3980211391181644,0.05474122177450069,0.573,0.018310192732320877
claude35haiku,original,cross_group,100,random_forest,0.9517999999999999,0.006978161422760679,0.6831664580344002,0.036721224010372644,0.9744999999999999,0.019324105480761043,0.8024241781682704,0.02232033795989487,0.9903627777777777,0.0017928356266388513,0.9113985549145724,0.018196321666990724,0.9618888888888888,0.007872027116072404
claude35haiku,original,cross_group,50,svm,0.9103000000000003,0.0033732695368768077,0.9822144522144521,0.03243624888956166,0.10550000000000001,0.0359055779276116,0.1885649207294133,0.05714606198252773,0.5127886111111111,0.06275174423912042,0.3293870788961797,0.04859413643491104,0.5526111111111113,0.017821674606219817
claude35haiku,original,cross_group,50,random_forest,0.9534499999999998,0.006039126810357521,0.7009070163090526,0.03685978921617116,0.9415000000000001,0.04283075628809892,0.8021343712435179,0.020249680235099404,0.9880566666666668,0.002921264601947926,0.8888523734732623,0.02325439752771102,0.9481388888888889,0.018614514832332965
claude35haiku,original,within_group,0,svm,0.9038452852470146,0.0030965162135664806,0.9358333333333333,0.11613601120847573,0.041225632746674394,0.029812233202093853,0.07758175311002781,0.05278594269412738,0.38339300427237927,0.057410430116208194,0.1725213722379379,0.048211958825378654,0.5204587730246412,0.014951218640715684
claude35haiku,original,within_group,0,random_forest,0.9556558624728059,0.006750602323971608,0.707985317759438,0.03931303577355485,0.9562497770493072,0.0286010272849489,0.8124710335685211,0.021585274327623256,0.989491346519866,0.0025494224137509406,0.8860412346880568,0.02659095697843381,0.9559198245068066,0.011598876226814991
claude35haiku,original,within_group,100,svm,0.9146465660297467,0.004800643242934355,0.9879545454545454,0.029692717691888894,0.14814564895482327,0.04715052101963738,0.25497089527153194,0.07075485716960433,0.5886737093557253,0.04793385806706018,0.41455761125932933,0.05281093981292732,0.5739794917742251,0.02361438875436468
claude35haiku,original,within_group,100,random_forest,0.9554942440918939,0.009893402030152449,0.7009401201478758,0.05087712617778406,0.9813630583065389,0.020637501651330173,0.8165078013086802,0.03295879890075626,0.9934274129987337,0.001754443596331521,0.9425801044973829,0.017066354077716703,0.9669914948539585,0.009513991685977455
claude35haiku,original,within_group,50,svm,0.9107793914068448,0.005131476990482517,0.9702777777777778,0.06554304073228559,0.10999822389855227,0.049516810603809004,0.19459279903408416,0.07867361086174988,0.51713579939804,0.0505868938361097,0.335953127157056,0.07091198504165813,0.5548766502920481,0.02484973257131301
claude35haiku,original,within_group,50,random_forest,0.9545618661181148,0.009844551250345949,0.6995467750007036,0.05500764807066096,0.9748700403074724,0.029321590983048682,0.8125373761275393,0.02979814748634494,0.9926889257561525,0.0018298937942074133,0.92892218666124,0.02039980045339282,0.9635877213133849,0.010547361749605808
claude35haiku,strong,cross_group,0,svm,0.90115,0.0021830688201896474,0.5525,0.47834005741346375,0.0165,0.018431951662948316,0.03178460715082232,0.03508142000581607,0.36926555555555557,0.04715821698124202,0.12967211415000718,0.03661525898920253,0.5079722222222223,0.009357659401457415
claude35haiku,strong,cross_group,0,random_forest,0.9541499999999999,0.0070582165631717245,0.7031598811569368,0.0397409604908659,0.946,0.03362330019182342,0.8055660496457169,0.024035469640710534,0.9883483333333334,0.0031406394745802572,0.8810414623952608,0.022066200719147937,0.9505277777777776,0.014648219614742991
claude35haiku,strong,cross_group,100,svm,0.9168000000000001,0.0035923896166611385,1.0,0.0,0.16799999999999998,0.035923896166611353,0.2861271540183931,0.05287737280706186,0.6867552777777778,0.05603659867806713,0.526899892914588,0.06991948834750303,0.584,0.01796194808330566
claude35haiku,strong,cross_group,100,random_forest,0.9573499999999999,0.00794901516574621,0.7078192511284762,0.04142567367400347,0.9844999999999999,0.012343760409722472,0.8228224763830093,0.027455037074525422,0.9942133333333334,0.0014511029615669007,0.9475412424633525,0.013311685519800989,0.9694166666666666,0.0067381040941518425
claude35haiku,strong,cross_group,50,svm,0.91245,0.0039533463506782555,0.963465354090354,0.07983127479862603,0.128,0.035033818248267366,0.2247828022121645,0.056802268913718985,0.6446655555555555,0.056670693200597574,0.4486114106116075,0.06941956564317114,0.5638055555555554,0.017749680830669683
claude35haiku,strong,cross_group,50,random_forest,0.9553499999999999,0.007132394593092774,0.7003002893527244,0.03687039271336135,0.975,0.026852423197524414,0.8143082352110584,0.024282659551300857,0.992541111111111,0.002319799514090606,0.9230551006891721,0.021989130629111932,0.9640833333333335,0.012245160558972271
claude35haiku,strong,within_group,0,svm,0.9023302688973798,0.0018080744735654187,0.7803571428571429,0.3632410652559047,0.02620773629546592,0.019780807997249863,0.050184202147026555,0.036843286378115105,0.41807013718033315,0.055268180085601755,0.15884320099899688,0.04183528814217571,0.5129424766298626,0.009765890111734784
claude35haiku,strong,within_group,0,random_forest,0.9551488928099321,0.007643249252556359,0.705787418162364,0.04060701580832756,0.9541247791727082,0.03187686030346,0.8103757255633062,0.02673167613476754,0.9893578977670285,0.0026770201541606196,0.886938178777083,0.020829331089595133,0.9546937311933881,0.014623666370754004
